BIOFILM,CONC
SL,61
SL,113
SL,123
SL,75
SL,72
SL,83
SL,95
SL,66
SL,113
SL,123
SL,75
SL,69
SL,83
SL,92
SL,75
SL,83
SL,95
SL,61
SL,113
SL,123
UL,143
UL,81
UL,101
UL,153
UL,156
UL,193
UL,163
UL,143
UL,81
UL,99
UL,155
UL,156
UL,198
UL,163
UL,155
UL,154
UL,193
UL,163
UL,141
UL,81
NL,203
NL,159
NL,141
NL,161
NL,179
NL,99
NL,157
NL,203
NL,159
NL,137
NL,161
NL,177
NL,99
NL,157
NL,159
NL,179
NL,98
NL,157
NL,203
NL,160
F,127
F,204
F,109
F,115
F,140
F,160
F,84
F,29
F,203
F,108
F,115
F,141
F,159
F,87
F,115
F,139
F,162
F,88
F,129
F,203
