SampleID,Population,Treatment,Sex,ENSGACG00000000003,ENSGACG00000000004,ENSGACG00000000006,ENSGACG00000000007,ENSGACG00000000008,ENSGACG00000000009,ENSGACG00000000010,ENSGACG00000000011,ENSGACG00000000012,ENSGACG00000000013,ENSGACG00000000014,ENSGACG00000000015,ENSGACG00000000016,ENSGACG00000000017,ENSGACG00000000018,ENSGACG00000000019,ENSGACG00000000022,ENSGACG00000000023,ENSGACG00000000024,ENSGACG00000000025,ENSGACG00000000026,ENSGACG00000000027,ENSGACG00000000028,ENSGACG00000000029,ENSGACG00000000032,ENSGACG00000000033,ENSGACG00000000034,ENSGACG00000000035,ENSGACG00000000037,ENSGACG00000000038,ENSGACG00000000039,ENSGACG00000000040,ENSGACG00000000041,ENSGACG00000000043,ENSGACG00000000045,ENSGACG00000000046,ENSGACG00000000047,ENSGACG00000000048,ENSGACG00000000049,ENSGACG00000000050,ENSGACG00000000053,ENSGACG00000000054,ENSGACG00000000055,ENSGACG00000000056,ENSGACG00000000057,ENSGACG00000000059,ENSGACG00000000060,ENSGACG00000000061,ENSGACG00000000062,ENSGACG00000000063,ENSGACG00000000064,ENSGACG00000000065,ENSGACG00000000066,ENSGACG00000000067,ENSGACG00000000068,ENSGACG00000000069,ENSGACG00000000070,ENSGACG00000000071,ENSGACG00000000074,ENSGACG00000000075,ENSGACG00000000078,ENSGACG00000000079,ENSGACG00000000080,ENSGACG00000000081,ENSGACG00000000082,ENSGACG00000000083,ENSGACG00000000084,ENSGACG00000000085,ENSGACG00000000086,ENSGACG00000000087,ENSGACG00000000088,ENSGACG00000000089,ENSGACG00000000090,ENSGACG00000000091,ENSGACG00000000092,ENSGACG00000000093,ENSGACG00000000094,ENSGACG00000000095,ENSGACG00000000096,ENSGACG00000000097,ENSGACG00000000098,ENSGACG00000000099,ENSGACG00000000100,ENSGACG00000000101,ENSGACG00000000102,ENSGACG00000000103,ENSGACG00000000104,ENSGACG00000000105,ENSGACG00000000106,ENSGACG00000000107,ENSGACG00000000108,ENSGACG00000000111,ENSGACG00000000114,ENSGACG00000000115,ENSGACG00000000116,ENSGACG00000000117,ENSGACG00000000119,ENSGACG00000000120,ENSGACG00000000121,ENSGACG00000000122,ENSGACG00000000123,ENSGACG00000000124,ENSGACG00000000129,ENSGACG00000000132,ENSGACG00000000136,ENSGACG00000000138,ENSGACG00000000141,ENSGACG00000000143,ENSGACG00000000148,ENSGACG00000000149,ENSGACG00000000150,ENSGACG00000000151,ENSGACG00000000152,ENSGACG00000000155,ENSGACG00000000156,ENSGACG00000000157,ENSGACG00000000158,ENSGACG00000000159,ENSGACG00000000160,ENSGACG00000000161,ENSGACG00000000162,ENSGACG00000000163,ENSGACG00000000164,ENSGACG00000000165,ENSGACG00000000166,ENSGACG00000000167,ENSGACG00000000168,ENSGACG00000000169,ENSGACG00000000172,ENSGACG00000000173,ENSGACG00000000175,ENSGACG00000000176,ENSGACG00000000177,ENSGACG00000000179,ENSGACG00000000180,ENSGACG00000000181,ENSGACG00000000182,ENSGACG00000000185,ENSGACG00000000186,ENSGACG00000000187,ENSGACG00000000188,ENSGACG00000000191,ENSGACG00000000192,ENSGACG00000000195,ENSGACG00000000196,ENSGACG00000000198,ENSGACG00000000201,ENSGACG00000000203,ENSGACG00000000204,ENSGACG00000000206,ENSGACG00000000207,ENSGACG00000000209,ENSGACG00000000210,ENSGACG00000000211,ENSGACG00000000212,ENSGACG00000000213,ENSGACG00000000214,ENSGACG00000000216,ENSGACG00000000217,ENSGACG00000000218,ENSGACG00000000219,ENSGACG00000000221,ENSGACG00000000223,ENSGACG00000000225,ENSGACG00000000226,ENSGACG00000000227,ENSGACG00000000228,ENSGACG00000000229,ENSGACG00000000231,ENSGACG00000000232,ENSGACG00000000233,ENSGACG00000000234,ENSGACG00000000235,ENSGACG00000000236,ENSGACG00000000239,ENSGACG00000000242,ENSGACG00000000245,ENSGACG00000000246,ENSGACG00000000247,ENSGACG00000000248,ENSGACG00000000249,ENSGACG00000000250
BtCV1,Boot,Conventional,male,5.8000224,7.7333632,41.5668272,124.7004816,2.9000112,356.7013776,203.000784,412.7682608,113.1004368,139.2005376,2.9000112,28.0334416,1573.739411,158.5339456,58.000224,8.7000336,34.8001344,29.000112,285.167768,109.2337552,10.6333744,692.1360064,23.2000896,61.8669056,11.6000448,71.5336096,51.2335312,41.5668272,182.7007056,314.16788,8.7000336,17.4000672,3.8666816,48.33352,18.3667376,11.6000448,19.333408,45.4335088,14.500056,1.9333408,0.9666704,20.3000784,2.9000112,15.4667264,86.0336656,16.4333968,102.4670624,5279.953725,46.4001792,95.7003696,294.834472,61.8669056,256.167656,37.7001456,1.9333408,46.4001792,40.6001568,20.3000784,240.7009296,115.0337776,1125.204346,186.5673872,31.9001232,18.3667376,22.2334192,78.3003024,54.1335424,447.5683952,142.1005488,907.7035056,5.8000224,12.5667152,19.333408,241.6676,91.833688,93.7670288,35.7668048,6.7666928,105.3670736,12.5667152,191.4007392,7.7333632,19.333408,104.4004032,9.666704,360.5680592,190.4340688,5.8000224,32.8667936,11.6000448,5.8000224,577.1022288,7.7333632,2.9000112,63.8002464,4.833352,0.9666704,0,18257.50384,58.9668944,61.8669056,4.833352,21.2667488,18.3667376,70.5669392,8.7000336,21.2667488,15.4667264,5.8000224,4.833352,23.2000896,72.50028,0.9666704,15.4667264,36.7334752,8.7000336,3.8666816,24.16676,23.2000896,99.5670512,441.7683728,118.9004592,200.1007728,14.500056,445.6350544,114.0671072,46.4001792,3.8666816,8.7000336,51.2335312,57.0335536,17.4000672,44.4668384,91.833688,0.9666704,12.5667152,14.500056,21.2667488,116.000448,114.0671072,11.6000448,43.500168,33.833464,24.16676,158.5339456,171.1006608,3.8666816,10.6333744,404.0682272,321.9012432,10.6333744,290.00112,13.5333856,1.9333408,979.2371152,6.7666928,53.166872,177.8673536,217.50084,129.5338336,81.2003136,12.5667152,102.4670624,202.0341136,1.9333408,76.3669616,552.9354688,9.666704,571.3022064,35.7668048,65.7335872,93.7670288,417.6016128,16.4333968,16.4333968,434.0350096,1.9333408,21.2667488,15.4667264,65.7335872,42.5334976,230.0675552
BtCV2,Boot,Conventional,male,21.331358,9.5991111,62.9275061,97.0576789,6.3994074,348.7677033,297.5724441,385.0310119,108.7899258,125.8550122,9.5991111,29.8639012,1374.806023,189.8490862,83.1922962,23.4644938,83.1922962,33.0636049,341.301728,140.7869628,13.8653827,565.280987,40.5295802,77.8594567,11.7322469,74.659753,61.8609382,56.5280987,258.1094318,283.7070614,10.665679,33.0636049,14.9319506,83.1922962,30.9304691,13.8653827,13.8653827,88.5251357,24.5310617,5.3328395,3.1997037,30.9304691,12.7988148,12.7988148,103.4570863,29.8639012,143.9866665,4624.638414,51.1952592,178.1168393,213.31358,108.7899258,56.5280987,121.5887406,13.8653827,62.9275061,77.8594567,13.8653827,247.4437528,73.5931851,956.7114063,188.7825183,37.3298765,26.6641975,28.7973333,118.3890369,76.7928888,369.0324934,255.976296,725.266172,18.1316543,12.7988148,37.3298765,285.8401972,89.5917036,83.1922962,21.331358,11.7322469,116.2559011,23.4644938,143.9866665,26.6641975,21.331358,103.4570863,2.1331358,526.8845426,299.7055799,18.1316543,40.5295802,29.8639012,5.3328395,871.3859743,6.3994074,14.9319506,84.2588641,5.3328395,3.1997037,2.1331358,15666.81588,74.659753,54.3949629,13.8653827,5.3328395,28.7973333,69.3269135,15.9985185,57.5946666,10.665679,7.4659753,9.5991111,14.9319506,146.1198023,7.4659753,43.7292839,53.328395,11.7322469,5.3328395,52.2618271,36.2633086,84.2588641,455.4244933,157.8520492,195.1819257,10.665679,497.0206414,94.9245431,50.1286913,4.2662716,11.7322469,29.8639012,51.1952592,54.3949629,45.8624197,70.3934814,8.5325432,8.5325432,9.5991111,65.0606419,119.4556048,103.4570863,8.5325432,61.8609382,40.5295802,18.1316543,148.2529381,201.5813331,8.5325432,15.9985185,392.4969872,551.4156043,21.331358,363.6996539,9.5991111,0,858.5871595,14.9319506,43.7292839,218.6464195,443.6922464,107.7233579,81.0591604,11.7322469,97.0576789,271.9748145,2.1331358,106.65679,775.3948633,18.1316543,770.0620238,43.7292839,114.1227653,159.985185,358.3668144,18.1316543,42.662716,425.5605921,9.5991111,41.5961481,26.6641975,66.1272098,54.3949629,274.1079503
BtCV3,Boot,Conventional,female,13.7321431,5.2815935,70.7733529,82.3928586,7.3942309,361.2609954,296.8255547,388.7252816,94.0123643,141.5467058,15.8447805,26.4079675,1536.943709,186.9684099,68.6607155,32.7458797,58.0975285,34.8585171,369.711545,119.3640131,3.1689561,575.6936915,33.8021984,78.1675838,11.6195057,90.8434082,68.6607155,61.2664846,226.0522018,347.5288523,12.6758244,33.8021984,3.1689561,83.4491773,25.3516488,7.3942309,16.9010992,78.1675838,40.1401106,3.1689561,2.1126374,28.5206049,7.3942309,2.1126374,92.9560456,31.689561,120.4203318,4746.039919,51.7596163,144.7156619,210.2074213,71.8296716,66.5480781,116.195057,12.6758244,51.7596163,67.6043968,11.6195057,255.6291254,80.2802212,888.3640267,169.010992,44.3653854,32.7458797,38.0274732,81.3365399,55.9848911,401.401106,211.26374,715.1277599,7.3942309,13.7321431,20.0700553,216.5453335,125.7019253,125.7019253,19.0137366,8.4505496,143.6593432,7.3942309,137.321431,19.0137366,15.8447805,106.6881887,8.4505496,475.343415,303.1634669,21.126374,40.1401106,23.2390114,6.3379122,1430.25552,13.7321431,19.0137366,89.7870895,6.3379122,2.1126374,3.1689561,17337.35882,96.1250017,54.9285724,14.7884618,8.4505496,43.3090667,71.8296716,3.1689561,43.3090667,17.9574179,6.3379122,9.5068683,14.7884618,173.2362668,3.1689561,41.1964293,57.0412098,4.2252748,4.2252748,71.8296716,29.5769236,94.0123643,420.4148426,165.8420359,176.4052229,12.6758244,539.7788557,86.6181334,52.815935,6.3379122,1.0563187,44.3653854,49.6469789,65.4917594,47.5343415,79.2239025,1.0563187,5.2815935,10.563187,86.6181334,107.7445074,116.195057,10.563187,64.4354407,32.7458797,21.126374,146.8282993,197.5315969,8.4505496,15.8447805,426.7527548,579.9189663,21.126374,310.5576978,15.8447805,3.1689561,895.7582576,22.1826927,61.2664846,216.5453335,315.8392913,172.1799481,96.1250017,9.5068683,96.1250017,268.3049498,3.1689561,104.5755513,755.2678705,10.563187,834.491773,33.8021984,126.758244,144.7156619,381.3310507,26.4079675,22.1826927,414.0769304,4.2252748,26.4079675,24.2953301,47.5343415,49.6469789,249.2912132
BtCV4,Boot,Conventional,female,15.2551178,5.867353,118.5205306,69.2347654,5.867353,448.2657692,213.5716492,332.0921798,131.4287072,227.6532964,9.3877648,26.9898238,1380.001426,289.8472382,97.3980598,12.9081766,151.3777074,57.5000594,518.6740052,144.3368838,11.734706,1076.07254,49.2857652,89.1837656,29.336765,98.5715304,79.7960008,65.7143536,373.1636508,303.9288854,17.602059,31.6837062,11.734706,100.9184716,31.6837062,9.3877648,14.0816472,117.34706,24.6428826,5.867353,0,38.7245298,15.2551178,11.734706,104.4388834,18.7755296,186.5818254,4724.392636,68.0612948,255.8165908,518.6740052,154.8981192,14.0816472,66.8878242,10.5612354,73.9286478,96.2245892,26.9898238,370.8167096,146.683825,1124.184835,264.030885,55.1531182,22.2959414,26.9898238,104.4388834,92.7041774,377.8575332,307.4492972,877.7560088,12.9081766,16.4285884,39.8980004,210.0512374,78.6225302,78.6225302,45.7653534,16.4285884,192.4491784,16.4285884,168.9797664,286.3268264,34.0306474,146.683825,9.3877648,774.490596,320.3574738,7.0408236,69.2347654,23.469412,5.867353,1389.38919,16.4285884,11.734706,70.408236,8.2142942,2.3469412,1.1734706,14622.61715,133.7756484,100.9184716,14.0816472,24.6428826,45.7653534,61.0204712,21.1224708,45.7653534,12.9081766,21.1224708,4.6938824,22.2959414,163.1124134,8.2142942,16.4285884,62.1939418,15.2551178,4.6938824,98.5715304,34.0306474,111.479707,518.6740052,283.9798852,242.9084142,18.7755296,815.562067,138.4695308,69.2347654,1.1734706,8.2142942,46.938824,52.806177,48.1122946,65.7143536,96.2245892,3.5204118,11.734706,9.3877648,167.8062958,139.6430014,152.551178,17.602059,83.3164126,44.5918828,22.2959414,174.8471194,195.9695902,7.0408236,23.469412,570.3067116,742.8068898,48.1122946,528.06177,19.9490002,1.1734706,1579.491428,16.4285884,53.9796476,276.9390616,325.0513562,185.4083548,107.9592952,11.734706,82.142942,374.3371214,12.9081766,113.8266482,1142.960364,18.7755296,1099.541952,49.2857652,173.6736488,185.4083548,382.5514156,17.602059,38.7245298,454.1331222,5.867353,48.1122946,39.8980004,57.5000594,51.6327064,396.6330628
BtCV5,Boot,Conventional,male,4.3480104,5.435013,66.3071586,82.6121976,5.435013,470.6721258,227.1835434,336.970806,96.7432314,214.1395122,5.435013,19.5660468,1432.669427,241.3145772,70.655169,15.2180364,57.6111378,46.7411118,388.0599282,144.5713458,6.5220156,952.2142776,44.5671066,91.3082184,16.305039,116.3092782,72.8291742,45.6541092,294.5777046,376.1028996,5.435013,8.6960208,4.3480104,92.395221,32.610078,8.6960208,26.0880624,58.6981404,17.3920416,7.6090182,0,23.9140572,2.1740052,9.7830234,111.9612678,7.6090182,147.8323536,4800.203482,56.5241352,173.920416,459.8020998,82.6121976,107.6132574,41.3060988,6.5220156,101.0912418,98.9172366,19.5660468,352.1888424,176.0944212,1145.70074,169.5724056,55.4371326,20.6530494,29.3490702,109.7872626,72.8291742,398.9299542,268.4896422,704.3776848,7.6090182,8.6960208,39.1320936,346.7538294,106.5262548,110.8742652,34.7840832,9.7830234,148.9193562,14.1310338,169.5724056,2.1740052,32.610078,129.3533094,3.2610078,582.6333936,270.6636474,4.3480104,50.0021196,18.4790442,8.6960208,575.0243754,17.3920416,11.9570286,71.7421716,2.1740052,3.2610078,1.0870026,16332.21407,80.4381924,91.3082184,10.870026,19.5660468,26.0880624,57.6111378,13.0440312,43.480104,13.0440312,3.2610078,6.5220156,16.305039,168.485403,4.3480104,19.5660468,42.3931014,2.1740052,2.1740052,33.6970806,25.0010598,90.2212158,610.8954612,258.7066188,248.9235954,21.740052,640.2445314,120.6572886,42.3931014,1.0870026,1.0870026,36.9580884,54.35013,46.7411118,61.9591482,17.3920416,1.0870026,8.6960208,4.3480104,116.3092782,98.9172366,126.0923016,17.3920416,79.3511898,32.610078,23.9140572,143.4843432,205.4434914,1.0870026,18.4790442,581.546391,695.681664,19.5660468,466.3241154,14.1310338,1.0870026,1394.624336,23.9140572,48.915117,258.7066188,361.9718658,147.8323536,58.6981404,5.435013,85.8732054,335.8838034,5.435013,138.0493302,784.8158772,15.2180364,1309.838133,31.5230754,114.135273,170.6594082,417.4089984,17.3920416,42.3931014,421.7570088,4.3480104,40.2190962,13.0440312,52.1761248,34.7840832,361.9718658
BTMA1,Boot,MonoAssoc,male,9.622744,19.245488,92.3783424,160.6998248,3.8490976,257.8895392,367.5888208,422.4384616,117.3974768,70.2460312,5.7736464,28.868232,820.8200632,177.0584896,30.7927808,12.5095672,35.6041528,46.1891712,236.7195024,122.2088488,14.434116,263.6631856,57.736464,142.4166112,25.9814088,106.8124584,61.5855616,25.9814088,237.6817768,323.3241984,2.8868232,8.6604696,58.6987384,79.8687752,16.3586648,4.811372,30.7927808,113.5483792,32.7173296,0.9622744,0,31.7550552,7.6981952,8.6604696,106.8124584,16.3586648,165.5111968,2940.710566,33.679604,194.3794288,84.6801472,15.3963904,25.0191344,30.7927808,5.7736464,53.8873664,67.359208,5.7736464,234.7949536,96.22744,604.3083232,185.7189592,68.3214824,37.5287016,37.5287016,59.6610128,52.925092,153.963904,264.62546,426.2875592,1.9245488,23.0945856,12.5095672,204.9644472,99.1142632,128.9447696,13.4718416,8.6604696,134.718416,22.1323112,76.981952,2.8868232,7.6981952,93.3406168,3.8490976,485.948572,592.7610304,0.9622744,33.679604,0,6.7359208,1087.370072,32.7173296,39.4532504,76.0196776,0,0.9622744,0,14457.21059,185.7189592,63.5101104,13.4718416,6.7359208,28.868232,51.9628176,4.811372,46.1891712,3.8490976,3.8490976,3.8490976,9.622744,141.4543368,2.8868232,36.5664272,33.679604,3.8490976,0.9622744,87.5669704,17.3209392,49.0759944,379.1361136,168.39802,199.1908008,14.434116,512.8922552,78.9065008,44.2646224,0.9622744,0.9622744,46.1891712,53.8873664,25.0191344,32.7173296,60.6232872,4.811372,5.7736464,3.8490976,156.8507272,28.868232,53.8873664,10.5850184,56.7741896,23.0945856,28.868232,204.9644472,160.6998248,6.7359208,7.6981952,331.984668,934.3684424,14.434116,236.7195024,18.2832136,0.9622744,542.7227616,21.1700368,50.0382688,276.1727528,647.6106712,152.0393552,68.3214824,11.5472928,66.3969336,356.041528,6.7359208,87.5669704,1178.78614,12.5095672,1407.807447,41.3777992,139.529788,149.152532,218.4362888,6.7359208,76.981952,519.628176,9.622744,51.0005432,25.0191344,54.8496408,34.6418784,217.4740144
BTMA2,Boot,MonoAssoc,female,7.1343349,6.1151442,88.6695909,73.3817304,4.0767628,426.0217126,221.1643819,325.1218333,77.4584932,168.1664655,8.1535256,26.4989582,1004.92203,233.3946703,76.4393025,9.1727163,20.383814,12.2302884,310.8531635,130.4564096,7.1343349,652.282048,46.8827722,49.9403443,13.2494791,92.7463537,72.3625397,20.383814,195.6846144,230.3370982,6.1151442,32.6141024,79.4968746,82.5544467,28.5373396,17.3262419,29.5565303,105.9958328,9.1727163,4.0767628,5.0959535,33.6332931,7.1343349,1.0191907,72.3625397,9.1727163,103.9574514,3633.414846,37.7100559,195.6846144,221.1643819,24.4605768,0,22.4221954,4.0767628,61.151442,97.8423072,17.3262419,221.1643819,158.9937492,913.1948672,174.2816097,43.8252001,20.383814,11.2110977,98.8614979,55.0362978,300.6612565,201.7997586,891.7918625,15.2878605,11.2110977,34.6524838,382.1965125,95.8039258,41.7868187,24.4605768,7.1343349,97.8423072,16.3070512,85.6120188,12.2302884,22.4221954,54.0171071,5.0959535,516.7296849,291.4885402,6.1151442,40.767628,8.1535256,3.0575721,92.7463537,15.2878605,18.3454326,80.5160653,4.0767628,5.0959535,1.0191907,15445.83506,143.7058887,75.4201118,14.2686698,30.575721,9.1727163,58.0938699,25.4797675,50.959535,14.2686698,24.4605768,17.3262419,41.7868187,309.8339728,9.1727163,26.4989582,51.9787257,8.1535256,4.0767628,64.2090141,18.3454326,70.3241583,431.1176661,278.2390611,210.9724749,15.2878605,538.1326896,94.7847351,54.0171071,8.1535256,12.2302884,62.1706327,79.4968746,16.3070512,44.8443908,35.6716745,2.0383814,5.0959535,10.191907,59.1130606,102.9382607,63.1898234,13.2494791,47.9019629,16.3070512,20.383814,114.1493584,171.2240376,1.0191907,15.2878605,387.292466,681.8385783,21.4030047,352.6399822,16.3070512,1.0191907,1164.93497,19.3646233,29.5565303,214.030047,636.9941875,184.4735167,47.9019629,13.2494791,105.9958328,223.2027633,7.1343349,97.8423072,1398.32964,29.5565303,1550.189055,20.383814,131.4756003,162.0513213,315.949117,6.1151442,40.767628,425.0025219,4.0767628,62.1706327,24.4605768,45.8635815,46.8827722,330.2177868
BTMA3,Boot,MonoAssoc,female,31.4667864,20.6161704,117.1866528,122.6119608,2.1701232,250.6492296,272.3504616,384.1118064,96.5704824,101.9957904,6.5103696,27.12654,768.2236128,194.2260264,65.103696,30.3817248,41.2323408,24.9564168,360.2404512,132.3775152,16.275924,394.9624224,58.5933264,85.7198664,29.2966632,77.0393736,99.8256672,40.1472792,276.690708,237.6284904,7.5954312,34.7219712,82.4646816,104.1659136,34.7219712,11.9356776,14.1058008,144.3131928,37.977156,7.5954312,5.425308,42.3174024,24.9564168,3.2551848,86.804928,28.2116016,228.9479976,3799.885723,45.5725872,224.6077512,138.8878848,53.1680184,21.701232,74.8692504,11.9356776,59.678388,75.954312,18.4460472,263.6699688,133.4625768,881.0700192,308.1574944,81.37962,40.1472792,33.6369096,77.0393736,78.1244352,156.2488704,300.5620632,630.4207896,1.0850616,17.3609856,16.275924,162.75924,80.2945584,86.804928,16.275924,19.5311088,132.3775152,32.551848,92.230236,68.3588808,7.5954312,95.4854208,2.1701232,578.3378328,573.9975864,15.1908624,48.827772,9.7655544,14.1058008,1417.09045,39.0622176,35.8070328,78.1244352,4.3402464,1.0850616,1.0850616,12591.05481,160.5891168,45.5725872,20.6161704,9.7655544,33.6369096,56.4232032,6.5103696,30.3817248,8.6804928,9.7655544,8.6804928,23.8713552,167.0994864,9.7655544,57.5082648,60.7634496,8.6804928,5.425308,136.7177616,30.3817248,67.2738192,465.4914264,224.6077512,207.2467656,17.3609856,618.485112,95.4854208,42.3174024,11.9356776,8.6804928,71.6140656,101.9957904,45.5725872,49.9128336,46.6576488,4.3402464,10.850616,11.9356776,258.2446608,85.7198664,93.3152976,8.6804928,72.6991272,42.3174024,22.7862936,180.1202256,213.7571352,8.6804928,14.1058008,406.8981,1420.345634,14.1058008,305.9873712,24.9564168,3.2551848,693.3543624,24.9564168,37.977156,265.840092,776.9041056,184.460472,92.230236,15.1908624,88.9750512,374.346252,6.5103696,83.5497432,1777.330901,14.1058008,1652.548817,46.6576488,195.311088,249.564168,228.9479976,14.1058008,65.103696,534.9353688,20.6161704,78.1244352,16.275924,48.827772,43.402464,258.2446608
BTMA4,Boot,MonoAssoc,female,13.0655525,8.04034,132.66561,104.52442,7.0352975,242.2152425,284.4270275,350.7598325,126.635355,67.3378475,4.02017,27.1361475,776.8978525,162.816885,26.131105,13.0655525,41.2067425,40.2017,262.3160925,110.554675,10.050425,274.3766025,68.34289,168.84714,35.1764875,90.453825,98.494165,14.070595,324.6287275,326.6388125,5.0252125,9.0453825,5.0252125,110.554675,35.1764875,8.04034,7.0352975,106.534505,33.1664025,5.0252125,3.0151275,32.16136,9.0453825,4.02017,92.46391,20.10085,183.9227775,2047.271573,44.22187,280.4068575,86.433655,52.26221,2.010085,39.1966575,6.030255,61.3075925,44.22187,6.030255,260.3060075,155.7815875,539.7078225,266.3362625,84.42357,24.12102,22.110935,74.373145,51.2571675,120.6051,338.6993225,416.087595,5.0252125,26.131105,7.0352975,138.695865,91.4588675,79.3983575,14.070595,13.0655525,156.78663,16.08068,41.2067425,114.574845,9.0453825,119.6000575,0,527.6473125,451.2640825,3.0151275,58.292465,4.02017,11.0554675,3678.45555,18.090765,27.1361475,94.473995,0,1.0050425,0,14111.80174,144.72612,64.32272,17.0857225,6.030255,40.2017,65.3277625,2.010085,63.3176775,12.06051,1.0050425,0,5.0252125,175.8824375,1.0050425,11.0554675,28.14119,5.0252125,3.0151275,124.62527,46.231955,42.211785,420.107765,209.04884,218.0942225,11.0554675,603.0255,73.3681025,46.231955,2.010085,2.010085,58.292465,42.211785,25.1260625,49.2470825,84.42357,5.0252125,10.050425,7.0352975,60.30255,66.332805,115.5798875,3.0151275,55.2773375,27.1361475,27.1361475,186.937905,191.9631175,9.0453825,14.070595,299.502665,1931.691685,39.1966575,296.4875375,17.0857225,1.0050425,600.0103725,43.2168275,30.151275,260.3060075,660.3129225,222.1143925,65.3277625,13.0655525,64.32272,470.35989,4.02017,83.4185275,1536.709983,2.010085,1800.031118,34.171445,183.9227775,192.96816,174.877395,9.0453825,54.272295,452.269125,9.0453825,56.28238,17.0857225,39.1966575,31.1563175,248.2454975
BTMA5,Boot,MonoAssoc,male,21.09309,10.546545,128.667849,161.3621385,9.4918905,267.882243,337.48944,384.9488925,132.886467,92.809596,13.7105085,22.1477445,805.756038,171.9086835,47.4594525,9.4918905,43.2408345,47.4594525,273.1555155,147.65163,14.765163,314.287041,58.0059975,102.3014865,13.7105085,76.9897785,84.37236,29.530326,277.3741335,210.9309,6.327927,17.9291265,63.27927,98.0828685,40.076871,3.1639635,9.4918905,110.7387225,41.1315255,1.0546545,1.0546545,36.9129075,15.8198175,2.109309,93.8642505,14.765163,167.6900655,3444.501597,36.9129075,255.226389,132.886467,53.7873795,0,29.530326,12.655854,64.3339245,91.7549415,6.327927,226.7507175,101.246832,784.662948,247.8438075,64.3339245,25.311708,27.421017,97.028214,74.8804695,141.323703,318.505659,553.6936125,3.1639635,22.1477445,10.546545,267.882243,120.230613,87.5363235,10.546545,10.546545,146.5969755,18.983781,75.935124,65.388579,16.874472,98.0828685,1.0546545,524.1632865,574.7867025,1.0546545,46.404798,15.8198175,3.1639635,3065.880632,17.9291265,13.7105085,114.9573405,1.0546545,2.109309,1.0546545,11488.35147,113.902686,72.7711605,18.983781,11.6011995,28.4756715,54.842034,7.3825815,56.951343,7.3825815,6.327927,3.1639635,6.327927,143.433012,3.1639635,15.8198175,51.6780705,6.327927,2.109309,124.449231,21.09309,65.388579,420.8071455,187.728501,200.384355,18.983781,570.5680845,111.793377,35.858253,7.3825815,12.655854,44.295489,64.3339245,30.5849805,35.858253,82.263051,5.2732725,6.327927,8.437236,46.404798,87.5363235,98.0828685,10.546545,63.27927,36.9129075,24.2570535,203.5483185,185.619192,10.546545,9.4918905,334.3254765,1158.010641,23.202399,261.554316,13.7105085,2.109309,709.7824785,39.0222165,52.732725,251.007771,686.5800795,227.805372,111.793377,18.983781,97.028214,373.347693,3.1639635,68.5525425,1343.629833,13.7105085,1508.155935,37.967562,156.088866,189.83781,213.040209,11.6011995,22.1477445,452.4467805,8.437236,75.935124,40.076871,51.6780705,45.3501435,309.0137685
