BIOFILM,CONC
SL,61
SL,113
SL,120
SL,75
SL,72
SL,83
SL,95
SL,66
SL,113
SL,119
SL,75
SL,69
SL,83
SL,92
SL,75
SL,83
SL,95
SL,61
SL,113
SL,118
UL,143
UL,81
UL,101
UL,153
UL,156
UL,193
UL,163
UL,143
UL,88
UL,99
UL,155
UL,156
UL,194
UL,163
UL,155
UL,154
UL,193
UL,163
UL,129
UL,81
NL,154
NL,159
NL,141
NL,161
NL,179
NL,149
NL,151
NL,171
NL,159
NL,131
NL,161
NL,171
NL,142
NL,152
NL,132
NL,179
NL,150
NL,157
NL,143
NL,140
F,127
F,204
F,109
F,115
F,140
F,160
F,88
F,129
F,203
F,108
F,115
F,141
F,159
F,97
F,115
F,139
F,162
F,83
F,129
F,203
