	FW_F1	FW_M1	FW_M2	FW_F2	FW_M3	FW_F3	FW_F4	FW_M4	FW_F5	FW_F6	FW_M5	FW_M6	FW_M7	FW_M8	FW_F7	FW_F8	FW_M9	FW_F9	OC_M1	OC_F1	OC_M2	OC_M3	OC_F2	OC_M4	OC_F3	OC_F4	OC_M5	OC_M6	OC_M7	OC_F5	OC_M8	OC_F6	OC_F7	OC_M9	OC_F8	OC_M10
aass_LG4	34.28678762	21.21108945	16.5869021	27.21002144	17.17516256	38.96947622	31.18282001	14.54557839	21.32231515	30.91988042	13.89447883	8.398298318	10.64555072	19.59568672	25.1336154	37.88813444	11.06349983	23.26114141	19.59529076	23.85802427	8.833889061	15.1866627	29.01951164	12.63407542	36.79680835	38.9156888	16.31197724	12.9832066	11.95560145	28.27113092	10.21169244	29.52446931	30.50634669	15.50877067	28.91471571	12.22857235
abcc8_LG4	11.27552076	12.63307533	10.67473897	6.076024206	7.900574776	19.84780776	28.28209257	18.92677669	20.74079746	28.9511989	14.0749266	9.3526504	10.46812488	14.95460302	15.70850963	17.45825802	9.145826522	11.15778328	6.257319738	9.287016158	4.530199519	5.123211515	6.650304751	8.422716947	8.227857767	12.28916488	6.320891181	8.370751622	9.027699055	7.989667433	7.294066027	14.85280051	11.76148306	7.407174049	13.11432461	4.934336213
abtb2b_LG4	13.34653478	17.9358477	21.67793146	13.60501072	22.32771132	9.197764573	7.795705003	15.07132218	5.427498402	6.948287735	19.48835991	16.98746705	15.43604855	16.32973893	11.24398584	11.14356895	13.86625311	14.37273778	12.67930579	8.006048412	19.70636791	11.89316959	7.85945107	12.43353454	8.227857767	8.875507972	11.8261835	13.83736493	23.66721104	8.399393968	18.80248131	6.339609974	3.675463456	15.04582229	5.056125151	14.15939957
accs_LG4	11.7357461	9.357833581	12.80968677	9.906561205	8.244078027	7.50343952	7.433114073	6.308925565	6.978212231	7.411506918	7.578806632	5.916982906	9.580995651	9.797843359	9.755811242	7.429045968	4.867939923	10.77955334	4.775322958	8.16616938	6.342279326	7.318873593	8.161737649	6.61784903	8.684960977	7.680728052	6.932590328	8.199919956	6.587780392	8.809120503	6.645704602	6.339609974	4.410556147	5.786854726	5.372132973	6.007017999
acsl1b_LG4	259.5670902	235.6614423	209.3891106	412.6412961	362.9111848	324.3422244	460.1278907	389.0504098	314.7949073	294.6074	586.8161707	379.8321285	472.4850263	449.6694426	370.7208272	343.593376	440.1797797	352.3211907	171.0882949	348.102985	369.4377707	326.6047341	420.7829188	307.0280868	190.3834867	152.0784154	357.2323016	302.2012167	205.6851433	228.8322698	207.1514752	150.3393222	240.9266295	113.1908784	200.506963	241.7824745
acsl4a_LG4	109.3035176	60.66995438	43.19163616	68.28922858	98.7571847	107.7106641	88.29089155	79.21206542	101.765595	113.3728949	66.04388637	61.26940364	75.0511326	67.2097676	92.9282359	88.03419472	105.3245183	77.91536799	31.94526393	44.83387111	41.4513256	34.58167773	37.18124929	32.68816339	49.3671466	41.47593148	47.10083429	44.07456976	27.5710809	40.3580637	31.44552909	57.05648977	59.91005433	56.47970212	47.87518503	58.78296185
actr6_LG4	9.434619412	7.642230758	9.689378453	17.83181017	4.980797141	14.03869329	10.15254605	8.411900753	10.07963989	9.380188443	5.95477664	6.298723739	4.258220289	5.328651651	10.91328037	16.71535343	7.670693212	14.9400827	6.421986047	11.04834681	4.756709495	3.293493117	8.766310808	6.016226391	5.942341721	10.75301927	4.281894026	2.904138318	4.635845461	11.67720625	5.673162465	15.75845908	11.76148306	8.101596616	12.79831679	7.723308856
adal_LG4	37.27825231	11.69729198	8.211337672	25.2287092	22.49946295	51.07179802	37.89075223	17.8752891	41.86927338	30.22505165	23.63865878	14.12441081	18.62971377	17.53298285	32.07843019	21.17278101	25.2247796	34.98626961	9.879978534	39.87012109	18.800328	20.6758179	39.90182851	24.6665282	31.31156984	31.23496075	24.06016643	20.49979989	8.295723456	54.28876589	16.37112597	48.1810358	62.11533241	20.83267701	28.28270007	39.90376242
AEBP2_LG4	4.602253372	3.587169539	2.956081562	6.472286654	3.435032511	4.598882286	4.89497756	4.556446241	7.365890688	6.369263757	3.248059985	3.435667494	3.903368599	3.437839775	6.779462049	6.314689073	6.048046571	7.753713805	2.799327251	6.725080666	5.662749398	2.378633918	6.650304751	4.211358474	8.684960977	4.26707114	2.038997155	2.733306652	4.391853594	8.604257236	2.269264986	5.61508312	4.410556147	3.935061214	5.214129062	3.003508999
alpk3a_LG4	3.451690029	14.34867816	16.5869021	1.320874827	22.67121457	4.840928722	8.339591399	33.82285094	2.90758843	8.453750078	15.87940437	29.58491453	20.58139807	25.61190632	4.299171056	3.714522984	33.19049948	3.214954504	29.47526929	3.042298397	45.98152511	21.04176158	2.720579216	28.27626404	5.713790116	9.558239354	27.11866216	30.57886817	42.45458475	2.663222478	32.25598087	10.14337596	2.205278074	24.53626404	3.318082131	49.34336213
