Product name,Product number,Panellist,Replicate,Session,Serving order,N-Cream,N-Acidic,N-Butter,N-Old milk,E-White,E-Grey,E-Yellow,E-Green,H-Resistance,E-Grainy,E-Shiny,M-Firm,M-Melt down,M-Resistance,M-Creaminess,M-Grainy,M-Chalky,M-Cream,M-Fat,M-Butter,M-Salt,M-Sour,M-Sweet
16%,3,1,1,1,5,5.55,5.4,5.4,5.1,9.45,2.4,4.8,0.75,5.4,1.5,12.75,7.35,8.4,7.35,7.65,1.8,2.7,6.9,8.25,8.25,6.15,6.75,4.05
16%,3,2,1,1,4,8.55,6.75,7.8,3,9.9,3.6,3.75,3,4.2,4.05,12.9,2.7,4.8,5.4,9.15,4.8,4.5,8.55,7.05,6.9,6.3,5.25,4.8
16%,3,3,1,1,1,7.05,9,9.6,1.95,10.8,1.65,2.25,0.75,6.6,1.65,9,5.55,10.95,6.45,7.65,2.4,3,6.6,7.95,9.45,5.25,8.85,1.8
16%,3,4,1,1,2,8.55,6,10.8,1.95,7.95,4.05,4.65,1.8,4.5,7.95,10.35,4.2,13.2,1.65,2.85,3.9,5.1,5.4,4.95,5.55,5.55,12.6,1.8
16%,3,5,1,1,3,8.85,8.7,9.75,4.95,9.75,2.85,1.95,1.8,5.25,8.1,11.1,6.6,10.35,4.8,8.7,3.3,6.3,8.1,10.5,9.45,6.75,7.35,2.85
16%,3,6,1,1,5,10.65,3.9,9.6,3,10.2,2.1,3.3,2.55,4.2,3.3,12.3,7.35,10.05,5.4,9.75,9.3,2.4,9.15,8.85,7.05,10.35,9.75,9.3
16%,3,7,1,1,1,7.95,10.8,10.35,1.8,12.15,3.3,1.2,0.45,5.85,1.65,9.15,3.3,9.15,4.35,11.7,1.5,3.45,9.3,8.1,9,8.25,7.35,4.8
16%,3,8,1,1,4,9,6.75,6.45,3.15,6.75,5.55,4.2,3.3,6,5.25,5.85,6,4.95,6.3,6.3,4.05,3.3,6.9,4.35,7.65,4.35,4.95,2.55
16%,3,1,2,3,1,6,8.4,7.2,1.65,10.8,2.7,1.35,0.9,6.75,0.45,13.65,7.35,9.45,7.05,8.4,1.05,3,6.9,8.25,8.1,6.75,6.9,4.65
16%,3,2,2,3,2,7.65,6.6,6.9,2.7,9.15,2.7,4.2,2.7,5.55,3.9,10.5,4.2,7.2,4.35,10.5,4.5,4.2,9.75,10.2,8.55,6.15,5.55,4.65
16%,3,3,2,3,3,7.5,10.8,10.35,1.95,10.8,2.4,1.95,1.35,5.7,1.5,11.4,6.15,8.25,6.75,8.1,3.75,2.4,9.45,10.95,10.65,6.6,5.25,1.5
