ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3,MeanFingerArea,MeanToeArea,SumFingers,SumToes,MaxFingerForce
537,After,Pine Cay,Male,48.69,10.39,11.87,7.52,7.43,8.66,7.99,2.22,3.19,10,12,1.321,1.338,1.339,2.529,2.402,2.369,1.332666667,2.433333333,2.663,4.791,0.116
539,After,Pine Cay,Female,40.31,8.66,9.79,6.18,6.2,8.01,6.51,2.38,3.55,10,13,0.962,0.95,0.972,1.498,1.525,1.53,0.961333333,1.517666667,2.595,3.678,0.048
540,After,Pine Cay,Male,58.3,12.87,14.76,9.45,9.58,11.72,9.54,3.54,5.09,14,15,2.507,2.702,2.685,4.157,4.14,3.996,2.631333333,4.097666667,7.347,4.682,0.424
541,After,Pine Cay,Female,43.15,8.55,10.29,6.6,6.26,7.43,6.6,2.79,3.55,11,12,1.172,1.175,1.186,1.898,1.871,1.867,1.177666667,1.878666667,2.786,5.378,0.171
542,After,Pine Cay,Female,45.51,10.26,11.02,6.89,7.02,7.71,7.25,2.52,3.37,11,13,1.376,1.357,1.42,2.627,2.435,2.529,1.384333333,2.530333333,3.575,6.646,0.014
543,After,Pine Cay,Female,46.97,10.02,10.78,6.85,7.18,8.45,7.15,2.39,3.26,12,14,1.428,1.41,1.44,2.061,2.018,2.029,1.426,2.036,3.829,5.771,0.267
544,After,Pine Cay,Male,52.88,12.74,12.43,7.9,8.23,9.88,8.4,3.15,4.3,11,14,1.873,1.85,1.85,2.984,2.983,2.958,1.857666667,2.975,5.453,8.427,0.356
545,After,Pine Cay,Male,57.01,11.87,12.91,8.24,8.02,10.31,8.79,3.18,4.2,12,12,2.558,2.544,2.574,4.016,3.952,3.968,2.558666667,3.978666667,7.812,9.427,0.191
546,After,Pine Cay,Female,43.17,9.99,11.13,6.88,6.7,7.78,7.11,2.82,3.36,12,13,1.114,1.08,1.04,1.794,1.716,1.805,1.078,1.771666667,2.68,4.243,0.191
547,After,Pine Cay,Male,54.2,11.32,13.07,7.77,7.7,10.19,8.7,3.05,4.12,12,16,2.284,2.344,2.27,3.916,3.913,3.88,2.299333333,3.903,6.907,10.913,0.151
548,After,Pine Cay,Female,41.38,9.26,10.48,6.69,5.98,7.21,6.82,2.38,2.87,12,13,1.101,1.076,1.055,1.573,1.501,1.514,1.077333333,1.529333333,3.065,11.329,0.26
549,After,Pine Cay,Female,44.75,9.23,10.13,6.68,6.52,7.63,6.55,2.71,3.22,11,13,1.293,1.257,1.369,2.317,2.36,2.267,1.306333333,2.314666667,3.472,4.385,0.075
550,After,Pine Cay,Male,60.75,13.89,14.91,8.76,8.36,11.63,9.47,3.03,4.43,13,15,2.515,2.376,2.517,4.337,4.318,4.362,2.469333333,4.339,7.378,12.509,0.103
553,After,Pine Cay,Female,46.53,9.44,10.63,6.7,6.35,7.78,7.18,2.28,3.32,11,14,1.382,1.379,1.359,1.867,1.836,1.874,1.373333333,1.859,4.01,5.365,0.246
554,After,Pine Cay,Male,57.7,11.69,13.75,8.3,8.42,10.84,8.55,3.28,4.14,11,15,2.233,2.232,2.155,3.542,3.581,3.569,2.206666667,3.564,6.559,10.044,0.294
555,After,Pine Cay,Male,49.3,10.79,12.23,7.79,7.21,8.96,7.76,2.73,3.61,12,14,1.381,1.343,1.381,2.24,2.241,2.254,1.368333333,2.245,4.36,6.581,0.322
558,After,Pine Cay,Male,53.86,12.03,13.34,8.49,8.74,9.76,8.62,2.9,4.09,14,15,2.056,2.075,2.081,3.571,3.593,3.65,2.070666667,3.604666667,6.253,9.859,0.397
559,After,Pine Cay,Male,53.19,11.78,12.98,7.85,7.21,9.61,8.46,2.78,3.8,13,15,2.018,1.945,1.996,2.932,2.955,2.832,1.986333333,2.906333333,5.939,8.684,0.068
560,After,Pine Cay,Male,53.68,12.18,12.9,8.12,8.06,9.95,8.33,2.44,4.14,12,15,1.809,1.882,1.807,3.181,3.176,3.195,1.832666667,3.184,6.634,9.752,0.102
561,After,Pine Cay,Female,41.08,9.06,9.63,5.92,5.4,6.77,6.36,2.01,3.22,11,11,0.957,0.95,0.939,1.37,1.381,1.29,0.948666667,1.347,2.656,4.265,0.103
562,After,Pine Cay,Female,41.09,8.72,10.23,6.56,5.98,7.6,6.14,2.42,3.31,12,15,1.037,1.031,1.076,1.64,1.645,1.667,1.048,1.650666667,2.805,4.59,0.027
563,After,Pine Cay,Male,47.06,10.61,11.61,7.5,6.69,9.13,7.46,2.86,3.68,12,15,1.394,1.425,1.411,2.276,2.228,2.247,1.41,2.250333333,4.712,6.763,0.11
566,After,Pine Cay,Male,52.28,11.13,12.43,7.63,7.24,9.81,8.2,3.04,3.68,12,15,1.585,1.6,1.581,2.783,2.765,2.846,1.588666667,2.798,4.687,7.468,0.191
567,After,Pine Cay,Male,51.8,11.39,12.59,7.86,7.43,9.43,7.97,2.77,3.85,12,15,1.852,1.902,1.898,3.136,3.137,3.089,1.884,3.120666667,5.503,8.425,0.328
568,After,Pine Cay,Male,54.18,12.99,12.76,8.1,7.59,10.12,8.49,3.32,4.21,12,14,1.805,1.851,1.835,3.244,3.193,3.104,1.830333333,3.180333333,,,0.315
570,After,Pine Cay,Male,58.86,12.91,14.27,8.33,7.44,10.95,9.23,3.51,4.61,13,16,2.284,2.29,2.384,4.123,4.078,4.128,2.319333333,4.109666667,8.117,12.022,0.109
571,After,Pine Cay,Male,51.76,11.11,13.03,8.22,7.8,9.92,8.39,2.86,4.28,11,15,1.887,1.831,1.817,2.761,2.728,2.8,1.845,2.763,5.379,8.093,0.226
572,After,Pine Cay,Female,43.49,9.41,10.04,6.54,6.84,7.64,6.74,2.58,3.42,11,12,1.121,1.115,1.12,1.254,1.232,1.247,1.118666667,1.244333333,2.809,5.099,0.055
574,After,Pine Cay,Male,56.69,11.74,13.69,8.75,8.49,11.24,9.17,3.23,4.85,12,15,2.049,2.063,2.052,3.67,3.733,3.702,2.054666667,3.701666667,6.016,10.446,0.143
576,After,Pine Cay,Male,59.02,12.42,14.37,9.12,9.19,10.94,9.74,3.34,4.76,12,14,2.443,2.547,2.449,4.329,4.425,4.351,2.479666667,4.368333333,7.474,11.015,0.253
577,After,Pine Cay,Female,45.87,9.19,10.58,6.99,6.26,8.28,6.92,2.74,3.12,12,12,1.391,1.296,1.261,1.946,1.97,1.903,1.316,1.939666667,3.218,5.257,0.041
578,After,Pine Cay,Female,42.01,9.44,10.47,6.77,6.34,7.58,6.54,2.93,3.57,11,14,1.083,1.041,1.087,1.697,1.725,1.724,1.070333333,1.715333333,3.504,5.501,0.102
579,After,Pine Cay,Male,48.96,10.25,12.05,7.61,7.32,8.87,7.6,2.65,4,13,15,1.766,1.73,1.707,2.209,2.289,2.331,1.734333333,2.276333333,4.585,7.382,0.185
580,After,Pine Cay,Female,43.61,9.88,10.13,6.48,5.73,7.56,6.76,2.37,3.1,11,13,1.019,1.183,1.178,1.86,1.844,1.766,1.126666667,1.823333333,3.195,4.875,0.233
581,After,Pine Cay,Male,56.21,11.84,13.13,8.54,7.67,10.03,8.96,2.89,3.61,12,14,1.944,1.986,1.75,3.182,3.175,3.138,1.893333333,3.165,6.48,9.642,0.568
582,After,Pine Cay,Male,52.95,12,13.32,8.39,7.87,10.89,8.6,2.94,3.57,12,12,1.685,1.723,1.787,2.848,2.719,2.752,1.731666667,2.773,5.366,6.26,0.294
583,After,Pine Cay,Male,62.44,14.12,14.98,9.33,9.17,12,10.31,3.36,4.97,13,15,2.952,3.01,2.996,4.798,4.882,4.839,2.986,4.839666667,9.923,15.614,0.109
585,After,Pine Cay,Male,54.32,12.74,13.13,8.88,7.53,9.87,8.79,3.08,4.21,12,16,1.97,1.927,1.976,3.321,3.331,3.306,1.957666667,3.319333333,6.067,9.905,0.061
587,After,Pine Cay,Female,42.57,9.15,10.13,6.43,6.2,7.35,6.72,2.2,3.05,10,13,0.875,0.862,0.827,1.798,1.896,1.799,0.854666667,1.831,3.239,4.853,0.123
588,After,Pine Cay,Male,47.44,10.32,11.6,7.73,6.66,8.5,7.56,2.35,3.65,,,,,,,,,,,,,0.274
591,After,Pine Cay,Male,47.97,10.55,11.73,7.24,7.05,8.24,7.48,2.35,3.54,11,13,1.383,1.407,1.41,2.313,2.257,2.265,1.4,2.278333333,4.563,6.577,0.082
592,After,Pine Cay,Male,51.6,12.1,12.71,7.89,7.43,9.26,8.46,2.74,3.89,12,15,1.644,1.538,1.506,2.846,2.852,2.837,1.562666667,2.845,4.888,8.483,0.062
593,After,Pine Cay,Male,52.96,12.1,12.9,8.2,7.55,9.16,8.4,2.45,4,12,14,1.985,1.996,1.988,3.259,3.225,3.227,1.989666667,3.237,5.964,9.201,0.069
594,After,Pine Cay,Female,45.08,8.87,10.42,6.85,6.43,7.79,6.72,2.3,3.58,10,13,1.09,1.075,1.096,1.997,1.925,1.898,1.087,1.94,3.392,5.463,0.048
