id	nest	treat	mass6	tars6	mass14	tars14	wing14	laydate	year
CK59989	690	H	5.1	11.1	10.8	18.2	41	17	2010
CK59990	690	H	5.6	12.3	11.2	19	42	17	2010
CK59991	690	H	5.8	12	11.6	18.8	43	17	2010
CK59992	690	H	5.9	12.4	12	19.3	42.5	17	2010
CK59993	690	H	5.6	11.3	12.6	19.4	42	17	2010
CK59994	690	H	5.7	11.2	11.6	18.4	42	17	2010
CK59995	690	H	5.4	11.6	11.1	18.5	42	17	2010
CK59996	690	H	5.7	12.3	11.8	18.9	41.5	17	2010
CK59997	690	H	5.3	11.2	11.7	18.6	39.5	17	2010
CK59998	690	H	4.6	10.2	12.2	18.8	41	17	2010
CK59979	623	M	5.3	11.3	11.2	19.2	41	17	2010
CK59980	623	M	4.7	10.5	9.9	18.4	38.5	17	2010
CK59981	623	M	5.2	11	9.4	18	38.5	17	2010
CK59982	623	M	4.6	9.8	9.7	17.4	38.5	17	2010
CK59983	623	M	5.1	10.9	9.7	18.4	38	17	2010
CK59984	623	M	4.4	9.8	9.3	17.7	37.5	17	2010
CK59985	623	M	5.3	11.2	11.3	18.8	40	17	2010
CK59810	623	M	3.7	9.2	7.2	15.5	28.5	17	2010
NA	623	M	3	8.9	NA	NA	NA	17	2010
CK59986	867	L	4.8	9.8	10.8	17.7	38.5	17	2010
CK59987	867	L	6.2	11.1	12.1	18.1	43.5	17	2010
CK59988	867	L	5.6	10.5	11.2	17.5	41.5	17	2010
CK59812	867	L	3.8	9.8	9.4	17	35.5	17	2010
CK59813	H8	M	5.3	10.8	10.7	18.4	40.5	18	2010
CK59814	H8	M	4.4	10.1	10.2	18.6	37	18	2010
CK59815	H8	M	4	9.3	10.3	18	34.5	18	2010
CK59816	H8	M	5	10.6	10.2	18.5	39.5	18	2010
CK59817	H8	M	5.1	10.6	10.5	18.3	40	18	2010
CL77375	H8	M	2.6	NA	9.2	17.3	31	18	2010
CK59961	515	M	3.8	9.5	10.6	17.7	34.5	16	2010
CK59962	515	M	3.8	9.1	NA	NA	NA	16	2010
CK59963	515	M	4.8	10.2	11.5	18.6	37.5	16	2010
CK59964	515	M	4.3	9.6	11.4	17.6	35	16	2010
NA	515	M	2.6	8.2	NA	NA	NA	16	2010
CK59806	161	H	5.4	10.9	11	18.6	41	19	2010
CK59807	161	H	4.7	10	10.1	17.8	39.5	19	2010
CK59808	161	H	5.6	10.6	11.8	18.8	42	19	2010
CK59809	161	H	4.9	10	11.1	18.5	40	19	2010
CL77376	161	H	3.2	8.2	10.2	17.3	32.5	19	2010
NA	161	H	2.9	8.4	NA	NA	NA	19	2010
CK59999	82	H	3.4	9.3	NA	NA	NA	18	2010
CK59801	82	H	4.2	10	NA	NA	NA	18	2010
CK59802	82	H	4.1	9.7	NA	NA	NA	18	2010
CK59803	82	H	4.3	10.1	NA	NA	NA	18	2010
CK59804	82	H	4.3	10.1	NA	NA	NA	18	2010
CK59805	82	H	4.2	10.7	NA	NA	NA	18	2010
