Genotype	Treatment	cell_count
A	trt2	59
A	trt2	73
A	trt2	63
A	trt2	89
A	trt2	103
A	trt2	105
A	trt2	120
A	trt2	148
A	trt2	136
B	trt3	96
B	trt3	48
B	trt3	42
B	trt3	85
B	trt3	79
B	trt3	107
B	trt3	76
B	trt3	126
B	trt3	255
B	trt3	105
A	trt3	79
A	trt3	110
A	trt3	173
A	trt3	47
A	trt3	130
A	trt3	242
A	trt3	55
A	trt3	57
A	trt3	72
A	trt3	85
A	trt3	92
A	trt2	79
A	trt2	103
A	trt2	31
A	trt2	113
A	trt2	172
B	trt1	73
B	trt1	72
B	trt1	70
B	trt1	82
B	trt1	95
B	trt1	203
B	trt1	413
A	trt3	90
A	trt3	103
A	trt3	190
A	trt3	174
A	trt3	152
A	trt3	97
A	trt3	82
A	trt3	90
A	trt3	96
A	trt3	127
A	trt1	124
A	trt1	132
A	trt1	97
A	trt1	64
A	trt1	74
A	trt1	72
A	trt1	70
A	trt1	132
B	trt1	195
B	trt1	120
B	trt1	150
B	trt1	179
B	trt1	252
B	trt1	139
B	trt1	174
B	trt1	287
B	trt1	290
A	trt1	142
A	trt1	179
A	trt1	86
A	trt1	125
A	trt1	121
A	trt1	200
A	trt1	323
B	trt2	35
B	trt2	95
B	trt2	40
B	trt2	54
B	trt2	25
B	trt2	38
B	trt2	52
B	trt2	47
B	trt2	101
B	trt2	38
A	trt2	80
A	trt2	75
A	trt2	67
A	trt2	67
A	trt2	95
A	trt2	96
A	trt2	112
A	trt2	95
A	trt2	129
A	trt2	134
B	trt3	91
B	trt3	169
B	trt3	57
B	trt3	49
B	trt3	63
B	trt3	92
B	trt3	279
A	trt2	104
A	trt2	61
A	trt2	49
A	trt2	100
A	trt2	114
A	trt2	156
A	trt2	147
B	trt2	39
B	trt2	60
B	trt2	80
B	trt2	39
B	trt2	40
B	trt2	55
B	trt2	76
A	trt3	80
A	trt3	75
A	trt3	96
A	trt3	200
A	trt3	69
A	trt3	82
A	trt3	122
