Individual,Genotype,Microbiota,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50
AC1,A,conventional,16,15,71,153,2,11,9,11,540,104,866,1004,39,31,1,88,85,1429,16,21,166,8,4,5,136,178,2,5,4,825,172,196,1887,17,34,111,139,11,21,4,95,294,133,8,8,143,8,112,15,23
AC2,A,conventional,7,6,72,123,1,4,11,17,374,84,837,908,38,29,20,100,51,1564,17,10,177,10,9,9,102,173,12,1,4,836,204,137,1800,11,44,255,120,7,12,5,78,303,116,9,2,322,11,95,14,8
AC3,A,conventional,9,8,22,178,0,17,13,24,410,119,883,1261,31,105,3,5,25,1656,16,37,179,3,16,8,203,221,13,1,9,661,341,48,2401,23,18,7,120,0,5,9,96,401,188,7,14,9,17,8,16,23
AC4,A,conventional,8,18,15,128,2,14,11,25,434,63,844,900,33,1,17,116,102,1587,17,23,174,16,11,6,190,170,11,3,4,905,193,202,2782,17,26,15,145,9,28,5,86,344,146,7,9,176,13,135,16,7
AC5,A,conventional,11,19,51,210,1,9,11,15,390,84,843,1358,26,116,3,59,53,1471,17,21,177,4,17,7,201,162,8,3,5,931,220,261,2200,17,2,225,114,18,17,10,86,337,159,8,2,123,13,142,16,23
AC6,A,conventional,19,20,31,148,2,14,13,18,541,95,815,1401,34,80,10,70,40,1517,16,23,173,12,10,9,116,210,5,2,10,686,221,58,2285,15,53,54,107,10,16,6,100,277,109,8,3,369,7,114,15,19
AC7,A,conventional,9,11,82,127,1,20,11,26,392,102,864,1169,33,86,4,97,99,1610,17,16,173,9,10,8,203,287,19,1,3,693,91,237,2058,17,41,92,119,7,30,5,82,395,96,6,7,408,10,128,13,22
AC8,A,conventional,11,11,52,126,0,6,11,23,651,88,847,1084,34,74,22,7,32,1568,16,24,178,14,1,6,106,188,19,1,10,676,121,163,1557,11,27,293,113,10,11,3,92,244,161,7,10,64,7,116,16,26
AC9,A,conventional,16,5,46,133,2,11,13,13,442,135,864,1030,35,65,8,80,49,1430,15,41,176,4,11,11,128,180,10,1,2,885,127,19,1803,22,35,21,122,23,10,10,89,273,203,8,1,398,10,31,15,1
AC10,A,conventional,18,15,99,166,1,24,7,17,497,79,859,1186,40,123,21,61,49,1645,16,21,175,9,6,8,88,202,6,5,8,845,187,72,2315,14,43,253,115,16,17,4,72,313,180,8,8,429,9,133,16,14
