Snail_ID,Strain ,Inf_Dose,Tray,Infected,Initial_Size_mm,Weeks_to_first_shed,Total_weeks_shed,Total_Parasites,Avg_Parasites_per_Shed,Week_Died
60,36,0,k,0,6.67,NA,NA,NA,NA,2
51,36,0,o,0,5.44,NA,NA,NA,NA,3
431,36,0,g,0,4.89,NA,NA,NA,NA,3
432,36,0,e,0,3.97,NA,NA,NA,NA,3
56,36,0,h,0,7.97,NA,NA,NA,NA,6
49,36,0,c,0,7.86,NA,NA,NA,NA,10
55,36,0,a,0,5.21,NA,NA,NA,NA,11
54,36,0,n,0,5.15,NA,NA,NA,NA,14
72,36,0,e,0,4.2,NA,NA,NA,NA,14
69,36,0,b,0,4.36,NA,NA,NA,NA,15
61,36,0,i,0,4.47,NA,NA,NA,NA,16
430,36,0,d,0,4.9,NA,NA,NA,NA,20
58,36,0,b,0,5.99,NA,NA,NA,NA,23
67,36,0,n,0,5.36,NA,NA,NA,NA,32
68,36,0,g,0,5.13,NA,NA,NA,NA,32
70,36,0,i,0,4.52,NA,NA,NA,NA,37
63,36,0,b,0,5.01,NA,NA,NA,NA,49
50,36,0,c,0,7.08,NA,NA,NA,NA,52
53,36,0,h,0,7.59,NA,NA,NA,NA,54
57,36,0,k,0,5.54,NA,NA,NA,NA,54
59,36,0,l,0,7.6,NA,NA,NA,NA,55
62,36,0,h,0,4.62,NA,NA,NA,NA,55
429,36,0,a,0,3.86,NA,NA,NA,NA,56
65,36,0,m,0,5.33,NA,NA,NA,NA,57
52,36,0,m,0,5.97,NA,NA,NA,NA,59
71,36,0,p,0,4.97,NA,NA,NA,NA,60
66,36,0,o,0,3.85,NA,NA,NA,NA,65
386,36,1,m,0,5.33,NA,NA,NA,NA,2
35,36,1,a,0,6.57,NA,NA,NA,NA,3
39,36,1,g,0,4,NA,NA,NA,NA,3
43,36,1,j,0,5.62,NA,NA,NA,NA,3
46,36,1,k,0,3.99,NA,NA,NA,NA,3
32,36,1,i,0,7.42,NA,NA,NA,NA,6
37,36,1,e,0,4.23,NA,NA,NA,NA,6
42,36,1,d,1,4.94,6,1,820,820,7
41,36,1,s,1,5.23,6,2,3680,1840,8
47,36,1,i,1,4.84,6,2,5160,2580,8
385,36,1,n,1,5.15,8,5,14100,2820,13
25,36,1,q,1,7.23,5,8,16790,2098.75,13
30,36,1,o,0,5.51,NA,NA,NA,NA,13
27,36,1,j,1,5.74,7,7,16520,2360,14
44,36,1,f,1,4.57,6,8,19120,2390,14
31,36,1,m,1,7.57,6,9,37410,4156.666667,15
387,36,1,n,0,5.44,NA,NA,NA,NA,15
26,36,1,n,1,6.82,6,13,43310,3331.538462,19
29,36,1,g,1,5.88,6,13,30230,2325.384615,19
38,36,1,a,1,5.11,6,15,25940,1729.333333,21
36,36,1,s,0,7.2,NA,NA,NA,NA,22
33,36,1,c,0,6.86,NA,NA,NA,NA,30
40,36,1,d,0,4.93,NA,NA,NA,NA,49
34,36,1,c,0,5.06,NA,NA,NA,NA,52
45,36,1,f,0,4.88,NA,NA,NA,NA,52
28,36,1,p,0,7.97,NA,NA,NA,NA,54
388,36,1,k,0,4,NA,NA,NA,NA,56
48,36,1,d,0,5.48,NA,NA,NA,NA,65
5,36,10,g,0,5.59,NA,NA,NA,NA,2
381,36,10,f,0,4.93,NA,NA,NA,NA,3
382,36,10,a,0,4.28,NA,NA,NA,NA,3
383,36,10,i,0,3.92,NA,NA,NA,NA,3
12,36,10,m,0,6.45,NA,NA,NA,NA,4
24,36,10,q,0,5.04,NA,NA,NA,NA,4
2,36,10,l,0,6.73,NA,NA,NA,NA,5
13,36,10,b,0,5.59,NA,NA,NA,NA,5
18,36,10,p,0,5.56,NA,NA,NA,NA,5
8,36,10,k,1,7.21,5,1,960,960,6
19,36,10,p,1,4.89,5,1,220,220,6
20,36,10,f,1,4.9,5,1,500,500,6
384,36,10,k,0,6.48,NA,NA,NA,NA,6
16,36,10,q,0,4.72,NA,NA,NA,NA,6
6,36,10,l,1,7.55,6,1,2860,2860,7
7,36,10,l,1,6.71,6,1,3770,3770,7
15,36,10,f,1,5.08,6,1,110,110,7
23,36,10,a,1,4.99,5,2,5480,2740,7
9,36,10,e,1,7.33,6,2,6345,3172.5,8
21,36,10,e,1,5.69,6,2,4540,2270,8
11,36,10,s,1,5.84,6,4,5360,1340,10
14,36,10,q,1,5.09,6,4,5780,1445,10
17,36,10,s,1,4.87,6,5,5160,1032,11
1,36,10,n,1,8.05,6,6,14910,2485,12
22,36,10,h,1,4.63,6,7,18010,2572.857143,13
4,36,10,j,1,6.38,7,7,20360,2908.571429,14
3,36,10,j,1,5.9,6,8,17330,2166.25,14
10,36,10,d,0,7.82,NA,NA,NA,NA,65
143,83,0,i,0,7.25,NA,NA,NA,NA,3
131,83,0,c,0,8.23,NA,NA,NA,NA,4
428,83,0,l,0,8.02,NA,NA,NA,NA,9
134,83,0,g,0,8.28,NA,NA,NA,NA,10
140,83,0,a,0,6.63,NA,NA,NA,NA,10
142,83,0,h,0,6.07,NA,NA,NA,NA,10
133,83,0,u,0,6.46,NA,NA,NA,NA,14
136,83,0,d,0,6.6,NA,NA,NA,NA,15
125,83,0,b,0,8.48,NA,NA,NA,NA,15
135,83,0,s,0,7.06,NA,NA,NA,NA,19
132,83,0,p,0,8.03,NA,NA,NA,NA,20
137,83,0,q,0,7.08,NA,NA,NA,NA,21
127,83,0,k,0,7.21,NA,NA,NA,NA,28
121,83,0,r,0,5.55,NA,NA,NA,NA,35
141,83,0,f,0,6.39,NA,NA,NA,NA,48
126,83,0,i,0,7.13,NA,NA,NA,NA,49
138,83,0,s,0,6.54,NA,NA,NA,NA,50
425,83,0,r,0,7.76,NA,NA,NA,NA,57
130,83,0,r,0,7.33,NA,NA,NA,NA,60
144,83,0,k,0,7.65,NA,NA,NA,NA,60
426,83,0,a,0,7.44,NA,NA,NA,NA,60
128,83,0,h,0,6.26,NA,NA,NA,NA,61
122,83,0,t,0,5.08,NA,NA,NA,NA,64
124,83,0,a,0,4.05,NA,NA,NA,NA,64
129,83,0,b,0,8.63,NA,NA,NA,NA,64
424,83,0,t,0,7.46,NA,NA,NA,NA,65
123,83,0,o,0,5.34,NA,NA,NA,NA,65
427,83,0,v,0,6.57,NA,NA,NA,NA,65
118,83,1,b,0,5.61,NA,NA,NA,NA,5
114,83,1,g,1,6.43,7,1,0,0,8
108,83,1,p,1,7.66,5,5,60,12,10
99,83,1,p,0,5.74,NA,NA,NA,NA,10
390,83,1,h,0,7.49,NA,NA,NA,NA,10
109,83,1,f,1,6.45,6,7,23960,3422.857143,13
119,83,1,t,1,5.07,6,9,13660,1517.777778,15
120,83,1,e,1,3.86,6,13,20700,1592.307692,19
102,83,1,h,0,7.04,NA,NA,NA,NA,21
97,83,1,v,1,3.99,9,16,32690,2043.125,25
117,83,1,t,1,5.03,6,19,23250,1223.684211,25
391,83,1,e,1,6.08,10,16,10540,658.75,26
113,83,1,u,0,7.71,NA,NA,NA,NA,28
112,83,1,f,1,7.22,28,2,1600,800,30
103,83,1,e,1,8.22,8,22,13489,613.1363636,30
116,83,1,c,1,6.83,21,14,12590,899.2857143,35
101,83,1,h,1,6.77,6,30,30750,1025,38
106,83,1,e,1,8.39,10,30,18970,632.3333333,40
110,83,1,i,0,6.22,NA,NA,NA,NA,48
104,83,1,f,0,6.3,NA,NA,NA,NA,51
393,83,1,f,1,6.42,11,30,35,1.166666667,59
392,83,1,d,0,6.35,NA,NA,NA,NA,59
98,83,1,g,0,4.83,NA,NA,NA,NA,64
100,83,1,r,0,5.18,NA,NA,NA,NA,64
105,83,1,q,0,6.65,NA,NA,NA,NA,64
111,83,1,c,0,7.04,NA,NA,NA,NA,64
389,83,1,i,0,8.18,NA,NA,NA,NA,64
107,83,1,v,1,6.45,11,30,20,0.666666667,65
115,83,1,o,0,7.12,NA,NA,NA,NA,65
74,83,10,r,0,4.76,NA,NA,NA,NA,3
81,83,10,e,0,6.5,NA,NA,NA,NA,5
94,83,10,p,0,6.38,NA,NA,NA,NA,6
87,83,10,d,1,7.59,6,1,770,770,7
