OTU_ID	ComD55.B	ComD61.B	ComD49.B	ComD10.B	ComD14.B	ComD47.C	ComC11.B	ComC46.A	ComC43.A	ComC20.A	ComC45.A	ComC49.B	ComD16.C	ComC45.B	ComC24.A	ComC31.A	ComC43.B	ComD29.B	ComC47.A	ComD43.C	ComC13.A	ComD76.B	ComD76.C	ComC13.B	ComD60.C	ComD23.C	ComD18.B	ComD8.A	ComD65.B	ComD18.C	ComC55.B	ComD28.B	ComD78.C	ComD66.B	ComD61.C	ComD21.C	ComD65.C	ComC53.B	ComC9.A	ComC10.A	ComC6.B	ComD49.C	ComC65.A	ComD64.B	ComC50.A	ComD64.C	ComD3.B	ComD51.C	ComD71.C	ComD5.A	ComD37.C	ComC54.A	ComC33.A	ComD62.B	ComD24.C	ComD8.B	ComC24.B	ComD41.C	ComC32.A	ComC41.B	ComC15.B	ComD4.A	ComD29.C	ComD48.C	ComD34.C	ComD5.B	ComD70.B	ComC15.A	ComD25.C	ComC9.B	ComD75.C	ComD20.C	ComC48.B	ComC65.B	ComD36.B	ComC21.A	ComD70.C	ComD62.C	ComC39.B	ComC33.B	ComD3.A	ComC44.B	ComD53.B	ComD26.B	ComD20.B	ComD11.A	ComD35.C	ComC69.A	ComD31.B	ComD36.C	ComD24.B	ComC14.A	ComC62.A	ComD25.B	ComD50.C	ComC60.B	ComC50.B	ComC5.A	ComD31.C	ComD26.C	ComC27.A	ComC22.A	ComC69.B	ComD2.A	ComC22.B	ComC41.A	ComC26.A	ComC54.B	ComC30.B	ComD50.B	ComD54.C	ComD71.B	ComD4.B	ComD48.B	ComD34.B	ComD33.C	ComC55.A	ComC11.A	ComD39.C	ComD43.B	ComC40.A	ComD38.B	ComD46.B	ComC40.B	ComC18.A	ComC21.B	ComD16.B	ComC62.B	ComD28.C	ComC7.B	ComD73.B	ComD12.A	ComC58.A	ComC67.A	ComD33.B	ComD78.B	ComD57.C	ComD23.B	ComD15.B	ComC38.B	ComC49.A	ComD11.B	ComD21.B	ComD51.B	ComD38.C	ComD79.C	ComC28.A	ComD80.C	ComD79.B	ComC8.A	ComD80.B	ComD7.B	ComD13.A	ComC59.B	ComD55.C	ComC17.A	ComC28.B	ComC48.A	ComD13.B	ComD42.C	ComC17.B	ComD14.A	ComC59.A	ComD77.C	ComC68.A	ComC8.B	ComD63.B	ComC26.B	ComC67.B	ComD42.B	ComD73.C	ComC10.B	ComD17.C	ComC20.B	ComD37.B	ComD59.C	ComD12.B	ComD69.C	ComC47.B	ComD44.B	ComC44.A	ComD27.B	ComC56.A	ComC31.B	ComC2.A	ComD67.C	ComD67.B	ComC52.A	ComC57.B	ComD19.C	ComD54.B	ComD17.B	ComC29.B	ComC52.B	ComD40.C	ComC30.A	ComD53.C	ComD72.C	ComC27.B	ComD30.C	ComD47.B	ComD75.B	ComD69.B	ComD2.B	ComC32.B	ComC57.A	ComC51.B	ComC66.B	ComD63.C	ComD52.B	ComC39.A	ComC6.A	ComD52.C	ComC34.A	ComD27.C	ComD15.A	ComC46.B	ComC25.B	ComD44.C	ComC56.B	ComD10.A	ComD1.A	ComD19.B	ComD72.B	ComC36.A	ComC51.A	ComD39.B	ComC2.B	ComD60.B	ComD30.B	ComC63.A	ComC14.B	ComC35.B	ComC34.B	ComD66.C	ComC58.B	ComC53.A	ComD1.B	ComD22.C	ComC19.B	ComD56.B	ComC7.A	ComC12.A	ComD77.B	ComD7.A	ComC37.A	ComD9.B	ComC16.A	ComC29.A	ComC37.B	ComC16.B	ComC19.A	ComD74.C	ComC61.A	ComC42.B	ComC42.A	ComC35.A	ComD46.C	ComD35.B	ComC38.A	ComD58.C	ComC61.B	NegCont.C	ComD57.B	ComD45.C	NegCont.B	ComC64.A	ComC68.B	ComC60.A	ComC64.B	ComD68.C	ComD74.B	ComD68.B	ComD9.A	ComC66.A	ComD56.C	ComC18.B	ComC12.B	ComD58.B	ComC36.B
Unassigned;Other;Other;Other	400	85	284	8	316	169	8	38	93	631	297	261	42	307	106	792	76	1117	86	322	1751	143	147	1623	22	178	151	891	219	155	3	54	2	14	71	130	232	2	131	4952	41	322	556	155	237	179	1151	130	31	44	39	15	743	34	4	919	101	18	10	260	140	136	1234	30	8	36	22	166	29	193	73	7	35	623	270	54	11	47	17	855	1156	101	17	139	5	205	8	6	2	295	8	48	224	25	63	57	256	26	1	173	12	23	15	311	20	222	1	23	49	73	91	69	144	36	9	159	3	4	23	336	253	0	24	277	36	40	25	221	135	13	19	7	19	239	180	3	89	136	61	1	253	213	145	144	3	11	28	1	61	328	13	47	18	387	231	76	24	18	22	87	54	284	473	83	9	313	136	2	214	94	22	4970	610	646	42	357	11	108	80	290	99	165	9	626	46	17	27	96	13	481	90	676	19	98	74	50	13	14	7	256	138	67	155	313	12	8	30	14	140	64	21	52	78	28	98	63	40	173	266	15	2	712	535	21	92	33	10	58	36	249	18	16	58	10	10	18	8	690	6	1	98	11	24	93	34	38	170	6	17	39	0	3	5	1	7	3	46	9	7	3	10	3	4	153	1	1	16	6	48	23	86	3	153	150	7	85	41	30	5	68
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	0	2	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	4	0	6	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3;c__JG37-AG-4;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
