OTU_ID	ComD55.B	ComD61.B	ComD49.B	ComD10.B	ComD14.B	ComD47.C	ComC11.B	ComC46.A	ComC43.A	ComC20.A	ComC45.A	ComC49.B	ComD16.C	ComC45.B	ComC24.A	ComC31.A	ComC43.B	ComD29.B	ComC47.A	ComD43.C	ComC13.A	ComD76.B	ComD76.C	ComC13.B	ComD60.C	ComD23.C	ComD18.B	ComD8.A	ComD65.B	ComD18.C	ComC55.B	ComD28.B	ComD78.C	ComD66.B	ComD61.C	ComD21.C	ComD65.C	ComC53.B	ComC9.A	ComC10.A	ComC6.B	ComD49.C	ComC65.A	ComD64.B	ComC50.A	ComD64.C	ComD3.B	ComD51.C	ComD71.C	ComD5.A	ComD37.C	ComC54.A	ComC33.A	ComD62.B	ComD24.C	ComD8.B	ComC24.B	ComD41.C	ComC32.A	ComC41.B	ComC15.B	ComD4.A	ComD29.C	ComD48.C	ComD34.C	ComD5.B	ComD70.B	ComC15.A	ComD25.C	ComC9.B	ComD75.C	ComD20.C	ComC48.B	ComC65.B	ComD36.B	ComC21.A	ComD70.C	ComD62.C	ComC39.B	ComC33.B	ComD3.A	ComC44.B	ComD53.B	ComD26.B	ComD20.B	ComD11.A	ComD35.C	ComC69.A	ComD31.B	ComD36.C	ComD24.B	ComC14.A	ComC62.A	ComD25.B	ComD50.C	ComC60.B	ComC50.B	ComC5.A	ComD31.C	ComD26.C	ComC27.A	ComC22.A	ComC69.B	ComD2.A	ComC22.B	ComC41.A	ComC26.A	ComC54.B	ComC30.B	ComD50.B	ComD54.C	ComD71.B	ComD4.B	ComD48.B	ComD34.B	ComD33.C	ComC55.A	ComC11.A	ComD39.C	ComD43.B	ComC40.A	ComD38.B	ComD46.B	ComC40.B	ComC18.A	ComC21.B	ComD16.B	ComC62.B	ComD28.C	ComC7.B	ComD73.B	ComD12.A	ComC58.A	ComC67.A	ComD33.B	ComD78.B	ComD57.C	ComD23.B	ComD15.B	ComC38.B	ComC49.A	ComD11.B	ComD21.B	ComD51.B	ComD38.C	ComD79.C	ComC28.A	ComD80.C	ComD79.B	ComC8.A	ComD80.B	ComD7.B	ComD13.A	ComC59.B	ComD55.C	ComC17.A	ComC28.B	ComC48.A	ComD13.B	ComD42.C	ComC17.B	ComD14.A	ComC59.A	ComD77.C	ComC68.A	ComC8.B	ComD63.B	ComC26.B	ComC67.B	ComD42.B	ComD73.C	ComC10.B	ComD17.C	ComC20.B	ComD37.B	ComD59.C	ComD12.B	ComD69.C	ComC47.B	ComD44.B	ComC44.A	ComD27.B	ComC56.A	ComC31.B	ComC2.A	ComD67.C	ComD67.B	ComC52.A	ComC57.B	ComD19.C	ComD54.B	ComD17.B	ComC29.B	ComC52.B	ComD40.C	ComC30.A	ComD53.C	ComD72.C	ComC27.B	ComD30.C	ComD47.B	ComD75.B	ComD69.B	ComD2.B	ComC32.B	ComC57.A	ComC51.B	ComC66.B	ComD63.C	ComD52.B	ComC39.A	ComC6.A	ComD52.C	ComC34.A	ComD27.C	ComD15.A	ComC46.B	ComC25.B	ComD44.C	ComC56.B	ComD10.A	ComD1.A	ComD19.B	ComD72.B	ComC36.A	ComC51.A	ComD39.B	ComC2.B	ComD60.B	ComD30.B	ComC63.A	ComC14.B	ComC35.B	ComC34.B	ComD66.C	ComC58.B	ComC53.A	ComD1.B	ComD22.C	ComC19.B	ComD56.B	ComC7.A	ComC12.A	ComD77.B	ComD7.A	ComC37.A	ComD9.B	ComC16.A	ComC29.A	ComC37.B	ComC16.B	ComC19.A	ComD74.C	ComC61.A	ComC42.B	ComC42.A	ComC35.A	ComD46.C	ComD35.B	ComC38.A	ComD58.C	ComC61.B	NegCont.C	ComD57.B	ComD45.C	NegCont.B	ComC64.A	ComC68.B	ComC60.A	ComC64.B	ComD68.C	ComD74.B	ComD68.B	ComD9.A	ComC66.A	ComD56.C	ComC18.B	ComC12.B	ComD58.B	ComC36.B
Unassigned;Other	400	85	284	8	316	169	8	38	93	631	297	261	42	307	106	792	76	1117	86	322	1751	143	147	1623	22	178	151	891	219	155	3	54	2	14	71	130	232	2	131	4952	41	322	556	155	237	179	1151	130	31	44	39	15	743	34	4	919	101	18	10	260	140	136	1234	30	8	36	22	166	29	193	73	7	35	623	270	54	11	47	17	855	1156	101	17	139	5	205	8	6	2	295	8	48	224	25	63	57	256	26	1	173	12	23	15	311	20	222	1	23	49	73	91	69	144	36	9	159	3	4	23	336	253	0	24	277	36	40	25	221	135	13	19	7	19	239	180	3	89	136	61	1	253	213	145	144	3	11	28	1	61	328	13	47	18	387	231	76	24	18	22	87	54	284	473	83	9	313	136	2	214	94	22	4970	610	646	42	357	11	108	80	290	99	165	9	626	46	17	27	96	13	481	90	676	19	98	74	50	13	14	7	256	138	67	155	313	12	8	30	14	140	64	21	52	78	28	98	63	40	173	266	15	2	712	535	21	92	33	10	58	36	249	18	16	58	10	10	18	8	690	6	1	98	11	24	93	34	38	170	6	17	39	0	3	5	1	7	3	46	9	7	3	10	3	4	153	1	1	16	6	48	23	86	3	153	150	7	85	41	30	5	68
k__Archaea;p__Crenarchaeota	0	2	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	4	0	6	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria	89	466	391	27	1147	8	6	2	772	137	53	807	1	68	44	97	701	180	19	489	264	81	112	216	6	121	384	302	638	438	6	55	1	5	495	26	538	6	17	131	1	339	328	407	166	421	2	38	10	21	449	8	422	70	0	315	21	12	15	735	70	38	196	45	106	112	3	75	14	18	299	3	2	294	286	6	4	122	145	427	0	52	36	103	5	2894	9	9	5	303	0	211	26	14	59	2	147	40	10	123	5	4	15	19	3	801	7	7	1	56	65	27	55	38	122	1358	2	5	495	582	563	8	3	549	3	8	7	19	54	2	91	343	37	215	1365	0	2	91	36	8	848	2987	51	20	11	257	1466	59	299	200	62	177	63	1124	151	18	1535	7	101	370	8	1256	1272	13	3	148	240	5	211	328	54	97	534	122	390	84	334	236	14	47	60	4	9	70	1	1	10	41	15	3	39	491	49	51	46	4	17	1	1	6	0	400	187	18	11	26	33	0	246	278	136	8	322	1	2	42	11	75	31	3	24	95	3	3	4	39	379	0	8	2	90	161	171	1	2	8	11	112	16	5	35	1	11	23	208	207	3	3	35	188	18	5	4	0	2	2	196	1	8	2	221	0	22	6	77	8	2	3	2	5	17	10	27	15	0	32	6	24	125	0
k__Bacteria;p__Actinobacteria	1203	5080	5045	987	28081	14378	2362	288	13257	8211	3024	9515	1591	2960	4784	32833	13555	3069	3190	9927	16162	5226	5330	16154	193	6135	9005	5043	9272	8189	1138	7132	247	1066	4438	2586	9177	609	396	2856	1037	5528	27607	7595	3030	7357	685	769	1544	389	5774	2735	10490	2627	1707	5086	5416	3223	1224	18477	2625	941	3091	342	1099	346	313	2353	778	528	5073	16148	1243	27610	6233	1206	280	2621	2650	11867	603	1512	264	18345	19643	9338	1520	592	670	6723	1982	1307	1392	900	2555	1044	2762	5343	699	18493	1878	5164	778	5511	7130	17430	754	2565	462	3517	3877	2485	926	349	1681	5224	897	2321	4002	9751	5955	172	4444	5923	3866	1218	1830	1467	7664	544	3747	1740	1046	4418	5472	255	2620	7100	3302	271	9123	8972	3010	799	332	3045	15501	984	2685	8120	1278	1724	2243	25863	1592	19113	15695	810	1861	8480	20342	28375	25167	696	171	8608	4157	849	5118	7708	3526	2679	5030	8370	5410	2991	1662	1296	3336	5371	1372	913	201	34222	701	121	97	1089	6806	576	3486	5435	420	1086	727	402	197	4272	1625	611	15168	5018	1044	5638	1154	5259	1104	131	3633	1596	2921	1086	1500	1801	539	3463	283	1702	5733	157	1129	5035	561	6676	759	1100	3950	721	226	528	954	1453	2306	1681	899	1019	564	5141	4222	737	765	677	1439	583	1752	828	626	189	572	836	216	589	1000	124	208	172	2398	2594	1422	285	1141	114	199	3684	344	51	238	139	1005	197	612	1025	618	659	143	741	4111	1408	982	602
k__Bacteria;p__Armatimonadetes	0	4	1	0	6	0	0	1	3	7	2	189	0	1	1	2	0	0	6	0	2078	0	0	1925	0	0	4	0	3	1	0	0	0	0	1	223	5	0	1	3	0	1	0	0	5	0	1	0	0	0	0	0	67	1	0	1	2	0	0	9	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	3	73	0	17	0	0	0	4	1	0	0	12	0	6	5	0	0	0	2	1	1	0	0	0	1	0	0	10	1	0	0	0	0	0	1	0	0	3	0	0	0	1	28	0	0	22	0	0	0	6	1	0	0	2	0	18	0	0	0	0	0	0	118	6	203	0	0	0	0	0	0	3	0	0	0	80	0	0	0	1	0	0	2	2	79	0	0	9	0	0	13	0	0	4	0	1	3	0	1	0	0	2	3	0	0	0	0	0	0	4	1	0	0	0	0	3	2	0	0	0	0	0	0	0	2	1	0	3	0	0	2	0	0	0	1	0	0	2	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	1	0	0	0	2	2	0	0	42	0	0	1	26	0	0	0	1	0	0	45	0	1	0	0	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	49	802	266	5	115	1649	87	736	540	1299	2373	5381	234	2123	5650	560	478	6231	1314	1546	3362	72	80	3064	17	1932	213	2622	345	199	36	19	1	12	970	354	272	48	943	2498	4951	255	27	296	212	432	381	2787	19	325	84	197	1524	25	27	2549	4876	55	910	2480	18	467	6819	42	6	314	27	11	26	693	2080	7	50	27	509	930	20	28	1851	1118	520	393	15	46	12	399	6	88	3	502	31	235	611	28	356	212	191	63	14	30	484	1620	57	217	1465	2476	128	209	1080	313	62	47	536	56	6	192	21	79	31	1558	1319	38	20	1516	1270	847	186	453	17	1251	56	27	24	967	181	0	168	1662	206	699	5525	488	295	2071	70	39	2872	10	18	4312	7	1618	42	550	49	42	2948	37	61	97	28	78	570	168	6	3636	318	98	776	93	33	2201	672	1303	58	383	37	269	1132	623	387	306	9	405	3408	4	2	872	10	965	76	502	90	849	63	1132	10	9	444	229	1363	1954	347	210	754	10	81	5	469	221	2083	4631	431	348	236	249	609	741	538	8	8	2079	769	9	114	62	29	2781	37	226	825	167	78	341	11	15	58	1959	73	9	1028	1560	2266	210	1577	225	410	232	81	209	210	15	12	77	169	180	93	19	0	823	30	52	8	191	30	21	678	2	257	548	19	5	22	410	12	1389	1211	2066	15	113
