"D" "T" "R"
58 18 5706.74663645888
23 18 1468.91507918193
34 23 2540.29248973964
72 22 21796.2506830567
82 25 13209.6187333824
43 23 3384.87097403762
97 20 30428.3297420905
98 23 5526.2994723991
85 19 46601.5277417298
100 21 42283.1608970177
87 25 21286.8671002145
71 19 11392.5451199419
40 23 4654.93079911742
32 20 3313.13666070124
85 18 23277.2122252187
14 20 589.440045772901
52 21 4688.34836020987
60 24 8172.50354140444
95 25 10903.1253459672
63 22 2572.43679312618
59 18 3962.57248148887
28 22 2423.26618608926
15 21 316.109673951878
81 22 20375.5599519474
39 25 5774.9447871057
83 23 20856.4527835425
69 20 14324.9169363493
89 24 20235.9354697617
12 23 91.8033204416936
78 21 8460.06102173512
63 19 24288.6522075072
28 18 3737.37739683169
31 22 1430.4477369341
35 25 3126.93854460507
33 22 1229.20042928288
81 24 30354.4360858019
28 19 2636.17282306251
94 25 48011.3855700524
91 25 10642.1456525642
18 21 1417.77925046044
80 25 28107.9450026338
9 18 333.153127376848
29 21 2825.1413974933
67 24 19483.7683640699
79 25 15340.8553651412
78 20 25174.0988647799
13 23 231.886992720201
38 20 7518.43669688157
30 20 2341.51697461339
76 24 9721.47216134869
50 24 5361.53583209654
82 19 15548.3014617775
31 23 4898.83653823765
83 24 10638.5574062896
90 23 16898.6797030283
2 23 17.4234909387323
26 25 4066.96438595579
96 23 34680.7835757302
57 24 5304.09760114415
90 19 28440.9530702504
30 24 1944.19002609047
41 25 4251.0747652377
54 21 16607.671073229
37 25 10418.8119039358
13 20 734.109249975041
40 20 7043.24572623179
11 23 333.659214227004
96 21 12223.7693031024
42 18 8012.88449812046
100 22 25199.8097767983
58 22 11556.2130715573
79 25 26818.3699502273
91 22 45591.1749727075
51 18 12231.7559171886
9 21 168.715373885673
25 24 2737.21923566042
81 22 31255.5366232631
23 25 801.797213672158
60 24 8839.28343764208
93 23 28872.3351918493
86 19 33680.1870567724
11 23 360.397080166375
91 18 27015.5047533997
84 23 32201.0420496221
83 20 15071.7935035451
11 24 298.303642629473
17 21 583.860506298696
95 22 38024.9672382724
12 21 298.078163804665
27 21 3049.68543393952
6 18 112.1826165987
19 24 690.72179858656
54 25 12027.9180316884
57 24 4161.67399095139
50 24 9332.54998377066
34 19 1766.96550072531
70 23 14255.5926858749
53 25 4242.05410246725
41 21 9686.72802608425
14 24 922.376610886601
90 21 35880.2424881265
50 22 3552.8970960866
41 25 6862.96790840454
15 24 508.627691282646
3 23 9.16269756002198
77 18 12011.755455338
76 23 16058.806509226
78 22 46441.9653140277
89 23 9483.52369810892
33 23 4623.63168219435
20 18 701.670972295687
57 25 5451.53849210899
29 20 3336.87021251002
53 21 13586.7500403628
61 24 19862.0165149091
70 21 21595.7333235332
84 22 14720.4928295614
37 24 2765.63547141034
83 22 21290.1046292443
63 19 14052.428183338
35 21 7568.71661333572
84 21 24126.5761994186
50 21 6130.12977847408
29 24 1552.61642397483
36 25 3807.19615312866
70 19 12031.8311411174
52 18 13066.4350590624
35 19 8074.14249287073
97 20 26939.7538267276
7 19 276.021409688204
14 23 664.063687759171
30 24 2309.98268855961
17 20 1112.32095740639
64 23 4732.0820745822
10 22 279.732127337117
9 22 260.886202711227
78 23 35569.6066603369
87 18 26942.715545348
12 24 315.477194856897
27 21 1269.49346386517
77 21 27793.0159937329
47 21 8151.13576650427
34 25 1936.13600381089
55 20 4820.08390166724
45 23 4584.98179399619
3 19 33.0572727300711
85 25 20986.573307601
33 22 2910.51621218916
51 19 6818.3338124065
16 25 875.407096939909
67 19 14175.967090638
66 20 3737.70070001036
91 19 10979.1916260373
