"family","day","chkov","ref2p","O","A","M"
"A10_1",28,"resistant","susceptible",-9.20034515,-4.97929192,NA
"A10_1",29,"resistant","susceptible",-6.47151868,NA,-10.25044623
"A10_1",25,"resistant","susceptible",NA,-6.31046908,NA
"A10_10",29,"susceptible","susceptible",-6.62311792,NA,-4.63727575
"A10_10",28,"susceptible","susceptible",-8.27291792,-5.42479192,NA
"A10_10",25,"susceptible","susceptible",NA,-4.80101489,-6.04121489
"A10_14",28,"resistant","susceptible",-9.48739515,-5.17645274,NA
"A10_14",25,"resistant","susceptible",NA,-3.78881908,-6.32483388
"A10_14",29,"resistant","susceptible",-6.97536868,NA,-4.24954623
"A10_18",25,"resistant","susceptible",NA,-4.97698388,-8.35955441
"A10_18",28,"resistant","susceptible",-8.49601484,-5.49469192,NA
"A10_18",29,"resistant","susceptible",-9.0619198,NA,-7.32587575
"A10_25",28,"susceptible","susceptible",-8.27451484,-4.42294192,NA
"A10_25",29,"susceptible","susceptible",-7.16686792,NA,-6.49647575
"A10_25",25,"susceptible","susceptible",NA,-4.90149988,-6.57595689
"A10_5",25,"resistant","susceptible",NA,-5.57314988,-7.72730441
"A10_5",28,"resistant","susceptible",-7.92421484,-5.83652176,NA
"A10_5",29,"resistant","susceptible",-8.11541868,NA,-8.87362759
"A10_7",28,"susceptible","susceptible",-9.45819515,-5.99579192,NA
"A10_7",29,"susceptible","susceptible",-8.32716792,NA,-7.23559623
"A10_7",25,"susceptible","susceptible",NA,-6.01711908,-7.28953388
"A10_9",25,"resistant","susceptible",NA,-5.88014988,-9.06565441
"A10_9",28,"resistant","susceptible",-7.97281792,-5.70945274,NA
"A10_9",29,"resistant","susceptible",-8.2348698,NA,-7.76272759
"A11_1",29,"resistant","susceptible",-7.23844326,-5.14652494,NA
"A11_1",28,"resistant","susceptible",NA,-5.08244487,-7.15945046
"A11_1",30,"resistant","susceptible",-7.18665496,NA,-6.74793689
"A11_11",29,"resistant","susceptible",-7.09686792,-6.03562029,NA
"A11_11",30,"resistant","susceptible",-7.17907948,NA,-5.47040799
"A11_11",28,"resistant","susceptible",NA,-4.76234487,-6.89175496
"A11_15",30,"resistant","susceptible",-7.81197948,NA,-5.14990799
"A11_15",29,"resistant","susceptible",-7.56828286,-6.97702494,NA
