"manager","branch","month_out_of_year","discount_rate","hours_in_branchwide_meetings","monthly_revenue_in_dollars"
"Michael",1,1,0,32,53.128
"Andy",2,1,0,26,51.94
"Nellie",3,1,0,39,44.757
"Dwight",4,1,0,48,44.55
"Charles",5,1,0,40,43.795
"Creed",6,1,0,41,24.994
"Deangelo",7,1,0,27,48.833
"Michael",1,2,0,40,40.454
"Andy",2,2,0,30,55.206
"Nellie",3,2,0,46,34.067
"Dwight",4,2,0,32,59.457
"Charles",5,2,0,20,61.747
"Creed",6,2,0,27,43.681
"Deangelo",7,2,0,35,46.991
"Michael",1,3,0,18,69.242
"Andy",2,3,0,33,44.857
"Nellie",3,3,0,25,59.938
"Dwight",4,3,0,26,60.807
"Charles",5,3,0,24,56.196
"Creed",6,3,0,43,26.078
"Deangelo",7,3,0,38,42.357
"Michael",1,4,0,24,59.966
"Andy",2,4,0,38,40.66
"Nellie",3,4,0,18,61.025
"Dwight",4,4,0,25,63.123
"Charles",5,4,0,30,56.441
"Creed",6,4,0,25,43.546
"Deangelo",7,4,0,42,39.818
"Michael",1,5,0,23,62.582
"Andy",2,5,0,32,46.806
"Nellie",3,5,0,24,54.958
"Dwight",4,5,0,31,62.213
"Charles",5,5,0,19,59.83
"Creed",6,5,0,18,54.018
"Deangelo",7,5,0,28,50.939
"Michael",1,6,0,32,55.241
"Andy",2,6,0,43,34.763
"Nellie",3,6,0,17,67.209
"Dwight",4,6,0,39,54.561
"Charles",5,6,0,32,49.417
"Creed",6,6,0,40,35.336
"Deangelo",7,6,0,43,35.892
"Michael",1,7,0,39,46.275
"Andy",2,7,0,20,60.517
"Nellie",3,7,0,18,68.092
"Dwight",4,7,0,14,76.48
"Charles",5,7,0,31,52.407
"Creed",6,7,0,30,34.838
"Deangelo",7,7,0,35,44.627
"Michael",1,8,0,28,56.671
"Andy",2,8,0,43,35.141
"Nellie",3,8,0,28,54.899
"Dwight",4,8,0,10,80.03
"Charles",5,8,0,37,45.668
"Creed",6,8,0,42,27.744
"Deangelo",7,8,0,21,57.887
"Michael",1,9,0,24,61.008
"Andy",2,9,0,33,49.538
"Nellie",3,9,0,40,39.325
"Dwight",4,9,0,40,49.861
"Charles",5,9,0,26,56.12
"Creed",6,9,0,30,39.415
"Deangelo",7,9,0,26,56.602
"Michael",1,10,0,30,57.242
"Andy",2,10,0,48,31.391
"Nellie",3,10,0,19,62.171
"Dwight",4,10,0,20,71.381
"Charles",5,10,0,17,62.649
"Creed",6,10,0,37,31.572
"Deangelo",7,10,0,18,60.464
