"id" "strain" "genotype" "response"
64858 "A1b/109W" "E4" 20.9300026038143
147235 "A1b/167B" "E4" 33.2052287143447
400460 "A1b/109W" "D31" 18.936405484656
236078 "A1b/166P" "E4" 12.4911594555339
924191 "A1b/127N" "D31" 29.6476656964724
145917 "A1b/130Y" "E4" 23.7927732694
924307 "A1b/138E" "D31" 29.5696446745645
4235 "A1b/156M" "D31" 28.2980172992599
428467 "A1b/127N" "D31" 22.0515045909566
336039 "A1b/116G" "E4" 22.8750376599469
322712 "A1b/165Q" "D31" 64.3759823211202
215616 "A1b/199D" "C46" 5.70837703874955
680508 "A1b/116G" "C46" 24.2026100971627
250785 "A1b/109W" "D31" 14.5072342243797
767303 "A1b/109W" "C46" 8.83898367693376
162114 "A1b/127N" "D31" 22.9404676520921
549614 "A1b/172U" "C46" 21.4341369600871
211738 "A1b/109W" "D31" 15.4058231256563
204473 "A1b/109W" "E4" 8.01237918323477
556057 "A1b/178V" "E4" 18.1013158759212
818860 "A1b/129J" "E4" 8.61011845465357
501687 "A1b/130Y" "C46" 14.0761231071325
509365 "A1b/156M" "C46" 10.0221512876457
776435 "A1b/109W" "E4" 14.3651979683299
214327 "A1b/130Y" "D31" 26.6964549094709
877974 "A1b/109W" "C46" 6.10827766357763
520106 "A1b/170T" "E4" 19.0470097260949
294522 "A1b/109W" "C46" 7.11858948105933
502 "A1b/127N" "D31" 6.41440004427354
890175 "A1b/109W" "D31" 17.6919456537987
104708 "A1b/116G" "D31" 35.6870291270646
120100 "A1b/135S" "E4" 31.0742962163316
709733 "A1b/109W" "C46" 4.66121862576716
952153 "A1b/162F" "D31" 22.1863196711666
580233 "A1b/200H" "C46" 11.6031942803035
371354 "A1b/109W" "E4" 14.7915566330079
505992 "A1b/127N" "E4" 11.1068728797257
172600 "A1b/167B" "C46" 15.433050638321
269726 "A1b/162F" "C46" 16.969294212453
934811 "A1b/184I" "E4" 14.1855283917838
272774 "A1b/127N" "C46" 26.7171090879539
358602 "A1b/109W" "E4" 1.8649556508279
247422 "A1b/156M" "E4" 16.2741127676359
749893 "A1b/109W" "E4" 13.2647134684389
594073 "A1b/116G" "E4" 32.9357009259606
652715 "A1b/161Z" "C46" 18.3691391334294
983929 "A1b/130Y" "E4" 26.1304901019263
645714 "A1b/125A" "E4" 20.7284441241833
930465 "A1b/116G" "C46" 24.861183408762
634123 "A1b/178V" "E4" 24.0341329699098
41370 "A1b/156M" "E4" 4.97056350511746
625590 "A1b/109W" "C46" 5.28229334198273
955024 "A1b/166P" "C46" 4.54302171955107
6736 "A1b/172U" "D31" 17.317988950512
786898 "A1b/130Y" "E4" 24.464170288091
318181 "A1b/125A" "C46" 17.5609691283343
396544 "A1b/109W" "D31" 35.4735735332485
43529 "A1b/109W" "D31" 29.3204850796022
137180 "A1b/127N" "C46" 6.60167521423571
443969 "A1b/109W" "D31" 23.221166790148
663674 "A1b/129J" "E4" 12.2726980731247
322892 "A1b/184I" "D31" 38.1312983684675
441880 "A1b/109W" "E4" 2.68671919920454
491306 "A1b/161Z" "E4" 33.4169034816497
718912 "A1b/170T" "D31" 17.2824650675949
885884 "A1b/166P" "E4" 15.9262800808122
323877 "A1b/109W" "E4" 4.91677318701037
71985 "A1b/109W" "D31" 24.4470597332088
43036 "A1b/109W" "E4" 17.5451587827325
573283 "A1b/130Y" "D31" 35.8714104099593
946233 "A1b/109W" "D31" 14.8726123014585
99235 "A1b/109W" "E4" 2.061529271227
35203 "A1b/125A" "D31" 19.361402166837
531332 "A1b/109W" "D31" 12.2514126280347
782743 "A1b/129J" "D31" 25.5654536660001
445653 "A1b/166P" "E4" 12.6438588130108
92482 "A1b/109W" "C46" 21.4463258874168
302225 "A1b/130Y" "D31" 33.6691943876851
28270 "A1b/109W" "C46" 16.5168617893906
705074 "A1b/184I" "E4" 11.3875325351825
380020 "A1b/178V" "E4" 29.3507440437291
159305 "A1b/109W" "E4" 12.018980043367
718178 "A1b/170T" "D31" 29.2838704291378
34920 "A1b/125A" "D31" 20.4962592637666
639038 "A1b/162F" "C46" 9.15693683996305
37883 "A1b/138E" "D31" 21.374930923291
18522 "A1b/161Z" "D31" 28.7124616393675
884814 "A1b/116G" "E4" 17.4871619478649
43186 "A1b/125A" "D31" 34.4473067575217
521199 "A1b/125A" "C46" 19.8754589545661
209411 "A1b/109W" "E4" 17.4134292983042
585652 "A1b/161Z" "D31" 28.3904814599103
325194 "A1b/162F" "E4" 6.50468331996233
929544 "A1b/109W" "D31" 24.4677372349961
693944 "A1b/166P" "C46" 22.220152553952
938924 "A1b/135S" "E4" 23.0090359638974
983063 "A1b/130Y" "C46" 24.1528803727626
263709 "A1b/116G" "D31" 37.3961877767151
769247 "A1b/167B" "C46" 14.5795543152282
881565 "A1b/109W" "D31" 24.2668381342696
441217 "A1b/125A" "E4" 11.7922106393509
692539 "A1b/116G" "E4" 30.416650936859
808644 "A1b/130Y" "E4" 16.7315765273318
804699 "A1b/116G" "E4" 16.2093386010476
650851 "A1b/161Z" "E4" 14.0516193966004
920727 "A1b/130Y" "C46" 20.865991742279
227928 "A1b/109W" "E4" 16.3804822647916
861862 "A1b/109W" "C46" 26.7597552378229
193534 "A1b/109W" "E4" 8.25080271858647
195833 "A1b/156M" "D31" 21.0440282118812
857399 "A1b/127N" "D31" 32.882076694624
849468 "A1b/125A" "D31" 20.0948236705117
681616 "A1b/138E" "D31" 28.8049833423145
96144 "A1b/130Y" "C46" 17.3762116568152
315613 "A1b/109W" "E4" 10.2971204517849
536346 "A1b/127N" "D31" 25.3421764846397
896674 "A1b/125A" "D31" 19.6733531295646
671327 "A1b/127N" "C46" 24.6245501674227
509649 "A1b/167B" "E4" 35.7604852865952
203678 "A1b/109W" "C46" 2.594346325485
18045 "A1b/125A" "C46" 31.2342123397252
453283 "A1b/109W" "D31" 12.7782982995414
282135 "A1b/129J" "C46" 18.5483127170515
238439 "A1b/184I" "C46" 17.3151923273338
584748 "A1b/116G" "D31" 28.6696694024617
806070 "A1b/125A" "D31" 24.7325735055484
846667 "A1b/116G" "E4" 10.4494841810978
368676 "A1b/109W" "D31" 13.4494154900723
221823 "A1b/166P" "E4" 15.6792178663427
127617 "A1b/127N" "E4" 6.18288409504862
768768 "A1b/109W" "C46" 15.6971232276601
367545 "A1b/130Y" "E4" 13.6850415768996
48621 "A1b/125A" "D31" 28.8716747591468
257865 "A1b/172U" "D31" 27.1965470140841
432446 "A1b/116G" "C46" 25.0478750889718
870768 "A1b/116G" "E4" 12.3170511459943
198351 "A1b/135S" "E4" 22.9252952360377
143072 "A1b/116G" "D31" 37.2837958545342
721753 "A1b/161Z" "C46" 19.0179213673839
296674 "A1b/156M" "C46" 7.04019698734775
