"gender"	"age"	"mount_height"	"weight_tv"	"length_of_stay"	"channel"
"1"	1	9	5	44	14.2082909080603	2
"2"	2	35	3	17	3.6683443263499	2
"3"	1	13	5	77	18.3460507235853	2
"4"	1	12	3	76	15.4736099806171	4
"5"	1	3	4	72	16.3371421474394	2
"6"	1	43	5	12	5.83200769969682	4
"7"	2	20	3	41	9.49267622187719	2
"8"	1	40	4	28	5.81990043217933	3
"9"	1	1	5	11	9.827846263916	4
"10"	2	7	4	36	10.7372697251215	2
"11"	1	24	1	71	10.1218259826526	3
"12"	2	28	4	64	12.623949217305	2
"13"	2	44	2	65	8.14655297127739	2
"14"	2	14	4	9	6.50280238865939	3
"15"	1	23	4	9	4.81982104661937	4
"16"	1	32	6	65	15.869837479497	4
"17"	2	21	3	82	15.2250702642624	4
"18"	1	29	5	4	4.89804581858974	3
"19"	1	51	7	68	15.0960090084658	4
"20"	2	16	2	103	17.8692948646582	1
"21"	2	28	7	67	17.9015060155587	1
"22"	2	49	1	34	2.11868314795704	3
"23"	1	37	1	55	5.70659116033748	3
"24"	2	36	2	73	9.87286308824122	2
"25"	2	36	4	40	8.47684682905977	2
"26"	2	23	6	29	11.1082919526965	2
"27"	1	48	6	90	18.0469714232441	1
"28"	1	13	0	2	0.725231983284103	3
"29"	1	55	1	62	4.9682513232188	1
"30"	2	48	4	83	12.9296618053157	1
"31"	2	47	1	38	1.85008939568392	4
"32"	1	30	5	53	12.6535029740724	1
"33"	1	25	2	63	9.70495668097382	4
"34"	2	41	7	94	20.3658802918276	2
"35"	1	38	5	44	11.0185048238895	1
"36"	2	17	1	74	10.7050071530653	4
"37"	1	26	4	45	9.39089026085315	1
"38"	2	52	4	116	17.8018091269087	4
"39"	2	6	2	40	9.53281715255774	1
"40"	2	37	6	68	15.0762083199142	1
"41"	2	22	5	17	8.34915121814135	4
"42"	2	16	2	65	10.9726208777498	4
"43"	1	11	2	47	8.83897858974318	4
"44"	2	7	4	89	18.0197735469755	1
"45"	2	23	4	39	9.54567445495952	3
"46"	2	24	0	0	3.08768304309703	3
"47"	2	52	3	34	3.80478709010306	2
"48"	1	55	3	45	5.45103893618078	3
"49"	2	30	4	51	9.90150314685146	2
"50"	1	28	4	71	13.901787852826	3
"51"	1	10	2	81	15.0918610317599	1
"52"	2	36	1	30	2.48118059475775	3
"53"	2	15	1	10	1.43612662003877	4
"54"	2	40	2	5	0.288200186742766	3
"55"	1	17	2	70	11.767270481567	2
"56"	1	46	6	52	13.0179591442534	2
"57"	1	53	4	71	10.8290448745916	3
"58"	2	26	0	8	1.2203476773369	3
"59"	2	46	0	46	2.32012498676557	1
"60"	1	24	3	36	7.25060794648156	3
"61"	1	4	5	55	15.4491728976675	1
"62"	2	11	2	51	10.0836535524081	4
"63"	1	31	3	16	3.88420911064598	4
"64"	1	37	3	109	17.3658060835125	4
