"","Survival_Time (minutes)","Road_runner_speed (mph)","Presence_of_loony_tunes_character","Number_of_cliffs_in_terrain","Number_of_traps_Set","Anvil_used"
"1",15.28,27.85,0,1,3,1
"2",11.94,42.79,0,1,3,0
"3",14.86,37.57,0,4,2,1
"4",7.24,43.24,0,2,6,0
"5",10.32,45.27,1,5,4,1
"6",10.55,42.18,1,3,4,1
"7",11.54,49.08,0,4,3,0
"8",13.51,46.33,0,1,2,1
"9",12.55,43.8,1,1,3,1
"10",11.29,37.62,1,1,4,1
"11",9.28,41.34,1,1,5,0
"12",8.99,40.91,1,5,5,0
"13",16.8,26.13,0,3,2,1
"14",11.41,49.84,1,0,3,1
"15",10.76,47.89,0,3,3,1
"16",5.91,49.88,1,3,5,1
"17",9.83,36.16,0,3,6,1
"18",13.04,40.62,1,2,3,1
"19",14.34,45.86,0,1,1,1
"20",13.65,42.19,0,2,2,1
"21",10.05,51.41,1,2,3,0
"22",8.37,52.42,1,0,4,1
"23",6.86,50.86,1,2,5,0
"24",9.21,47.33,0,5,4,1
"25",9.75,37.43,1,2,5,0
"26",9.8,37.25,1,4,5,1
"27",13.85,34.55,0,2,3,1
"28",13.78,51.27,1,4,1,1
"29",12.92,41.46,0,3,3,0
"30",14.58,44.7,1,0,1,1
"31",14.3,21.25,1,4,4,1
"32",10.25,39.13,0,4,5,1
"33",13.1,31.91,0,3,4,0
"34",10.48,51.02,0,1,3,1
"35",13.77,42.85,0,1,2,0
"36",11.98,28.94,1,3,5,1
"37",14.59,37.25,1,3,2,0
"38",15.21,29.78,1,2,2,0
"39",10.57,46.39,1,3,3,0
"40",12.41,43.69,0,4,3,1
"41",11.09,51.55,0,4,3,1
"42",14.83,24.55,1,2,3,1
"43",12.27,39.63,0,3,3,1
"44",13.28,45.79,1,2,2,0
"45",13.67,41.28,0,3,2,1
"46",12.27,41.57,1,0,3,1
"47",13.13,38.45,1,5,3,1
"48",13.48,35.58,0,4,3,0
"49",13.17,34.94,0,3,3,1
"50",15.91,44.17,0,2,0,1
"51",11.73,53.23,0,0,2,0
"52",7.84,48.25,1,2,5,0
"53",13.22,44.03,1,2,2,0
"54",12.91,46.9,1,2,2,1
"55",10.94,47.79,0,3,3,0
"56",10.66,44.23,1,2,4,1
"57",8.46,43.14,1,2,5,1
"58",8.6,54.16,1,3,4,1
"59",8.58,38.5,1,3,6,1
"60",10.02,46.63,0,4,4,1
"61",11.87,41.94,1,3,3,1
"62",8.75,50.84,0,3,4,1
"63",10.45,48.41,1,3,3,1
"64",9.31,35.32,1,5,5,0
"65",17.68,33.54,1,1,1,1
"66",13.29,46.18,0,2,2,1
"67",14.69,39.46,0,3,2,1
"68",12.59,38.44,1,1,3,1
"69",10.3,42.54,0,3,4,0
"70",9.84,43.72,0,2,4,0
"71",11.86,50.46,1,3,2,1
"72",15.32,34.65,0,1,2,1
"73",14.27,43.81,1,5,2,1
"74",16.02,27.52,0,2,2,1
"75",7.73,56.1,1,2,4,1
"76",14.11,32.41,1,5,3,1
"77",8.23,48.08,1,2,4,1
"78",19.62,22.71,0,2,1,1
"79",10.9,42.33,0,2,3,1
"80",12.6,47.27,1,2,2,1
"81",10.78,50.16,0,3,3,1
"82",14.84,39.83,1,5,1,1
"83",10.42,54.67,1,2,2,1
"84",11.94,53.43,0,2,2,1
"85",15,36.02,1,4,2,1
"86",15.27,41.69,1,2,1,1
"87",13.05,43.86,0,3,2,1
"88",11.16,49.96,1,2,3,1
"89",9.37,50.7,0,0,4,0
"90",10.35,44.72,1,2,4,1
"91",7.66,49.76,0,2,5,0
"92",12.74,44.7,1,3,2,1
"93",13.86,43.25,0,0,2,0
"94",15.22,35.13,0,0,2,0
"95",10.91,48.17,0,1,3,1
"96",13.32,36.42,0,4,3,1
"97",19.32,26.77,0,0,0,0
"98",11.73,48.17,0,3,2,1
"99",17.61,20.68,0,4,2,1
"100",14.67,36.17,0,3,2,1
"101",13.89,27.93,1,3,4,0
"102",11.3,45,1,3,3,1
"103",9.02,44.34,0,2,5,1
"104",12.71,49.61,1,4,2,1
"105",16.39,32.5,0,4,1,1
"106",16.58,43.86,1,4,0,0
"107",10.97,47.87,1,3,3,1
"108",10.11,43.47,0,1,4,0
"109",9.56,48.07,1,1,4,1
"110",12.77,43.49,0,0,2,1
"111",13.49,50.1,0,2,1,1
"112",10.85,40.62,0,4,4,1
"113",12.58,40.45,1,1,3,1
"114",5.49,53.4,0,3,6,0
"115",12.12,35.61,0,3,4,1
"116",11.13,39.17,0,2,4,1
"117",14.38,44.58,1,5,1,1
"118",12.68,38.69,0,2,3,1
"119",13.22,54.02,1,4,1,1
"120",13.64,34.74,1,1,2,1
"121",11.2,28.47,0,5,5,1
"122",12.72,46.85,0,6,2,1
"123",11.87,48.56,1,3,2,1
"124",11.26,29.05,1,2,5,0
"125",14.01,40.11,0,1,2,1
"126",11.03,46.08,0,3,3,0
"127",17.48,28.58,1,0,1,1
"128",11.41,41.2,1,1,4,0
"129",13.15,37.87,1,6,3,1
"130",11.31,31.34,1,2,5,0
"131",15.27,38.77,0,2,1,1
"132",9.89,40.2,1,2,5,1
"133",17.98,22.54,1,3,2,1
"134",9.62,46.04,1,2,4,1
"135",14.2,46.77,1,0,1,1
"136",10.79,35.92,1,3,5,1
"137",9.86,54.23,1,3,3,1
"138",15.88,46.5,0,2,0,1
"139",9.87,42.85,1,2,4,1
"140",10.35,54.87,0,5,2,1
"141",11.99,44.57,1,2,3,1
"142",17.59,27.99,1,3,2,1
"143",11.35,49.84,1,2,3,1
"144",12.53,46.86,0,4,2,1
"145",14.2,35.18,0,1,3,0
"146",14.35,39.18,0,4,2,1
"147",8.98,40.78,0,3,5,1
"148",16.1,44.17,1,5,0,1
"149",13.42,44.37,1,0,2,1
"150",10.43,45.84,1,2,4,1
"151",11.07,47.03,0,3,3,1
"152",8.54,42.03,0,0,5,1
"153",12.4,33.47,0,3,4,1
"154",13.5,29.55,0,4,3,1
"155",7.62,39.48,1,1,6,1
"156",8.01,42.59,0,3,6,1
"157",17.48,27.76,1,1,2,1
"158",11.37,47.55,0,4,3,1
"159",10.79,48.48,0,2,3,0
"160",16.66,34.49,1,3,1,1
"161",14.14,26.58,0,1,3,1
"162",13.24,34.9,1,4,3,1
"163",9.97,46.83,0,3,4,1
"164",10.85,44.25,0,4,3,0
"165",12.66,44.13,0,3,2,1
"166",11.49,39.69,1,5,4,1
"167",12.36,41.17,1,2,3,0
"168",11.52,45.13,1,3,3,1
"169",10.83,41.06,0,3,4,0
"170",7.17,50.39,0,1,5,0
"171",11.76,38.59,0,1,3,0
"172",13.25,44.92,1,4,2,1
"173",9.32,46.13,1,2,4,0
"174",11.85,47.86,1,4,2,1
"175",11.35,39.2,0,3,4,1
"176",8.46,49.35,0,2,4,1
"177",13.37,24.29,1,3,4,1
"178",15.03,34.21,1,1,2,1
"179",12.72,33.01,1,2,4,1
"180",13.81,38.8,0,2,2,1
"181",8.51,42.56,1,3,5,0
"182",14.32,38.89,1,3,2,1
"183",9.79,53.18,0,1,3,1
"184",16.87,40.21,0,4,0,1
"185",12.12,42.14,0,2,3,0
"186",17.87,36.87,1,3,0,1
"187",11.86,46.5,0,4,3,1
"188",19.38,26.51,0,3,1,1
"189",10.33,45.71,0,0,4,0
"190",10.91,53.35,0,6,2,1
"191",7.66,47.44,0,2,5,1
"192",18.33,28.86,1,1,1,1
"193",11.65,42.24,1,0,3,1
"194",12.18,47,1,3,2,1
"195",10.96,49.94,1,4,3,1
"196",9.75,37.46,1,2,5,1
"197",13.38,34.17,0,1,3,1
"198",7.25,53.48,0,4,4,1
"199",15.24,37.8,0,3,1,0
"200",15.27,39.93,0,4,1,1
"201",12.45,39.54,1,0,3,0
"202",14.44,39.96,0,1,2,1
"203",13.33,40.29,1,3,2,1
"204",10.76,56.19,0,3,2,0
"205",10.79,54.65,1,1,2,0
"206",8.56,46.93,0,1,4,1
"207",14.86,43.6,0,3,1,1
"208",16.78,32.96,0,4,1,1
"209",9,41.51,1,6,5,1
"210",10.42,47.04,0,3,3,1
"211",8.75,42.37,1,0,5,0
"212",7.37,46.64,0,2,5,1
"213",17.08,32.99,1,2,1,1
"214",15.59,34.61,1,3,2,1
"215",10.05,52.29,0,2,3,1
"216",11.07,30.17,1,4,5,1
"217",13.8,42.74,0,2,2,1
"218",10.2,31.9,0,1,6,1
"219",11.41,41.11,0,4,4,0
"220",15.01,33.65,1,2,2,0
"221",11.43,45.13,1,1,3,1
"222",15,39.08,0,3,2,1
"223",15.1,44.1,0,4,1,1
"224",10.02,38.06,1,1,5,1
"225",12.06,52.34,0,4,2,1
"226",14,41.05,0,7,2,1
"227",11.35,43.01,0,1,3,1
"228",9.1,49.31,1,3,4,1
"229",11.22,42.56,0,3,3,1
"230",15.46,28.89,1,3,3,0
"231",6.6,60.59,0,2,4,0
"232",5.82,50.07,0,6,6,1
"233",9.02,54.66,0,2,3,1
"234",12.86,43.85,1,3,2,0
"235",11.93,44.04,1,3,3,1
"236",12.85,38.16,1,4,3,1
"237",11.78,45.65,0,4,3,1
"238",13.11,37.52,0,5,3,0
"239",11.98,45.47,1,2,2,1
"240",14.29,43.44,1,0,2,1
