"Number of Memes Made","Is a Student","Male or Female","Hours Spent on Social Media Per Day","Hours Spent Reading The News Per Day"
8,1,"Female",4.81612033621293,1.4503718226536
5,0,"Male",4.96542180924632,5.11149808793838
10,1,"Male",7.6942184164906,1.02257917695901
12,1,"Female",5.38454842084834,6.03790837985997
8,0,"Female",0.335525208524551,1.50169904347935
10,1,"Female",0.922082297239804,3.58432761000384
18,1,"Male",4.86544479323278,5.89252903364382
8,0,"Male",5.604735002644,0.849786914671181
13,1,"Male",2.01862381723665,4.50010980339129
10,1,"Male",4.19792852870767,2.2370374239398
14,1,"Female",1.13348221493817,8.26252338437773
7,0,"Male",3.6192806746586,3.7404818906813
5,0,"Male",0.21515465177577,4.56174613535108
9,0,"Female",5.02334178851777,6.65579738129739
11,0,"Female",4.79935074169286,6.59436350057991
18,1,"Male",1.95061828749503,5.92410005468733
15,1,"Female",5.82997707003063,0.984271539426398
8,0,"Female",7.58064052203031,1.14448588151564
11,1,"Male",4.05383470991087,0.234143871668324
8,1,"Female",0.1794116660561,7.91752691825729
6,0,"Female",0.964875720999534,0.944374370076639
8,1,"Male",1.24733389567766,3.15541923864552
7,0,"Male",3.07841822765001,1.65329048394161
7,0,"Female",5.69180544262925,1.96073389935096
3,0,"Male",0.0645866833165489,4.73963934867844
23,1,"Male",2.26299601533628,11.9916015437537
7,0,"Male",4.0700855408821,5.57053357819154
5,0,"Male",2.87671868152186,2.01295473254326
21,1,"Female",1.09312925363728,5.28944564578901
13,1,"Female",1.9823484023869,3.21213550508017
15,1,"Female",6.88908126038577,4.67295002565663
3,0,"Female",2.41663559039448,0.726480445942463
5,0,"Male",2.79155743648062,8.25653965204442
17,1,"Female",2.08620710400897,7.90082640206689
23,1,"Male",7.22651791822927,4.8859039841461
3,0,"Male",5.73081131544715,7.15797038311768
14,1,"Female",4.29674513146578,4.84784866110968
14,1,"Male",3.12628463938768,3.02856135094173
13,1,"Male",1.81452406793596,7.00967658926565
9,0,"Male",4.79076210990848,3.16474264333205
10,1,"Female",3.38468887857521,5.34519621035357
16,1,"Female",1.01447157924653,11.1987682166695
9,1,"Female",0.511169328543668,2.08061019378178
14,1,"Female",2.48211465992448,5.09132998799686
5,1,"Female",1.07332162763068,3.30233354222815
10,1,"Male",2.38693479147098,7.46978594319355
2,0,"Male",0.738875037976933,3.8216927173759
15,1,"Female",3.64964657727064,1.52885798224353
10,1,"Male",4.65125487130624,5.74182463230144
5,1,"Male",1.2211561688005,0.465351731264183
3,0,"Male",2.18483801586798,0.495997032976992
15,0,"Male",6.33254620622897,6.11982952618232
6,0,"Female",1.53825238412213,2.26578699601666
10,0,"Male",3.64804905313731,13.8155726865156
9,1,"Female",4.97434473547869,2.83006613254325
6,0,"Male",3.14399523411618,4.94040808994357
3,0,"Male",0.250851946391651,1.17830812916887
3,0,"Male",0.381346377719606,4.11081598270998
13,1,"Male",4.22922240715837,0.517145918953544
10,1,"Male",0.113296658450496,3.68523510241978
10,1,"Male",4.22731678408162,5.08897776573119
8,1,"Male",1.2074645950836,0.955479798363065
7,0,"Female",3.51622259014907,4.19510046191208
10,0,"Male",6.58931987456409,6.74940681043932
13,1,"Male",4.076743014872,6.0335990422783
8,0,"Male",1.21158358565036,4.85858395063731
6,0,"Male",1.31607671494939,3.9696319089128
6,0,"Male",5.32682233594706,0.355245944339268
10,1,"Female",1.9547636131023,1.3348755606392
11,1,"Female",3.57498575854882,0.765806456960752
15,1,"Male",4.20549331478919,5.0584759694312
6,0,"Male",2.05606583925726,4.92597925979688
12,1,"Female",4.93007100578644,12.1311570219807
11,1,"Male",5.01797760243027,1.26756363519071
2,0,"Male",1.63265245061813,1.03333451455569
5,0,"Female",5.5262614653408,5.28160282052646
11,0,"Male",0.413905098606861,7.25441648992188
7,0,"Male",4.23047333484501,3.07402493379663
10,0,"Male",6.15805468909802,3.57152705552398
11,1,"Female",5.34169539170187,5.06687364609792
16,1,"Male",1.96952889972186,6.92930439144389
8,1,"Female",2.79316660326318,7.48156031393903
5,0,"Female",3.40986669627573,0.96174064057579
2,0,"Female",1.57663466179557,2.05226299249465
4,0,"Female",0.238671156622508,2.0833035471837
7,0,"Female",1.56260600760183,2.41917927867906
6,0,"Female",2.4551187995212,1.32509584044289
6,0,"Male",1.63492411211925,4.55639459913029
18,1,"Male",3.95926579607213,5.4997744189861
11,1,"Female",2.88403014902006,1.55547596367563
5,1,"Male",1.34914935948252,2.01855368883785
3,0,"Female",3.85789948059105,0.478849580447468
8,1,"Female",3.41664993289199,0.730014470173023
8,0,"Male",1.08446436982088,6.65416123977651
3,0,"Male",3.74394365172423,3.33816777457488
11,1,"Male",3.02975958458792,2.53676946498347
14,1,"Male",3.11789248361747,3.91289005190351
5,0,"Male",3.01125147103693,6.85403939271805
7,1,"Female",6.53228684256995,1.75539600511241
4,0,"Male",2.54959628684555,1.68743948922258
9,0,"Female",6.10548810831569,1.56711329651812
2,0,"Female",3.14769402162135,0.319796053677959
12,1,"Male",4.39118879556241,0.682881996075329
3,0,"Female",1.54177316494269,5.77086424658655
21,1,"Male",7.16032368381231,6.24340887126728
11,1,"Female",1.9246583383416,6.68147766962116
18,1,"Male",5.20873220150957,4.29748627051848
18,1,"Male",6.3562601677184,5.33738020261826
9,1,"Male",1.47166910952656,6.80922631349222
11,0,"Female",3.98915237479108,10.113623127501
9,1,"Male",3.107587898368,2.50430380183
14,0,"Male",5.08772528263213,5.09055612597783
10,1,"Female",4.43643818471199,0.91601520096764
13,1,"Female",0.261782017836142,7.38528945950409
8,0,"Female",0.0742046505495497,6.92774576090757
4,0,"Male",0.906586348191918,2.10686270715544
18,1,"Female",3.68585784721951,3.97928597959003
10,1,"Female",3.85448045310448,9.28575758687321
10,0,"Female",2.5857441727199,4.72820008759051
10,1,"Female",3.35794441001353,2.8473347778624
13,1,"Female",1.72120104286367,3.8430800609205
5,0,"Female",0.910651184949806,4.70791004967702
16,1,"Female",6.71870275486948,0.379858944057047
6,0,"Male",5.39869761483911,6.36011937579811
9,1,"Female",0.389061607389709,7.6735633424364
9,1,"Female",4.03279544488227,0.641258116280684
4,0,"Male",3.94513401206529,2.84036589298967
9,1,"Female",4.2592383390859,5.48659593842436
4,0,"Female",6.27578802036646,1.16859973671633
18,1,"Male",4.81414074199612,0.562886030400987
13,1,"Male",5.54090394008012,0.870913069830117
7,1,"Male",0.0952507671429346,0.758316148939023
11,0,"Female",3.04260084941046,5.47144092656517
4,0,"Female",0.856495918003511,0.267513077589947
19,1,"Male",7.93450593309031,6.09257275775012
7,1,"Female",0.318074965996533,0.910505243483572
7,0,"Female",5.34794689036004,3.56793550431984
6,0,"Male",2.98163476847262,1.71754396125438
11,1,"Male",6.73159872900173,0.353783589656582
8,0,"Male",1.94798499500842,6.34652816944502
13,1,"Male",2.10919872332567,7.81916597577725
10,0,"Female",5.10199384422073,0.716955717896421
3,0,"Female",3.58868825257405,0.127830465259484
12,1,"Female",3.25924622126001,3.59590540419912
10,1,"Male",3.37747475166587,1.66381701606705
15,1,"Male",3.18184811367996,3.57180046953491
12,1,"Male",1.96930603689921,0.675201169022598
7,0,"Female",1.71717672093607,0.387062748740343
10,0,"Female",0.234305133209745,6.52393797985083
8,0,"Male",3.78059673455022,0.41822380472581
11,0,"Male",4.30040827040363,7.44680036084797
12,1,"Male",3.17466817272414,2.3592944538524
16,1,"Female",1.34912293017002,2.56464561778689
9,0,"Female",1.01095098800469,3.79794382675097
3,0,"Female",1.49712063272341,3.48989647974928
9,0,"Female",3.32281371937707,7.23229953116191
5,0,"Female",3.00830292271509,0.0672845711397696
4,0,"Male",7.74647040460063,2.03219572943471
9,0,"Female",4.30195583237071,1.43483094877434
7,1,"Female",0.626047915286697,0.934692251702556
10,0,"Female",3.33642256737021,5.80938860629477
2,0,"Male",0.233342136438271,3.94705093523453
14,1,"Female",2.87953069743528,9.47086182705043
2,0,"Female",1.63728593244668,3.73262939196544
7,0,"Female",2.72223349396358,2.06071256512847
11,1,"Male",1.60055536166098,3.84024219678149
7,0,"Female",1.900795617037,5.13664843840468
16,1,"Male",3.58059186454106,0.594161835048092
10,1,"Male",3.34584089971659,3.59690469550499
11,0,"Female",0.849952937593695,6.48619104770006
13,1,"Male",4.68698081033465,4.18899800381373
7,0,"Female",2.58495691240558,5.0771747272363
11,1,"Female",6.40154058042358,2.28736544578417
15,1,"Male",2.46282351791328,3.96520639759402
5,0,"Male",3.62575491455602,4.95943931155277
10,1,"Female",2.54076921296505,6.15712701953326
13,1,"Female",4.37464009003525,2.66841201610922
6,1,"Female",1.52094558250433,0.237837476628677
6,0,"Female",3.32348691922898,0.261880154411643
9,0,"Female",4.28681257804415,1.23381792383411
12,0,"Male",2.14212743897848,9.63485256951784
3,0,"Male",3.09760080471884,2.4200018715866
11,1,"Male",0.233694106948403,6.46129777310229
8,1,"Female",2.80787562979546,2.35428024425279
3,0,"Male",4.67553088869597,0.178055280697441
11,1,"Female",3.08763576136204,1.11538592330691
8,0,"Female",3.22915025580713,6.3461918870803
17,1,"Male",3.62386792331582,2.59588077398989
7,1,"Male",1.74812451622207,1.28516643228565
8,0,"Male",0.955194530172696,6.51962527119736
10,1,"Male",1.51911863684926,3.12166754287531
11,0,"Male",3.79751861901026,3.54837048504056
5,0,"Female",4.92110138096133,1.58686614554152
7,1,"Male",1.13227640783516,1.25712262652953
