time_since_arrival,sex,coat_color,weight
8,Female,Gray,9.8
3,Female,Gray,7.9
22,Female,Black,10.1
1,Male,Gray,9.7
2,Female,Black,6
24,Female,Black,10.3
6,Female,Gray,6.4
18,Male,Orange,12
10,Female,Black,9.7
6,Female,Orange,7.1
17,Female,White,9.5
5,Male,Black,10.2
6,Male,Gray,11.4
2,Female,Black,5.9
8,Female,White,6.6
25,Female,Gray,12.7
7,Female,Gray,7
28,Male,Gray,13.9
10,Female,Orange,6.8
7,Male,Black,9.1
15,Female,Black,8.4
3,Male,White,10.2
14,Male,Black,12.9
10,Male,Black,11.7
9,Female,White,7.4
24,Female,Orange,10.9
12,Male,Black,10.7
2,Male,Gray,8.7
16,Female,Black,10.1
18,Male,Gray,11.6
6,Male,White,12.2
4,Female,Gray,6.7
13,Female,Black,8.8
12,Male,Black,10.7
12,Female,Black,7.8
10,Female,Black,6.7
8,Female,White,7.4
1,Female,Orange,6.6
4,Female,Black,7.1
5,Male,Black,9.2
10,Male,Black,10.2
3,Female,Gray,6.1
18,Male,Gray,14.1
30,Female,Orange,10.9
17,Male,Gray,12.2
16,Male,Orange,14.1
6,Male,Black,10.1
7,Female,Black,6
11,Female,White,7.5
1,Female,Black,6.7
4,Male,Black,9.4
0,Female,Black,5.4
1,Female,White,5.9
19,Male,Orange,12.9
3,Male,Black,11.2
21,Male,White,13.1
22,Male,Black,14.5
8,Male,Orange,11.2
2,Female,Orange,6.3
3,Male,White,8.1
5,Female,Gray,6.5
7,Female,Black,6.9
5,Female,Black,7
14,Male,Black,13.1
15,Female,Gray,11.3
4,Male,Black,11.3
6,Female,Gray,7.1
1,Male,Black,7.4
13,Male,White,11.2
29,Male,Black,14.9
7,Male,Orange,11.2
32,Male,Orange,16.4
14,Male,Gray,12.5
10,Female,Gray,6.6
10,Male,Black,11.8
14,Female,Orange,8.4
4,Male,White,10
17,Male,Black,12.5
3,Male,Black,10
2,Male,Gray,9.4
0,Female,Black,4.3
5,Female,Gray,7.7
5,Male,Gray,10.4
9,Male,Gray,10.5
3,Male,Gray,9.7
5,Female,White,7.1
15,Female,White,9.2
6,Female,White,8.8
5,Male,White,9.8
16,Female,Orange,9.4
14,Male,White,13
8,Male,Orange,11.7
3,Male,Orange,10.7
9,Male,Orange,10.2
19,Male,Black,14.8
8,Female,Orange,7.7
31,Female,Orange,14.1
21,Female,Orange,8.8
3,Male,White,9.6
14,Male,Gray,13
