predation,juvenile_instar,clutch_size,age_first_reproduction,helmet_size
yes,2,8.3,3,8.56
yes,3,10,17,11.71
no,1,5.8,8,9.21
no,3,10.1,20,5.74
no,1,7.3,13,5.64
yes,3,3.8,10,11.11
yes,1,9.9,14,12.19
no,2,10.8,15,6.14
no,2,9,11,5.72
yes,3,5.9,12,14.23
no,1,3.6,18,6.2
no,1,7.1,8,11.52
no,1,3.6,12,3.4
no,2,2.5,14,7.85
yes,1,8.8,8,8.07
yes,2,6.3,7,9.43
yes,3,6,16,15.14
yes,2,5.4,10,13.11
yes,3,10.3,9,10.69
yes,2,3,12,5.37
no,2,5.9,10,6.69
no,3,8.4,10,15
yes,2,7.7,8,10.94
no,3,5.5,9,8.35
no,1,6.8,15,8.53
no,1,6.5,13,10.97
no,3,11.2,10,16.6
no,1,7.3,19,10.12
yes,2,5.4,16,8.03
yes,3,10,10,19.83
yes,3,3.8,12,13.26
no,3,8.3,2,15.26
yes,3,10.1,15,16.91
no,1,4.1,14,2.39
no,1,7.8,11,13.42
no,1,9.4,11,8.17
yes,3,9.8,12,10.49
yes,2,10.8,15,11.22
no,1,11.8,9,8.74
no,1,7.5,15,8.58
yes,1,4.9,14,10.06
yes,1,5.1,10,15.01
yes,1,8.7,11,13.6
yes,2,3.1,18,12.01
yes,1,8.3,12,8.76
no,2,4.1,8,12.73
yes,2,4.7,8,13.07
no,1,7.9,12,7.25
yes,1,5.5,13,9.03
yes,2,4.9,13,10.27
no,1,5.3,11,8.04
no,2,10.5,6,10.17
yes,2,3.6,11,13.67
no,3,7.3,15,11.68
yes,1,5.8,5,5.46
no,1,14.4,14,9.58
yes,1,6.6,8,13.83
yes,2,11.5,11,7.08
no,2,9.2,8,3.34
yes,1,3.1,14,12.88
yes,3,8.3,10,11.85
yes,2,8.7,13,12.54
yes,3,7.1,10,12.29
yes,3,2.1,8,18.22
yes,1,12.6,7,14.11
no,3,6.5,9,12.97
no,2,3.5,11,11.52
no,3,10.1,16,13.88
yes,3,6.4,14,16.41
yes,2,7.6,10,8.22
yes,2,5.1,13,15.78
yes,1,2.5,9,6.25
no,2,6.6,10,2.55
yes,3,8.9,12,12.45
no,3,7,20,12.9
yes,1,7.1,13,11.71
yes,1,7.6,12,12.27
no,3,8,5,11.33
yes,1,6.3,16,8.71
yes,2,6.2,16,11.45
yes,3,5.2,7,18.43
no,2,3.5,12,8.19
no,1,3.4,9,10
no,2,5,12,10.49
yes,1,5.1,10,14.19
no,3,6,15,7.73
no,2,4,13,7.88
no,3,4.8,12,11.88
no,1,10.7,13,7.25
yes,3,7.9,7,13.55
yes,3,7.7,8,12.25
no,1,6.9,16,5.62
yes,2,4.7,13,6.14
no,3,5.5,13,13.47
no,3,6.1,8,11.33
no,1,7.2,19,10.78
no,1,6.9,10,1.58
no,2,11.5,13,12.19
no,3,6.1,11,12.03
yes,1,5.1,15,9.14
yes,3,2.9,9,14.61
yes,2,4.4,15,11.84
no,3,13.5,15,12.89
no,1,7.8,10,10.09
yes,1,9.3,7,11
yes,3,7.5,13,13.43
yes,3,7.4,5,11.18
no,3,6.6,14,12.37
yes,3,8.4,14,11.4
yes,2,10.6,14,14.94
yes,3,9.3,11,13.32
yes,3,6.4,17,17.33
yes,3,7.3,12,11.95
yes,2,3.4,9,10.39
yes,3,9.8,11,15.53
no,3,11.5,8,14.4
yes,3,3.2,8,9.6
yes,1,7,13,13.02
yes,3,4.8,12,16.3
no,1,4,9,7.18
no,1,9.7,11,10.61
no,1,9.9,12,6.55
yes,1,12.1,11,8.91
no,1,8.3,17,7.97
no,1,2.4,10,6.41
yes,3,8.2,14,17.43
no,1,5.3,11,8.37
no,2,6.5,9,7.72
no,1,7.6,9,3.58
yes,2,7.2,12,11.2
no,1,9,10,6.16
yes,1,5.4,12,9.25
no,3,5.3,13,9.93
yes,2,7.5,14,5.96
yes,3,9.2,9,14.37
yes,1,6,16,11.11
no,1,5.3,6,9.71
yes,1,4.5,6,8.32
yes,1,5.1,15,4.88
no,3,6.3,16,16.81
no,1,4.1,9,12.71
no,3,8.7,13,9.6
yes,3,1.9,8,8.65
yes,1,6.6,17,9.92
no,3,3.4,12,10.84
no,2,10,12,2.74
no,1,5.7,11,7.62
yes,2,9.8,8,11.21
yes,1,6,15,15.54
yes,2,6.5,12,7.65
no,3,4.4,13,18.21
