"plot","ecotype","pollinator","richness","visits"
1,"Woodland meadow","Villa",4,46
2,"Sage steppe","Bombus",7,44
3,"Low elevation meadow","Andrena",13,67
4,"High elevation meadow","Bombus",15,76
5,"Woodland meadow","Bombus",4,41
6,"Sage steppe","Geron",6,44
7,"Low elevation meadow","Halictus",12,91
8,"High elevation meadow","Apis",14,73
9,"Woodland meadow","Halictus",5,35
10,"Sage steppe","Laphria",6,45
11,"Low elevation meadow","Bombylius",10,66
12,"High elevation meadow","Geron",14,85
13,"Woodland meadow","Volucella",6,37
14,"Sage steppe","Bombus",6,38
15,"Low elevation meadow","Andrena",13,83
16,"High elevation meadow","Apis",14,75
17,"Woodland meadow","Bombylius",7,42
18,"Sage steppe","Andrena",8,41
19,"Low elevation meadow","Volucella",9,59
20,"High elevation meadow","Villa",13,83
21,"Woodland meadow","Villa",4,39
22,"Sage steppe","Volucella",8,31
23,"Low elevation meadow","Osmia",12,68
24,"High elevation meadow","Andrena",14,78
25,"Woodland meadow","Volucella",6,43
26,"Sage steppe","Apis",5,39
27,"Low elevation meadow","Bombylius",9,68
28,"High elevation meadow","Volucella",15,77
29,"Woodland meadow","Volucella",3,31
30,"Sage steppe","Volucella",7,36
31,"Low elevation meadow","Laphria",11,75
32,"High elevation meadow","Geron",16,91
33,"Woodland meadow","Apis",3,42
34,"Sage steppe","Volucella",9,42
35,"Low elevation meadow","Bombus",12,75
36,"High elevation meadow","Osmia",16,84
37,"Woodland meadow","Geron",3,29
38,"Sage steppe","Halictus",6,52
39,"Low elevation meadow","Bombus",14,61
40,"High elevation meadow","Villa",15,84
41,"Woodland meadow","Bombus",7,38
42,"Sage steppe","Apis",6,31
43,"Low elevation meadow","Villa",13,83
44,"High elevation meadow","Bombus",13,81
45,"Woodland meadow","Halictus",4,45
46,"Sage steppe","Apis",7,37
47,"Low elevation meadow","Bombylius",14,71
48,"High elevation meadow","Geron",13,65
49,"Woodland meadow","Bombus",7,45
50,"Sage steppe","Villa",10,47
51,"Low elevation meadow","Bombylius",9,64
52,"High elevation meadow","Andrena",16,65
53,"Woodland meadow","Laphria",3,32
54,"Sage steppe","Osmia",10,34
55,"Low elevation meadow","Bombus",13,79
56,"High elevation meadow","Geron",15,69
57,"Woodland meadow","Halictus",4,27
58,"Sage steppe","Osmia",6,51
59,"Low elevation meadow","Bombus",14,58
60,"High elevation meadow","Laphria",16,75
61,"Woodland meadow","Laphria",4,29
62,"Sage steppe","Geron",9,40
63,"Low elevation meadow","Halictus",14,70
64,"High elevation meadow","Bombus",12,64
65,"Woodland meadow","Bombylius",3,46
66,"Sage steppe","Geron",10,41
67,"Low elevation meadow","Andrena",10,64
68,"High elevation meadow","Laphria",15,73
69,"Woodland meadow","Laphria",3,25
70,"Sage steppe","Villa",7,38
71,"Low elevation meadow","Andrena",11,81
72,"High elevation meadow","Laphria",15,73
73,"Woodland meadow","Geron",6,31
74,"Sage steppe","Osmia",6,37
75,"Low elevation meadow","Geron",7,59
76,"High elevation meadow","Bombylius",12,74
77,"Woodland meadow","Halictus",3,32
78,"Sage steppe","Laphria",8,38
79,"Low elevation meadow","Volucella",9,77
80,"High elevation meadow","Halictus",13,81
81,"Woodland meadow","Osmia",3,39
82,"Sage steppe","Osmia",6,37
83,"Low elevation meadow","Apis",7,72
84,"High elevation meadow","Laphria",12,76
85,"Woodland meadow","Apis",5,39
86,"Sage steppe","Halictus",5,40
87,"Low elevation meadow","Villa",12,69
88,"High elevation meadow","Laphria",15,80
89,"Woodland meadow","Osmia",5,30
90,"Sage steppe","Bombylius",8,59
91,"Low elevation meadow","Villa",11,77
92,"High elevation meadow","Volucella",15,80
93,"Woodland meadow","Villa",3,45
94,"Sage steppe","Bombylius",6,50
95,"Low elevation meadow","Bombus",9,86
96,"High elevation meadow","Villa",13,80
97,"Woodland meadow","Osmia",7,28
98,"Sage steppe","Volucella",6,45
99,"Low elevation meadow","Villa",11,69
100,"High elevation meadow","Bombus",14,80
