"x","y","h"
4577577.30268873,1096388.97684519,-2065.12841796875
4580642.40019047,1102222.18412324,-2087.69213867188
4574636.80700306,1103948.49914592,-2135.31762695312
4582871.23551499,1102513.65424483,-2078.6279296875
4574368.31292487,1095528.40217715,-2041.74133300781
4583836.27295285,1101895.35852289,-2116.01831054688
4579887.05791533,1097050.02871109,-2258.2646484375
4576712.92206156,1101268.70124834,-2256.79516601562
4573734.69418311,1102389.12604516,-2088.08129882812
4576103.55770797,1104575.68274112,-2078.34521484375
4576607.6393968,1091728.50703355,-1998.77746582031
4576998.63733049,1096902.3808965,-2015.52478027344
4583543.99490845,1093078.25497701,-2320.22973632812
4579477.61583771,1104505.73353097,-1965.42626953125
4580649.70759093,1104431.81884242,-2090.06323242188
4574622.55925918,1104999.55377541,-2119.40209960938
4578936.55621097,1093506.46415958,-1976.52990722656
4581010.20034589,1093538.08104759,-1947.138671875
4578246.09445315,1092945.85529016,-1919.95080566406
4581023.35678926,1095676.95149686,-2155.0224609375
4573447.53894815,1098613.81613067,NA
4577959.95471417,1101309.1181987,-2129.88623046875
4574018.52714177,1101203.42995739,-2121.04272460938
4574696.05047302,1104299.46441785,-2130.1533203125
4576210.55515646,1095287.05179924,-1967.02368164062
4576303.41210612,1091018.26792466,-2085.50439453125
4573799.07529405,1095134.02733603,-2047.49243164062
4579522.21732284,1104976.62236914,-2035.63134765625
4578862.44689999,1095290.99069303,-2081.43530273438
4575618.25609463,1093334.3082713,-1914.64599609375
4582055.05686556,1094223.07779314,-2099.95751953125
4576841.68458567,1098009.28054261,-2025.84765625
4575604.34041242,1096335.18494084,-2005.83996582031
4574117.86746653,1094702.62962161,-1994.86267089844
4582152.83116512,1093386.41650975,-2045.16162109375
4577442.67415162,1094709.2431772,-2040.59265136719
4583328.27157178,1091705.21685737,-2310.84326171875
4577113.58853872,1103911.97502729,-2067.34008789062
4574719.3471163,1098115.49348058,-2024.86157226562
4574360.9348319,1093053.90621186,-1956.16821289062
4580825.14285576,1101405.90524301,-2078.18676757812
4575772.06221619,1094687.00089259,-2017.32690429688
4579237.17321781,1100309.36237075,-2235.1318359375
4581185.89858315,1103145.01649118,-2065.85986328125
4579178.6051658,1093750.6466778,-1962.478515625
4576144.27233464,1092321.06942916,-2003.39965820312
4583901.5724645,1103913.29054954,-2091.57080078125
4580787.75604255,1096745.70643925,-2274.03540039062
4573620.50996115,1095021.30850102,NA
4580886.62877795,1100945.84396924,-2048.56201171875
4574483.87550726,1099676.27615901,-2007.22583007812
4580974.06949638,1098544.23159617,-2012.89526367188
4581983.48597181,1094684.37620788,-2143.98901367188
4578422.08126141,1103478.90422563,-2014.63586425781
4578799.57283381,1104664.09167158,-2026.244140625
4574323.52531422,1103767.75567653,-2115.12573242188
4574376.99693139,1098048.62277932,-2056.33325195312
4579011.56068803,1090523.87722884,-1952.26147460938
4575020.93180013,1094300.23831083,-2014.27661132812
4574461.11571416,1091313.18536238,-2112.42163085938
4574269.07276362,1097277.24609664,-2108.015625
4575599.23003218,1094548.84057166,-2019.10229492188
4576354.6518255,1102632.92719028,-2069.67651367188
4580456.93190675,1101473.89458609,-2111.02587890625
4579823.20595835,1091899.52748129,-1659.65063476562
4582239.29123697,1102383.55688867,-2056.03491210938
4578202.35939301,1103107.46993055,-2033.59716796875
4582846.50844848,1097061.12976302,-2324.86328125
4580096.41822474,1103444.37769265,-2027.61926269531
4575714.30928959,1103209.32399249,-2092.89721679688
4582611.6901855,1101202.78201182,-2005.93676757812
4574514.23370489,1101744.30410028,-2185.11254882812
4573824.8743501,1101601.56906932,-2179.9443359375
4581560.79732953,1103963.10952608,-2082.3271484375
4575508.13886872,1091233.29401715,-2102.01635742188
4578104.34404435,1101874.43762785,-2294.98022460938
4574530.37170623,1101903.43513968,-2199.72119140625
4582327.30738912,1101045.9768807,-1933.64624023438
4574990.27682818,1092570.93976019,-1960.05578613281
4575022.49059523,1098355.40811531,-1994.08239746094
4579604.78775483,1104969.63452315,-2044.404296875
4576795.958495,1098767.5719324,-2022.45141601562
4578739.23528194,1098907.84013784,-2212.3154296875
4573643.08782131,1101832.19442144,NA
4581884.53432522,1101581.96910284,-2019.62060546875
4581406.11106553,1098034.75836059,-2017.77136230469
4576410.10948154,1103259.19969007,-2041.75952148438
4577362.57839273,1099725.35499954,-2066.68896484375
4581634.33238748,1101022.00387628,-1989.31469726562
4579143.23090436,1093804.87169605,-1963.98571777344
4578288.22152643,1093131.41268911,-1905.626953125
4575416.05595872,1092610.03653286,-1943.51733398438
4579731.60358169,1104148.42408383,-1979.14196777344
4579855.01890234,1095934.01370686,-2191.19140625
4573104.67334208,1095089.72652606,NA
4577332.40489918,1090033.85773744,-2095.98315429688
4580013.96647585,1090417.0167644,-1786.40808105469
4582938.28244694,1101670.90422474,-2002.89660644531
4575537.14540834,1090696.6138992,-2111.13232421875
4574896.06749569,1094867.80485138,-2023.00329589844
4579168.22639597,1094947.56636443,-2062.55590820312
4577579.75537702,1100411.84393689,-2075.40625
4580475.81639723,1090045.50987505,-1839.62805175781
4576921.91326502,1096302.10033967,-2032.43249511719
4573976.02185002,1095290.85317743,-2064.21362304688
4578901.63933276,1098270.76124493,-2254.91015625
4576907.15098614,1093114.7741992,-1962.52697753906
4578807.58687505,1103017.83500356,-2120.21899414062
4583777.02502906,1104344.91208871,-2083.20043945312
4579134.71535663,1098605.40485592,-2234.79663085938
4574665.64204125,1099512.26181234,-1981.57434082031
4573888.40248203,1093051.76492897,-1940.38305664062
4575302.1063318,1101072.72939407,-2068.890625
4574358.5486128,1101395.13331698,-2142.29370117188
4575026.08867525,1097979.11304981,-2045.16662597656
4573355.50292744,1093812.1554337,NA
4582975.43251631,1093990.80190458,-2272.79638671875
4580680.29735121,1100532.51088364,-2041.8857421875
4573314.01748559,1093759.89805674,NA
4575291.33302649,1099094.9827747,-1974.94165039062
4573831.82520699,1099255.37970848,-2025.73193359375
4575439.98023937,1097758.16740235,-2044.05078125
4578704.38049594,1091454.1819517,-1967.32153320312
4573117.38968221,1098108.93083457,NA
