YEAR,state,TopicDesc,MeasureDesc,Response,Percent_Yes,Sample_Size,Gender,Education
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.8,816,Female,High School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,15.7,771,Female,Middle School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,32.5,704,Male,High School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,22.1,738,Male,Middle School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,23.1,669,Female,High School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,12,820,Female,Middle School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.3,607,Male,High School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,18.3,674,Male,Middle School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,20.4,764,Female,High School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,11.9,701,Female,Middle School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.5,715,Male,High School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,14,658,Male,Middle School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,23.6,758,Female,High School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,10.5,776,Female,Middle School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,29.6,783,Male,High School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.9,929,Male,Middle School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,16.8,659,Female,High School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,6.8,516,Female,Middle School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.1,658,Male,High School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,10.4,492,Male,Middle School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.8,678,Female,High School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,6.6,583,Female,Middle School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,22.2,621,Male,High School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.1,542,Male,Middle School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.4,698,Female,High School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.4,749,Female,Middle School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,24.3,737,Male,High School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.7,683,Male,Middle School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.5,618,Female,High School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,8,752,Female,Middle School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,20.9,656,Male,High School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,4.9,626,Male,Middle School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,8.8,1256,Female,High School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,3.3,1479,Female,Middle School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,12.9,1174,Male,High School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,3.4,1465,Male,Middle School
2000,Arizona,Cigarette Use (Youth),Smoking Status,Current,11.3,983,Female,Middle School
2000,Arizona,Cigarette Use (Youth),Smoking Status,Current,11.5,966,Male,Middle School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,16.5,800,Female,High School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,8.7,1024,Female,Middle School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,19,755,Male,High School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,8.7,1041,Male,Middle School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,17.6,975,Female,High School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,7.2,1002,Female,Middle School
