Gender,State,Food_Offered,Weather,Distance_Away,Vampire_Belief,Given_Blood_Past,Donated_Blood
M,IN,1,cold,3,likely,0,0
M,ME,1,cold,4,unsure,0,0
M,NH,0,cold,3,none,0,1
M,VA,1,warm,0,definitely,1,1
M,HI,0,hot,2,definitely,0,1
M,VT,0,hot,0,unlikely,1,1
M,WV,1,warm,3,unsure,0,0
M,ND,1,hot,3,unlikely,1,1
M,NY,1,warm,1,unlikely,0,1
M,AR,1,warm,11,definitely,0,0
M,HI,1,hot,2,likely,1,1
M,FL,1,warm,0,unsure,1,1
M,OH,0,cold,6,unsure,0,0
M,MD,1,warm,8,none,0,0
M,RI,0,hot,11,none,0,0
M,MO,1,warm,7,unsure,0,0
M,OK,1,hot,4,none,0,1
M,WY,0,hot,5,none,0,0
M,MD,0,cold,5,unsure,0,0
M,RI,0,hot,3,unlikely,0,0
M,WA,0,hot,5,unsure,0,0
M,HI,1,cold,18,likely,0,0
M,NC,0,warm,4,none,0,0
M,CT,1,hot,0,none,0,1
M,IN,0,hot,8,none,1,0
M,MD,1,cold,6,none,1,1
M,AL,1,hot,0,likely,0,1
M,MD,0,hot,3,unlikely,1,1
M,UT,0,warm,6,definitely,0,0
M,LA,1,warm,3,unlikely,1,1
M,MO,1,warm,0,none,1,1
M,NJ,0,hot,0,unsure,0,0
M,MO,0,hot,4,none,0,0
M,GA,1,cold,1,unlikely,0,1
M,TN,1,hot,0,unsure,0,1
M,ND,0,hot,2,unsure,0,1
M,SC,0,hot,1,none,0,1
M,CO,1,warm,2,likely,0,1
M,OR,1,cold,2,none,1,1
M,MA,0,hot,4,likely,0,0
M,TN,0,warm,6,likely,0,0
M,NC,0,hot,1,unlikely,0,0
M,SC,1,cold,11,definitely,0,0
M,NV,1,hot,3,unsure,0,1
M,NE,0,cold,17,likely,0,0
M,SC,0,hot,12,none,0,0
M,AK,1,cold,1,unsure,1,1
M,MS,0,warm,1,likely,1,1
M,OR,0,warm,2,unlikely,0,1
M,OH,1,cold,8,unsure,0,0
M,MS,0,hot,1,none,1,1
M,UT,1,cold,0,unlikely,1,1
M,MI,0,hot,0,unlikely,0,1
M,IL,1,hot,11,none,0,0
M,AR,1,cold,1,none,0,1
M,CA,0,warm,5,likely,0,0
M,KS,1,hot,2,unlikely,0,1
M,MT,0,hot,0,likely,0,1
M,ND,1,cold,1,likely,1,1
M,MA,0,hot,14,definitely,0,0
M,VA,0,hot,4,unsure,1,1
M,IA,1,warm,1,unlikely,0,1
M,MN,1,warm,0,none,1,1
M,KY,0,cold,16,unlikely,0,0
M,NC,1,hot,6,definitely,1,1
M,IL,1,warm,4,none,1,1
M,MS,0,warm,4,none,0,0
M,RI,0,warm,0,likely,0,1
M,CA,1,cold,20,unlikely,0,0
M,UT,0,hot,3,none,0,0
M,KY,0,cold,1,none,0,1
M,TN,0,cold,4,definitely,0,0
