"location","year","surveyed","yes_reindeer"
"Nuuk",1972,1478,563
"Nuuk",1973,1499,440
"Nuuk",1974,1531,469
"Nuuk",1975,1645,516
"Nuuk",1976,1562,468
"Nuuk",1977,1541,462
"Nuuk",1978,1367,468
"Nuuk",1979,1527,490
"Nuuk",1980,1514,496
"Nuuk",1981,1424,539
"Nuuk",1982,1506,501
"Nuuk",1983,1514,593
"Nuuk",1984,1546,589
"Nuuk",1985,1560,518
"Nuuk",1986,1527,567
"Nuuk",1987,1594,535
"Nuuk",1988,1565,472
"Nuuk",1989,1598,505
"Nuuk",1990,1607,520
"Nuuk",1991,1560,544
"Nuuk",1992,1537,530
"Nuuk",1993,1422,486
"Nuuk",1994,1448,516
"Nuuk",1995,1426,412
"Nuuk",1996,1361,484
"Nuuk",1997,1387,456
"Nuuk",1998,1424,488
"Nuuk",1999,1453,492
"Nuuk",2000,1495,448
"Nuuk",2001,1706,541
"Nuuk",2002,1529,462
"Nuuk",2003,1500,513
"Nuuk",2004,1502,491
"Nuuk",2005,1467,473
"Nuuk",2006,1433,449
"Nuuk",2007,1474,457
"Nuuk",2008,1471,513
"Nuuk",2009,1474,437
"Nuuk",2010,1348,432
"Nuuk",2011,1550,515
"Nuuk",2012,1639,581
"Nuuk",2013,1445,443
"Nuuk",2014,1553,492
"Nuuk",2015,1520,443
"Nuuk",2016,1572,494
"Nuuk",2017,1451,456
"Nuuk",2018,1595,571
"Nuuk",2019,1369,464
"Nuuk",2020,1463,478
"Nuuk",2021,1487,517
"Montreal",1972,34740,9426
"Montreal",1973,35801,9744
"Montreal",1974,34338,9072
"Montreal",1975,34849,8749
"Montreal",1976,35496,9544
"Montreal",1977,34418,8465
"Montreal",1978,33838,9377
"Montreal",1979,35862,9952
"Montreal",1980,35892,9882
"Montreal",1981,34992,9332
"Montreal",1982,35252,9171
"Montreal",1983,35069,9497
"Montreal",1984,35005,9558
"Montreal",1985,35542,9691
"Montreal",1986,35761,9108
"Montreal",1987,34767,9870
"Montreal",1988,35236,8826
"Montreal",1989,35500,9892
"Montreal",1990,35234,9767
"Montreal",1991,33602,9042
"Montreal",1992,33292,8216
"Montreal",1993,35352,10051
"Montreal",1994,35860,9817
"Montreal",1995,34056,8970
"Montreal",1996,35450,9723
"Montreal",1997,35187,9991
"Montreal",1998,35531,9652
"Montreal",1999,35967,9567
"Montreal",2000,35107,8706
"Montreal",2001,34563,9603
"Montreal",2002,36601,9462
"Montreal",2003,36699,10107
"Montreal",2004,35828,9891
"Montreal",2005,34861,9416
"Montreal",2006,35347,9873
"Montreal",2007,34602,8880
"Montreal",2008,35771,9697
"Montreal",2009,35313,9773
"Montreal",2010,33671,9058
"Montreal",2011,34495,9586
"Montreal",2012,33590,8340
"Montreal",2013,35883,9162
"Montreal",2014,34796,9319
"Montreal",2015,34200,9178
"Montreal",2016,34925,9488
"Montreal",2017,35261,9346
"Montreal",2018,34356,8769
"Montreal",2019,34959,9501
"Montreal",2020,34576,9337
"Montreal",2021,35470,8967
"Longyearbyen",1972,185,94
"Longyearbyen",1973,170,83
"Longyearbyen",1974,187,88
"Longyearbyen",1975,197,95
"Longyearbyen",1976,196,96
"Longyearbyen",1977,194,87
"Longyearbyen",1978,193,89
"Longyearbyen",1979,218,104
"Longyearbyen",1980,200,89
"Longyearbyen",1981,202,99
"Longyearbyen",1982,192,90
"Longyearbyen",1983,185,82
"Longyearbyen",1984,228,104
"Longyearbyen",1985,210,97
"Longyearbyen",1986,209,95
"Longyearbyen",1987,205,102
"Longyearbyen",1988,194,91
"Longyearbyen",1989,200,94
"Longyearbyen",1990,191,86
"Longyearbyen",1991,213,98
"Longyearbyen",1992,208,97
"Longyearbyen",1993,203,91
"Longyearbyen",1994,198,97
"Longyearbyen",1995,189,91
"Longyearbyen",1996,201,93
"Longyearbyen",1997,225,111
"Longyearbyen",1998,209,98
"Longyearbyen",1999,207,94
"Longyearbyen",2000,214,99
"Longyearbyen",2001,213,93
"Longyearbyen",2002,221,108
"Longyearbyen",2003,207,96
"Longyearbyen",2004,185,87
"Longyearbyen",2005,194,90
"Longyearbyen",2006,201,100
