"smokes","coffees","students","zoom_students","asks"
2,5,24,2,19
0,6,23,1,15
3,4,25,3,17
0,4,25,2,12
0,4,23,2,9
2,4,26,3,19
3,5,26,2,28
1,4,26,3,16
0,6,26,3,24
0,6,24,2,13
2,4,25,2,12
0,4,26,3,11
0,4,25,4,8
0,7,27,2,27
0,6,24,1,14
2,5,26,3,16
0,5,24,2,8
2,5,26,3,20
1,7,26,3,21
1,5,24,4,13
4,5,25,1,21
1,5,25,3,20
0,6,26,4,20
0,5,25,2,14
2,4,25,2,19
0,5,24,2,18
0,4,25,3,20
1,2,22,2,10
1,4,27,2,21
2,4,25,2,13
1,6,25,1,19
1,6,22,3,13
2,5,24,3,22
1,4,26,2,15
1,5,25,4,14
1,6,26,2,20
0,5,25,2,17
2,6,25,4,16
2,5,26,2,22
1,4,24,1,16
0,5,26,2,20
1,4,23,2,11
0,5,23,1,11
4,5,26,2,23
2,4,26,1,17
2,5,26,2,13
1,6,24,2,17
1,4,24,3,11
1,5,25,1,27
4,5,26,2,21
0,4,27,2,15
0,3,26,3,18
0,7,25,3,17
2,6,26,3,31
0,4,26,3,13
1,6,25,2,30
0,4,27,4,19
2,6,26,4,16
0,4,26,2,9
0,4,25,2,20
2,4,25,4,25
2,5,26,1,18
0,6,26,2,21
1,4,24,3,13
3,5,24,2,23
0,6,26,2,19
0,3,25,3,9
2,5,26,4,22
1,5,24,1,9
2,3,24,3,15
1,4,24,2,12
0,6,25,4,23
1,6,26,2,29
2,6,23,4,21
0,5,26,1,13
2,6,25,4,29
1,5,27,4,18
0,5,25,3,15
3,5,25,2,11
2,4,25,3,18
2,6,25,2,13
2,6,25,4,26
0,4,26,2,9
2,4,26,2,17
0,5,25,1,6
2,5,25,3,22
3,5,23,1,21
0,2,25,1,6
1,4,24,2,14
2,6,24,3,20
0,8,26,1,27
0,4,23,4,13
1,6,24,2,20
1,6,24,2,20
1,6,25,4,22
0,4,25,3,10
2,6,26,1,26
1,7,26,2,23
1,5,24,2,19
2,5,26,2,24
