"per.humidity","rainfall.mm","mud.g","trail_use","slugs_seen"
78.8,2.8,25.9,"low",0
61.2,15.2,5.9,"medium",0
66.6,39.3,7.6,"low",1
85.5,5.3,9.7,"high",1
91,5.2,30.5,"high",1
71.2,5.4,167.4,"high",4
98.2,1.4,33.9,"low",3
98.9,1.3,155.7,"medium",1
92,8.4,265,"high",6
99.8,0.6,73,"medium",2
93.3,2.2,16.2,"high",1
85.1,3.8,4.2,"medium",0
69.5,6.7,10.2,"low",0
65.7,11.4,15.8,"low",0
92.3,6.6,27.8,"low",1
57,2.5,35.4,"high",1
75.9,10.8,46.7,"high",0
79.7,6.8,233,"high",5
97.1,8.9,65.9,"low",1
81.4,10.6,5.5,"medium",1
79.3,0.5,59,"medium",1
63.7,8.9,2.6,"medium",3
57.4,17.1,29.7,"low",1
90.1,2.7,0.3,"medium",0
69.3,25.4,102,"high",0
91,24.6,53.8,"high",3
84.2,5.4,38,"medium",2
94.2,0.8,206.1,"low",7
55.6,5.3,40.7,"high",1
88.9,9.2,27.6,"low",0
81.1,7.1,69.6,"high",1
63.7,9.8,15.8,"high",0
65.1,0.1,112.4,"medium",2
67.5,16.1,8.6,"medium",0
66.5,3.4,45.8,"high",0
90.5,3,73.3,"high",3
63.7,0.1,17.4,"low",0
97,4,60.3,"medium",1
95.1,24.4,47.1,"low",2
58.9,4.8,26.4,"medium",1
89.9,9.6,152.1,"medium",6
54.1,6.8,39.9,"high",2
64.3,0.1,30.1,"high",1
83.1,9.4,14.7,"high",0
89.2,4.7,8.5,"high",1
88.8,4,84.2,"high",2
56.1,13.1,63.5,"high",1
68.6,37.6,53.5,"high",2
64.9,2,12.9,"high",0
87.6,8.6,12.8,"high",0
75,4.4,25.7,"low",1
90.9,8.2,118.9,"medium",4
65.2,29.7,13.6,"low",0
91.2,4,22.1,"medium",1
94.7,7.8,12.3,"high",2
51,12.1,215.7,"high",5
62.7,6.1,53.4,"medium",0
97.6,4.8,54.3,"high",2
78.3,4.7,50.3,"low",4
94.9,8,40.2,"high",1
64.5,10.8,36.9,"medium",1
70.1,12.5,39.8,"high",0
77,10.2,93.6,"medium",1
68.2,1.3,1.7,"high",1
56.3,5.4,7.2,"medium",2
69.7,4.4,25.3,"high",0
55.3,3.2,78.8,"medium",2
97.7,2.9,116.4,"low",1
71,1.2,87.9,"high",3
99.6,6.5,63.1,"medium",1
78.5,0.2,45.5,"high",1
89.2,2.4,8.7,"high",1
95.2,19.7,3.4,"low",3
75.4,12.4,23.2,"high",2
54.5,11.2,13.7,"medium",1
62,0.5,25.5,"high",0
90.3,0.1,12.8,"low",0
61.2,6,98.6,"medium",0
79.6,11.2,110.9,"medium",4
96.5,3.2,35,"medium",1
92.6,0.8,11.3,"high",2
55,1.6,73.8,"low",2
95.4,4.8,20.7,"medium",1
91.9,15.9,34.1,"low",5
91.4,4.2,106,"medium",3
55,3.9,51.3,"high",0
58.1,15.1,88,"medium",1
97,1.6,81.2,"medium",0
55.6,17.5,2.2,"high",1
63.1,7.6,56.9,"medium",0
52.6,4.2,38.7,"high",1
59.4,3.7,147.6,"high",1
76.8,0.7,9.2,"high",0
78.4,9.5,46.1,"high",2
74.6,7.7,40.7,"high",3
66.5,13,12.3,"low",0
84.8,0.2,2.1,"high",2
76.5,16.2,175.4,"low",5
70.5,13.6,3.6,"low",0
56.7,5.2,21,"medium",1
