"ID","Age","Gender","Major","SocialMediaHours","Score"
"Student 1","27","Male","Sociology","5","72"
"Student 2","20","Male","Sociology","7","66"
"Student 3","30","Female","Sociology","9","51"
"Student 4","20","Male","Biology","4","72"
"Student 5","22","Female","Biology","5","59"
"Student 6","27","Male","Fine Art","6","65"
"Student 7","30","Male","Biology","5","70"
"Student 8","24","Female","Fine Art","4","84"
"Student 9","18","Male","Sociology","5","74"
"Student 10","21","Female","Biology","8","71"
"Student 11","27","NonSpecific","Biology","5","64"
"Student 12","18","Female","Biology","6","59"
"Student 13","19","NonSpecific","Fine Art","4","74"
"Student 14","20","NonSpecific","Fine Art","4","69"
"Student 15","21","Male","Fine Art","7","60"
"Student 16","28","NonSpecific","Biology","5","76"
"Student 17","18","Female","Fine Art","7","76"
"Student 18","29","Male","Biology","2","75"
"Student 19","24","Male","Sociology","6","56"
"Student 20","24","NonSpecific","Fine Art","3","69"
"Student 21","30","NonSpecific","Biology","5","56"
"Student 22","25","Male","Biology","5","71"
"Student 23","18","Male","Fine Art","2","82"
"Student 24","20","Female","Fine Art","8","56"
"Student 25","28","NonSpecific","Biology","5","80"
"Student 26","21","Male","Biology","3","77"
"Student 27","19","Male","Fine Art","3","86"
"Student 28","25","NonSpecific","Biology","4","78"
"Student 29","25","Female","Sociology","3","74"
"Student 30","28","Male","Fine Art","7","66"
"Student 31","24","Male","Biology","6","73"
"Student 32","23","Female","Fine Art","4","86"
"Student 33","28","Female","Sociology","2","78"
"Student 34","24","Female","Biology","6","74"
"Student 35","26","Male","Fine Art","3","71"
"Student 36","24","Male","Fine Art","5","70"
"Student 37","21","Male","Biology","4","83"
"Student 38","29","Male","Sociology","4","53"
"Student 39","27","Female","Biology","4","80"
"Student 40","25","Male","Biology","5","68"
"Student 41","21","Male","Biology","5","67"
"Student 42","24","Male","Biology","8","53"
"Student 43","19","NonSpecific","Biology","6","79"
"Student 44","30","Female","Biology","4","75"
"Student 45","29","Male","Fine Art","6","69"
"Student 46","27","Female","Sociology","4","77"
"Student 47","23","Male","Biology","2","85"
"Student 48","25","Male","Biology","3","85"
"Student 49","24","Male","Biology","7","59"
"Student 50","30","NonSpecific","Sociology","4","72"
"Student 51","19","Female","Biology","4","78"
"Student 52","19","Male","Biology","3","79"
"Student 53","20","Female","Biology","6","68"
"Student 54","27","Male","Fine Art","5","60"
"Student 55","18","NonSpecific","Sociology","5","75"
"Student 56","26","Male","Fine Art","6","59"
"Student 57","20","NonSpecific","Fine Art","4","75"
"Student 58","29","Male","Sociology","6","81"
"Student 59","19","Female","Biology","7","64"
"Student 60","18","Male","Biology","4","71"
"Student 61","27","Male","Biology","3","71"
"Student 62","28","Male","Fine Art","7","67"
"Student 63","21","Female","Sociology","9","64"
"Student 64","26","NonSpecific","Sociology","4","71"
"Student 65","29","NonSpecific","Sociology","2","76"
"Student 66","21","Female","Biology","6","67"
"Student 67","21","Female","Fine Art","4","64"
"Student 68","29","Female","Biology","6","79"
"Student 69","25","Female","Biology","6","57"
"Student 70","29","Male","Biology","8","61"
"Student 71","25","Female","Fine Art","2","82"
"Student 72","22","Male","Fine Art","7","70"
"Student 73","26","Male","Biology","9","59"
"Student 74","28","NonSpecific","Fine Art","4","75"
"Student 75","19","NonSpecific","Biology","4","79"
"Student 76","28","Female","Sociology","4","69"
"Student 77","25","Female","Fine Art","6","62"
"Student 78","19","Male","Sociology","3","69"
"Student 79","30","Male","Biology","4","75"
"Student 80","29","Male","Biology","5","56"
"Student 81","27","NonSpecific","Fine Art","2","77"
"Student 82","27","Female","Fine Art","6","59"
"Student 83","22","Female","Sociology","6","69"
"Student 84","28","NonSpecific","Biology","5","60"
"Student 85","22","Male","Sociology","7","50"
"Student 86","27","Male","Biology","5","66"
"Student 87","30","Male","Fine Art","4","73"
"Student 88","20","Male","Biology","7","61"
"Student 89","26","Female","Fine Art","4","70"
"Student 90","28","Male","Biology","2","93"
"Student 91","20","Female","Fine Art","4","76"
"Student 92","19","Male","Fine Art","4","77"
"Student 93","23","NonSpecific","Sociology","2","67"
"Student 94","25","Male","Fine Art","3","82"
"Student 95","24","Male","Sociology","3","85"
"Student 96","19","Male","Biology","4","82"
"Student 97","27","NonSpecific","Biology","5","77"
"Student 98","23","Male","Biology","6","57"
"Student 99","26","Male","Biology","2","78"
"Student 100","27","Male","Biology","4","84"
"Student 101","25","NonSpecific","Fine Art","4","69"
"Student 102","22","NonSpecific","Fine Art","6","74"
"Student 103","29","Male","Fine Art","5","72"
"Student 104","25","NonSpecific","Biology","7","53"
"Student 105","21","Male","Biology","7","63"
"Student 106","30","Male","Biology","5","73"
"Student 107","21","Male","Fine Art","9","64"
"Student 108","21","NonSpecific","Fine Art","9","52"
"Student 109","22","Female","Biology","5","78"
"Student 110","27","Female","Biology","4","71"
"Student 111","20","NonSpecific","Biology","9","55"
"Student 112","21","Male","Biology","3","82"
"Student 113","23","NonSpecific","Fine Art","3","76"
"Student 114","23","Female","Fine Art","6","75"
"Student 115","21","Male","Fine Art","5","74"
"Student 116","28","Male","Fine Art","4","78"
"Student 117","27","Female","Fine Art","6","72"
"Student 118","21","NonSpecific","Biology","9","72"
"Student 119","29","Male","Biology","2","68"
"Student 120","28","NonSpecific","Biology","6","66"
"Student 121","20","Male","Biology","5","73"
"Student 122","25","Male","Biology","8","56"
"Student 123","20","Male","Biology","3","83"
"Student 124","28","NonSpecific","Biology","8","52"
"Student 125","19","Female","Biology","3","86"
"Student 126","26","NonSpecific","Biology","8","65"
"Student 127","30","Female","Biology","7","56"
"Student 128","18","Male","Sociology","5","72"
"Student 129","27","NonSpecific","Sociology","4","72"
"Student 130","19","NonSpecific","Sociology","6","79"
"Student 131","22","NonSpecific","Fine Art","4","79"
"Student 132","25","Male","Sociology","12","44"
"Student 133","25","Female","Biology","4","72"
"Student 134","29","NonSpecific","Fine Art","5","69"
"Student 135","26","Male","Fine Art","3","71"
"Student 136","23","NonSpecific","Biology","5","66"
"Student 137","29","NonSpecific","Biology","2","81"
"Student 138","25","Male","Biology","3","65"
"Student 139","24","Male","Biology","4","79"
"Student 140","21","Male","Biology","6","68"
"Student 141","23","Female","Sociology","3","81"
"Student 142","19","Male","Biology","8","66"
"Student 143","23","Male","Biology","5","64"
"Student 144","26","Male","Sociology","4","69"
"Student 145","27","NonSpecific","Fine Art","8","59"
"Student 146","19","NonSpecific","Fine Art","6","71"
"Student 147","25","Male","Sociology","2","79"
"Student 148","19","NonSpecific","Fine Art","4","85"
"Student 149","19","Male","Fine Art","4","86"
"Student 150","19","Male","Fine Art","4","70"
