"year" "mice" "foxes"
1751 250 800
1752 162 503
1753 122 332
1754 123 200
1755 122 145
1756 148 83
1757 209 66
1758 299 47
1759 415 53
1760 559 52
1761 807 63
1762 1111 95
1763 1368 187
1764 1511 380
1765 1268 768
1766 846 955
1767 497 883
1768 326 706
1769 232 474
1770 174 326
1771 160 224
1772 166 150
1773 182 112
1774 248 74
1775 336 65
1776 453 59
1777 614 66
1778 894 77
1779 1213 115
1780 1478 232
1781 1544 476
1782 1234 861
1783 808 1032
1784 476 961
1785 296 719
1786 168 503
1787 109 314
1788 116 213
1789 132 122
1790 160 73
1791 227 56
1792 323 51
1793 414 50
1794 577 58
1795 836 55
1796 1219 96
1797 1535 209
1798 1679 455
1799 1325 858
1800 825 1059
1801 490 914
1802 299 656
1803 223 442
1804 185 299
1805 193 223
1806 214 173
1807 235 141
1808 241 99
1809 328 82
1810 452 72
1811 642 81
1812 888 94
1813 1201 132
1814 1453 284
1815 1417 536
1816 1066 846
1817 676 914
1818 405 764
1819 235 573
1820 162 377
1821 145 225
1822 151 152
1823 193 104
1824 235 74
1825 299 60
1826 410 50
1827 611 54
1828 920 65
1829 1212 108
1830 1516 213
1831 1648 485
1832 1302 830
1833 757 1021
1834 463 836
1835 284 620
1836 195 405
1837 157 263
1838 161 153
1839 160 93
1840 205 69
1841 273 42
1842 389 47
1843 558 48
1844 778 52
1845 1147 85
1846 1576 166
1847 1839 397
1848 1583 839
1849 951 1082
1850 468 965
