S,I,R,time
9995,5,0,1
9995,5,0,2
9995,5,0,3
9995,5,0,4
9995,5,0,5
9995,5,0,6
9995,5,0,7
9995,5,0,8
9995,5,0,9
9995,5,0,10
9995,5,0,11
9995,5,0,12
9995,5,0,13
9895,105,0,14
9895,105,0,15
9895,105,0,16
9895,105,0,17
9895,105,0,18
9895,105,0,19
9895,105,0,20
9895,105,0,21
9895,105,0,22
9895,105,0,23
9895,105,0,24
9895,105,0,25
9895,5,100,26
9895,5,100,27
9895,5,100,28
9695,205,100,29
9695,205,100,30
9695,205,100,31
9495,305,200,32
9495,205,300,33
9495,105,400,34
9395,105,500,35
9395,105,500,36
9195,305,500,37
9195,305,500,38
9095,205,700,39
8995,305,700,40
8995,305,700,41
8995,205,800,42
8895,305,800,43
8595,605,800,44
8395,805,800,45
8195,905,900,46
7995,1105,900,47
7895,1205,900,48
7795,1305,900,49
7395,1705,900,50
7295,1805,900,51
7195,1905,900,52
7195,1805,1000,53
6995,2005,1000,54
6795,1905,1300,55
6695,1705,1600,56
6595,1605,1800,57
6495,1705,1800,58
6395,1705,1900,59
6395,1305,2300,60
6295,1205,2500,61
6095,1405,2500,62
5895,1505,2600,63
5695,1505,2800,64
5695,1105,3200,65
5495,1005,3500,66
5395,1005,3600,67
5295,705,4000,68
5295,605,4100,69
5195,505,4300,70
5095,305,4600,71
4795,305,4900,72
4495,305,5200,73
4395,305,5300,74
4395,5,5600,75
4195,205,5600,76
3995,405,5600,77
3795,405,5800,78
3795,405,5800,79
3495,605,5900,80
3395,705,5900,81
3395,505,6100,82
3295,605,6100,83
3295,505,6200,84
3095,605,6300,85
3095,505,6400,86
3095,505,6400,87
2995,605,6400,88
2995,505,6500,89
2895,605,6500,90
2895,605,6500,91
2895,605,6500,92
2795,705,6500,93
2795,705,6500,94
2795,705,6500,95
2795,705,6500,96
2695,805,6500,97
2695,805,6500,98
2695,805,6500,99
2695,705,6600,100
2695,705,6600,101
2695,705,6600,102
2695,705,6600,103
2695,705,6600,104
