taylors_drinks_sold	day	day_of_the_week	year	days_to_final	gameday	boys_in_bar	girls_in_bar	temperature	cost_of_market_basket_pbr
185	1	Monday	1	99	0	11	44	23.64798514	4.27
314	2	Tuesday	1	98	0	0	43	39.40323954	3.3
261	3	Wednesday	1	97	0	5	56	22.17536569	4.3
165	4	Thurday	1	96	0	6	54	34.95083452	3.56
684	5	Friday	1	95	0	14	48	27.58813141	4.88
281	6	Saturday	1	94	0	24	33	36.39732101	3.34
403	7	Sunday	1	93	0	14	40	27.8481739	3.5
318	8	Monday	1	92	0	28	44	38.77513544	3.78
562	9	Tuesday	1	91	0	44	44	33.00755841	4.51
449	10	Wednesday	1	90	0	34	45	27.41909104	5.97
250	11	Thurday	1	89	0	9	45	19.01412845	4.6
815	12	Friday	1	88	0	0	58	38.30180502	2.72
259	13	Saturday	1	87	0	11	43	23.59456847	5.68
330	14	Sunday	1	86	0	17	51	16.33706257	5.27
297	15	Monday	1	85	0	45	66	43.17955736	6.15
371	16	Tuesday	1	84	0	58	78	19.70112773	4.02
517	17	Wednesday	1	83	0	50	70	27.59726969	5.89
434	18	Thurday	1	82	0	57	77	28.11610017	5.56
1165	19	Friday	1	81	0	58	79	39.98365269	5.03
1001	20	Saturday	1	80	0	57	89	26.26341894	3.64
958	21	Sunday	1	79	0	54	107	28.05327492	3.82
808	22	Monday	1	78	0	50	103	29.66583821	4.51
729	23	Tuesday	1	77	0	61	99	32.91747304	5.5
601	24	Wednesday	1	76	0	71	104	37.35509227	6.77
1246	25	Thurday	1	75	0	83	105	22.04404767	3.41
1306	26	Friday	1	74	0	77	106	42.27357418	2.73
761	27	Saturday	1	73	0	86	104	20.55518298	3.83
824	28	Sunday	1	72	0	83	113	30.5381787	4.95
202	29	Monday	1	71	0	67	113	29.333547	4.34
599	30	Tuesday	1	70	0	69	120	33.69523475	1.78
1035	31	Wednesday	1	69	0	61	106	39.98107024	4.47
498	32	Thurday	1	68	0	51	109	23.07996137	4.51
1325	33	Friday	1	67	0	42	96	41.70581688	4.77
520	34	Saturday	1	66	0	44	90	43.75356976	3.79
1000	35	Sunday	1	65	0	56	100	46.21023	2.69
9540	36	Monday	1	64	1	48	86	37.20338709	3.05
927	37	Tuesday	1	63	0	53	92	34.06282229	5.16
681	38	Wednesday	1	62	0	55	82	26.96854348	3.54
681	39	Thurday	1	61	0	70	88	33.75297169	4.51
1556	40	Friday	1	60	0	57	89	59.1696585	4.39
704	41	Saturday	1	59	0	55	94	37.0790221	4.29
738	42	Sunday	1	58	0	69	97	49.39746346	3.89
486	43	Monday	1	57	0	71	102	35.01935328	3.96
1017	44	Tuesday	1	56	0	69	100	44.35010214	3.92
484	45	Wednesday	1	55	0	64	101	33.25947407	4.37
336	46	Thurday	1	54	0	74	99	34.1155628	4.69
1381	47	Friday	1	53	0	82	106	43.8854258	2.87
820	48	Saturday	1	52	0	91	112	38.11400472	3.02
1027	49	Sunday	1	51	0	85	98	37.70633507	3.89
900	50	Monday	1	50	0	84	108	26.05346041	4.82
877	51	Tuesday	1	49	0	78	106	28.04469328	3.86
707	52	Wednesday	1	48	0	76	104	55.54915238	2.96
976	53	Thurday	1	47	0	71	88	35.44848331	4.01
1219	54	Friday	1	46	0	85	82	40.83600805	5.26
1110	55	Saturday	1	45	0	91	82	37.4067378	6.06
914	56	Sunday	1	44	0	97	86	39.58465732	5.63
611	57	Monday	1	43	0	113	82	48.0711265	5.93
935	58	Tuesday	1	42	0	115	70	47.92829043	2.16
826	59	Wednesday	1	41	0	111	56	34.00250328	4.27
464	60	Thurday	1	40	0	91	45	42.42437446	1.76
1164	61	Friday	1	39	0	83	38	31.24065312	4.98
643	62	Saturday	1	38	0	91	48	43.72431496	4.84
649	63	Sunday	1	37	0	103	42	37.15268733	4.48
369	64	Monday	1	36	0	81	56	32.33360854	4.99
363	65	Tuesday	1	35	0	76	35	53.21160109	4.69
445	66	Wednesday	1	34	0	67	18	42.32994327	2.69
0	67	Thurday	1	33	1	52	33	39.46097964	6.45
783	68	Friday	1	32	0	38	40	45.46291522	1.98
88	69	Saturday	1	31	0	18	19	44.80680354	2.78
118	70	Sunday	1	30	0	9	12	49.78256722	3.83
23	71	Monday	1	29	0	12	9	38.41105885	4.73
65	72	Tuesday	1	28	0	5	5	47.76044898	2.91
42	73	Wednesday	1	27	0	8	4	58.27836142	3.74
37	74	Thurday	1	26	0	0	6	51.1616511	5.55
649	75	Friday	1	25	0	21	1	40.12896664	3.24
164	76	Saturday	1	24	0	0	40	37.90716906	4.33
225	77	Sunday	1	23	0	0	43	46.47883193	3.48
