"genotype" "age" "exposure" "counts"
1 32.0024157685473 0.0857306671620944 12
1 31.9467134266995 3.34821235155687 0
2 9.93766866407283 1.1430335544863 8
2 26.4237815545576 27.5063052106847 0
1 41.1990819552488 2.97643962267372 2
1 6.61367610438777 0.629725654163541 0
2 40.4817506935306 3.01503218244761 10
2 38.8732073599416 0.882776689250022 5
2 5.39995816170955 4.65324846875337 0
2 17.2207871186771 1.82255536317825 6
2 8.58869355126924 2.48256989521906 2
2 56.2039469540687 2.02521992171637 102
2 12.6099267783323 3.04853393696249 1
1 17.4258985209068 1.64853137917817 1
2 17.2577815155539 0.902828285470605 0
1 19.8016145055679 1.28578354646991 9
2 45.4337350242712 1.25037399595271 7
1 35.3908767346546 0.663236377295107 39
2 24.8521684036663 0.0857996862648127 6
1 22.3987037114823 7.59545222877438 2
2 10.7869695709519 6.11204243709749 1
2 9.45002228117561 3.33255085395649 0
2 37.7701323132068 5.54264215265817 17
2 54.9925887106523 1.08717021066695 242
2 24.3908902392635 4.46130153318009 4
1 86.0220059650492 7.68914890433562 575
2 51.5567794126759 3.26742391800508 17
1 15.4830795845169 3.62541871123253 4
2 57.0983765519121 2.62035295832902 13
2 8.39222851046782 2.37002818845212 0
2 9.03612938202972 9.36299352864635 2
2 42.6691091115044 1.44441901706159 8
1 32.1377086704697 9.59289181935501 4
1 26.4653414488067 0.764058933127671 2
1 12.1854275234957 1.9657242577523 2
1 66.4709450452822 9.20747387180936 80
2 22.0322804318587 0.0373067467218709 9
2 78.1155689396133 0.0994162886695118 83
2 15.2273324687599 7.3507610983671 0
1 8.2561443041593 3.09180471758807 2
2 19.687991025795 1.43698756117374 8
1 2.58203828536991 0.389590582956078 2
1 17.0767445489667 8.29368004533363 1
1 32.8797481980899 11.3926654023336 0
1 26.0210057773896 3.19925873307511 1
1 11.3663790532155 0.811794188339263 3
2 67.5886134689236 6.19103597456074 68
2 42.5734750275874 14.9431318781319 2
2 84.9869607130883 3.03529344499111 53
1 24.1527524480203 10.935701233636 4
2 32.1268014713998 0.00651977346550299 10
1 26.0216384083902 12.9820768994497 3
1 4.59895716326161 0.417443383485079 9
1 37.3615634581221 5.56029459906227 27
1 72.8693752963849 0.387414041469046 5
