Date,Week,Beer_Type,Batches,Batch_Start,Volume,CO2,DO,DO_Var,Color,Color_Target,Color_Var,pH ,pH_Target,pH_Var,Bitterness_Units,BU_Target,BU_Var,ABV,ABV_Target,ABV_Var,Real_Extract,Real_Degrees_Fermentation,Final_Gravity,FG_Target,FG_Var
1/5/16,2,Ale,1575-1576,1575,250,2.41,80,1.666666667,4.7,4.8,0.020833333,4.1,4.1,0,55.8,44,0.268181818,4.86,4.7,0.034042553,3.63,68.47,1.00725,1.007,0.000248262
1/26/16,5,Ale,1673-1674,1673,178,2.43,86,1.866666667,4.69,4.8,0.022916667,4.24,4.1,0.034146341,53,44,0.204545455,5.03,4.7,0.070212766,3.44,70.38,1.00624,1.007,0.000754717
2/2/16,6,Ale,1697-1698,1697,70,2.44,89,1.966666667,4.9,4.8,0.020833333,4.29,4.1,0.046341463,60.75,44,0.380681818,4.77,4.7,0.014893617,3.64,67.98,1.00742,1.007,0.00041708
2/4/16,6,Ale,1697-1698,1697,102,2.43,89,1.966666667,5.03,4.8,0.047916667,4.32,4.1,0.053658537,57.5,44,0.306818182,4.74,4.7,0.008510638,3.65,67.81,1.00748,1.007,0.000476663
2/16/16,8,Ale,1750-1751,1750,173,2.4,82,1.733333333,4.39,4.8,0.085416667,4.41,4.1,0.075609756,59.25,44,0.346590909,4.64,4.7,0.012765957,3.68,67.16,1.00773,1.007,0.000724926
2/25/16,9,Ale,1782-1784,1782,254,2.4,94,2.133333333,4.83,4.8,0.00625,4.39,4.1,0.070731707,57.05,44,0.296590909,4.75,4.7,0.010638298,3.54,68.55,1.00702,1.007,1.99E-05
3/2/16,10,Ale,1804-1807,1804,347,2.42,93,2.1, ,4.8,NA,4.21,4.1,0.026829268,57.85,44,0.314772727,4.74,4.7,0.008510638,3.6,68.11,1.00728,1.007,0.000278054
3/31/16,14,Ale,1900-1901,1900,167,2.43,95,2.166666667,5.21,4.8,0.085416667,4.16,4.1,0.014634146,56.8,44,0.290909091,5.18,4.7,0.10212766,3.54,70.37,1.00646,1.007,0.000536246
4/6/16,15,Ale,1924-1925,1924,175,2.43,98,2.266666667,4.84,4.8,0.008333333,4.19,4.1,0.02195122,53.7,44,0.220454545,4.76,4.7,0.012765957,3.65,67.87,1.00746,1.007,0.000456802
5/4/16,19,Ale,2031-2032,2031,163,2.42,96,2.2,5.04,4.8,0.05,4.27,4.1,0.041463415,61.95,44,0.407954545,4.9,4.7,0.042553191,3.5,69.39,1.00669,1.007,0.000307845
5/11/16,20,Ale,2057-2059,2057,250,2.42,91,2.033333333,4.72,4.8,0.016666667,4.3,4.1,0.048780488,64.5,44,0.465909091,4.69,4.7,0.00212766,4.02,65.35,1.00903,1.007,0.002015889
5/25/16,22,Ale,2105-2106,2105,164,2.41,95,2.166666667,4.71,4.8,0.01875,4.3,4.1,0.048780488,58.35,44,0.326136364,5.1,4.7,0.085106383,3.6,69.7,1.00679,1.007,0.00020854
6/8/16,24,Ale,2138-2139,2138,166,2.45,95,2.166666667,4.52,4.8,0.058333333,4.22,4.1,0.029268293,54.3,44,0.234090909,5.04,4.7,0.072340426,3.31,71.2,1.00574,1.007,0.001251241
6/21/16,26,Ale,2179-2180,2179,168,2.42,92,2.066666667,4.88,4.8,0.016666667,4.28,4.1,0.043902439,62,44,0.409090909,5,4.7,0.063829787,3.47,70.05,1.00642,1.007,0.000575968
7/6/16,28,Ale,2254-2257,2254,328,2.4,94,2.133333333,4.31,4.8,0.102083333,4.1,4.1,0,54.35,44,0.235227273,4.88,4.7,0.038297872,3.55,69.04,1.00689,1.007,0.000109235
7/19/16,30,Ale,2307-2310,2307,316,2.44,95,2.166666667,4.86,4.8,0.0125,4.25,4.1,0.036585366,64.2,44,0.459090909,5.09,4.7,0.082978723,3.59,69.7,1.00677,1.007,0.000228401
8/2/16,32,Ale,2357-2360,2357,333,2.42,96,2.2,4.4,4.8,0.083333333,4.23,4.1,0.031707317,52.2,44,0.186363636,4.98,4.7,0.059574468,3.39,70.43,1.00614,1.007,0.000854022
8/16/16,34,Ale,2407-2412,2407,527,2.4,86,1.866666667,4.36,4.8,0.091666667,4.29,4.1,0.046341463,59.15,44,0.344318182,4.65,4.7,0.010638298,3.49,68.4,1.00695,1.007,4.97E-05
8/31/16,36,Ale,NA,NA,168,2.4,90,2,4.36,4.8,0.091666667,4.25,4.1,0.036585366,55.2,44,0.254545455,4.88,4.7,0.038297872,3.61,68.69,1.00712,1.007,0.000119166
9/13/16,38,Ale,2528-2530,2528,272,2.4,NA,1,4.08,4.8,0.15,4.42,4.1,0.07804878,55.35,44,0.257954545,4.63,4.7,0.014893617,3.83,66.22,1.00833,1.007,0.001320755
9/27/16,40,Ale,2605-2607,2605,231,2.43,37,0.233333333,4.84,4.8,0.008333333,4.18,4.1,0.019512195,61.25,44,0.392045455,4.78,4.7,0.017021277,3.59,68.33,1.0072,1.007,0.00019861
1/13/16,3,Helles,1634-1535,1634,183,2.63,79,1.633333333,2.73,2.99,0.086956522,4.35,4.45,0.02247191,28.75,28,0.026785714,5.44,5.3,0.026415094,3.59,71.13,1.00629,1.012,0.005642292
1/26/16,5,Helles,1573-1574,1573,182,2.66,85,1.833333333,2.65,2.99,0.113712375,4.43,4.45,0.004494382,26.8,28,0.042857143,5.61,5.3,0.058490566,3.45,72.53,1.00553,1.012,0.006393281
2/9/16,7,Helles,1603-1604,1603,187,2.64,94,2.133333333,2.71,2.99,0.093645485,4.23,4.45,0.049438202,26.05,28,0.069642857,5.48,5.3,0.033962264,3.46,72.01,1.00574,1.012,0.006185771
