"Station" "Sand" "Silt" "Clay" "BD" "PD" "MC" "OC" "Textural.class" "BIR"
"A1" 68.63 20.22 11.15 1.716 2.318 24.58 0.3318 "Sandy loam" 3
"A2" 82.27 11.33 6.4 1.616 2 21.96 0.3439 "Loamy sand" 6.3
"A4" 82.28 7.36 10.36 1.657 2.702 14.56 0.3432 "Loamy sand" 2.4
"B1" 62.93 18 19.07 1.59 2.564 28.4 0.3599 "Sandy loam" 0.3
"B2" 79.88 14.03 6.09 1.412 2.564 22.34 0.3606 "Sandy loam" 13.8
"B3" 70.4 12.56 17.04 1.648 2.702 22.65 0.3606 "Sandy loam" 3
"B4" 79.21 9.64 11.15 1.648 2.702 13.96 0.3574 "Sandy loam" 10.32
"C1" 72 17.67 10.33 1.716 2.564 27.33 0.3623 "Sandy loam" 3.3
"C2" 69.93 18.33 11.74 1.613 2.857 25.7 0.3512 "Sandy loam" 3
"C3" 69.35 20.25 10.4 1.508 2.778 22.77 0.3498 "Sandy loam" 2.7
"C4" 80.6 10.67 8.73 1.432 2.702 16.67 0.3555 "Loamy sand" 10.8
"D1" 84 10.14 5.86 1.677 3.03 28.46 0.3525 "Loamy sand" 16.8
"D2" 71.19 19.96 8.85 1.579 2.702 27.48 0.3587 "Sandy loam" 7.2
"D3" 67.19 19.14 13.67 1.465 2.78 24.99 0.361 "Sandy loam" 4.8
"D4" 74.5 13.6 11.9 1.445 2.702 18.96 0.358 "Sandy loam" 8.67
"E1" 70.21 17.17 12.62 1.584 2.857 26.03 0.3257 "Sandy loam" 3
"E2" 71.16 15.89 12.95 1.479 2.631 27.36 0.3619 "Sandy loam" 7.5
"E4" 82.23 12.44 5.33 1.503 2.63 20.28 0.3523 "Loamy sand" 15.3
"P1" 77 9.66 13.34 1.56 2.32 28.22 0.301 "Sandy loam" 4.8
"P10" 71.16 16.22 12.62 1.677 2.5 27.83 0.3433 "Sandy loam" 3.3
"P2" 74 11.25 14.75 1.569 2.2 28.93 0.2936 "Sandy loam" 4.41
"P4" 72.4 9.6 18 1.674 2.318 28.17 0.2802 "Sandy loam" 4.2
"P5" 80.1 11.26 8.64 1.489 2.372 24.67 0.333 "Loamy sand" 11.7
"P8" 76.88 13.97 9.15 1.62 2.217 26.91 0.3184 "Sandy loam" 8.1
"P9" 68.76 16.21 15.03 1.46 2.428 21.99 0.3328 "Sandy loam" 2.4
