"source" "nchar"
"md" 3665
"ss" 3499
"md" 3200
"ss" 3056
"ss" 2485
"md" 6130
"pp" 1922
"md" 2762
"ss" 2631
"md" 2619
"md" 3945
"ss" 3442
"pp" 3342
"pp" 1966
"ss" 2146
"pp" 2022
"md" 3247
"pp" 3707
"pp" 3034
"md" 2769
"pp" 2203
"ss" 2102
"pp" 2957
"ss" 3343
"ss" 2351
"pp" 2718
"ss" 4428
"pp" 2501
"md" 3922
"md" 3026
"ss" 3994
"ss" 2827
"ss" 3522
"md" 2626
"ss" 3888
"pp" 2521
"md" 3833
"ss" 3781
"pp" 3187
"md" 3812
"md" 3818
"ss" 2690
"md" 5831
"ss" 3612
"ss" 2806
"md" 3111
"pp" 2793
"pp" 1845
"ss" 4969
"ss" 3578
"pp" 3338
"md" 3274
"md" 3308
"pp" 2567
"md" 2792
"ss" 3514
"pp" 2538
"ss" 2955
"pp" 2381
"ss" 2997
"pp" 2447
"ss" 3440
"ss" 2667
"md" 4989
"md" 5059
"ss" 3049
"pp" 2708
"pp" 2925
"ss" 3307
"pp" 2954
"pp" 3243
"md" 2749
"pp" 1937
"ss" 3360
"pp" 3046
"md" 3474
"md" 4134
"md" 3478
"pp" 3292
"ss" 3599
"md" 2837
"md" 3094
"ss" 3969
"md" 2861
"ss" 2147
"pp" 2885
"md" 3217
"md" 4174
"md" 4549
"md" 3692
"pp" 2372
"pp" 2179
"pp" 2663
"ss" 3711
"ss" 4394
"pp" 2965
"pp" 2348
"pp" 2873
"ss" 5390
"md" 2413
"md" 5342
"pp" 1689
"ss" 4160
"md" 2993
"pp" 1934
"ss" 2911
"md" 4503
"md" 2643
"md" 2330
"ss" 3383
"ss" 3774
"md" 5002
"md" 2880
"ss" 3200
"pp" 2516
"ss" 3668
"ss" 2922
"md" 3375
"pp" 3151
"md" 4098
"pp" 3031
"ss" 3798
"ss" 2543
"md" 3833
"ss" 2709
"ss" 1872
"ss" 2687
"md" 4604
"pp" 2411
"ss" 2620
"ss" 2040
"md" 4123
"md" 3687
"pp" 2258
"md" 3931
"md" 3729
"pp" 2489
"ss" 1928
"ss" 2746
"md" 4418
"md" 2508
"pp" 1878
"ss" 3442
"ss" 3046
"md" 3295
"md" 4047
"ss" 5113
"md" 2938
"md" 3962
"ss" 4102
"md" 3881
"ss" 2744
"pp" 2423
"pp" 2472
"pp" 2165
"ss" 2930
"ss" 3371
"pp" 2752
"md" 4554
"pp" 2925
"pp" 2500
"pp" 2466
"pp" 2145
"ss" 3108
"ss" 3933
"ss" 2975
"ss" 2119
"ss" 4284
"ss" 2737
"md" 4047
"ss" 2635
"pp" 2708
"ss" 3053
"md" 3285
"md" 3523
"ss" 3622
"ss" 3203
"ss" 2868
"pp" 1983
"pp" 2399
"ss" 4052
"md" 4621
"pp" 2676
"ss" 3473
"pp" 2928
"ss" 2153
"pp" 3905
"pp" 3110
"pp" 2652
"pp" 1912
"md" 4598
"md" 5277
"pp" 2558
"pp" 2674
"pp" 2757
"ss" 2726
"ss" 3303
"md" 3141
"md" 4045
"pp" 2985
"ss" 2547
"md" 2797
"md" 5519
"md" 3711
"ss" 2780
"md" 5036
