"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"1" "low" "no water" 1 1 1.09660616694907 1
"2" "medium" "no water" 1 1 1.78265894589665 2
"3" "high" "no water" 1 1 3.45663354829466 3
"4" "low" "water" 1 1 4.89669404603177 4
"5" "medium" "water" 1 1 5.49830255341677 5
"6" "high" "water" 1 1 9.55374524372404 9
"7" "low" "no water" 2 1 0.860956858574733 1
"8" "medium" "no water" 2 1 2.50960274381254 2
"9" "high" "no water" 2 1 3.02271858937857 3
"10" "low" "water" 2 1 4.7878897963128 4
"11" "medium" "water" 2 1 5.10914422543919 5
"12" "high" "water" 2 1 8.4767323289772 9
"13" "low" "no water" 3 1 0.855655675925384 1
"14" "medium" "no water" 3 1 2.24077514263066 2
"15" "high" "no water" 3 1 2.39181178648905 3
"16" "low" "water" 3 1 4.15406844814486 4
"17" "medium" "water" 3 1 4.73991084251298 5
"18" "high" "water" 3 1 8.77884309963129 9
"19" "low" "no water" 4 1 0.700343594012028 1
"20" "medium" "no water" 4 1 2.64728891440033 2
"21" "high" "no water" 4 1 3.41769562369531 3
"22" "low" "water" 4 1 3.71699245014917 4
"23" "medium" "water" 4 1 5.39420967501736 5
"24" "high" "water" 4 1 8.41703533724396 9
"25" "low" "no water" 1 2 0.734589996870471 1
"26" "medium" "no water" 1 2 1.99947063162873 2
"27" "high" "no water" 1 2 2.74371881742995 3
"28" "low" "water" 1 2 4.62143375625828 4
"29" "medium" "water" 1 2 4.6697085742988 5
"30" "high" "water" 1 2 9.08331210740228 9
"31" "low" "no water" 2 2 0.723397379928947 1
"32" "medium" "no water" 2 2 2.04909070739508 2
"33" "high" "no water" 2 2 2.42666707003064 3
"34" "low" "water" 2 2 3.37503637173594 4
"35" "medium" "water" 2 2 4.89894415871755 5
"36" "high" "water" 2 2 9.08875016242121 9
"37" "low" "no water" 3 2 1.65382366041735 1
"38" "medium" "no water" 3 2 1.32853229772573 2
"39" "high" "no water" 3 2 3.43054151979038 3
"40" "low" "water" 3 2 4.11643750156041 4
"41" "medium" "water" 3 2 5.52112854675052 5
"42" "high" "water" 3 2 9.66454912707996 9
"43" "low" "no water" 4 2 1.47297897672538 1
"44" "medium" "no water" 4 2 1.50718724792077 2
"45" "high" "no water" 4 2 2.39206658342838 3
"46" "low" "water" 4 2 3.18539703211514 4
"47" "medium" "water" 4 2 5.04615811925636 5
"48" "high" "water" 4 2 8.9889412884545 9
"49" "low" "no water" 1 3 1.25673895618869 1
"50" "medium" "no water" 1 3 1.88522318099005 2
"51" "high" "no water" 1 3 3.63075795170824 3
"52" "low" "water" 1 3 3.8807821804512 4
"53" "medium" "water" 1 3 4.00109369605195 5
"54" "high" "water" 1 3 9.35053797903664 9
"55" "low" "no water" 2 3 1.61040950713945 1
"56" "medium" "no water" 2 3 1.57453803321618 2
"57" "high" "no water" 2 3 2.71819612172918 3
"58" "low" "water" 2 3 4.13861718368465 4
"59" "medium" "water" 2 3 5.48535944806975 5
"60" "high" "water" 2 3 9.4763154164727 9
"61" "low" "no water" 3 3 0.801523328394432 1
"62" "medium" "no water" 3 3 1.99890226419602 2
"63" "high" "no water" 3 3 2.81653769653506 3
"64" "low" "water" 3 3 4.01994759390154 4
"65" "medium" "water" 3 3 5.91538193598535 5
"66" "high" "water" 3 3 8.4473474931877 9
