"fertilizer" "water" "plot" "plant" "weight" "mean_weight"
"1" "low" "no water" 1 1 5.28981850084722 5
"2" "medium" "no water" 1 1 4.84797683768996 5.5
"3" "high" "no water" 1 1 7.36990064488398 6
"4" "low" "water" 1 1 8.6900821380953 6
"5" "medium" "water" 1 1 7.99490766025032 6.5
"6" "high" "water" 1 1 7.66123573117213 6
"7" "low" "no water" 2 1 4.5828705757242 5
"8" "medium" "no water" 2 1 7.02880823143763 5.5
"9" "high" "no water" 2 1 6.06815576813571 6
"10" "low" "water" 2 1 8.36366938893839 6
"11" "medium" "water" 2 1 6.82743267631757 6.5
"12" "high" "water" 2 1 4.43019698693161 6
"13" "low" "no water" 3 1 4.56696702777615 5
"14" "medium" "no water" 3 1 6.22232542789199 5.5
"15" "high" "no water" 3 1 4.17543535946717 6
"16" "low" "water" 3 1 6.46220534443458 6
"17" "medium" "water" 3 1 5.71973252753893 6.5
"18" "high" "water" 3 1 5.33652929889386 6
"19" "low" "no water" 4 1 4.10103078203608 5
"20" "medium" "no water" 4 1 7.44186674320099 5.5
"21" "high" "no water" 4 1 7.25308687108592 6
"22" "low" "water" 4 1 5.1509773504475 6
"23" "medium" "water" 4 1 7.68262902505207 6.5
"24" "high" "water" 4 1 4.25110601173187 6
"25" "low" "no water" 1 2 4.20376999061141 5
"26" "medium" "no water" 1 2 5.49841189488618 5.5
"27" "high" "no water" 1 2 5.23115645228984 6
"28" "low" "water" 1 2 7.86430126877485 6
"29" "medium" "water" 1 2 5.50912572289639 6.5
"30" "high" "water" 1 2 6.24993632220685 6
"31" "low" "no water" 2 2 4.17019213978684 5
"32" "medium" "no water" 2 2 5.64727212218524 5.5
"33" "high" "no water" 2 2 4.28000121009191 6
"34" "low" "water" 2 2 4.12510911520782 6
"35" "medium" "water" 2 2 6.19683247615266 6.5
"36" "high" "water" 2 2 6.26625048726364 6
"37" "low" "no water" 3 2 6.96147098125206 5
"38" "medium" "no water" 3 2 3.4855968931772 5.5
"39" "high" "no water" 3 2 7.29162455937115 6
"40" "low" "water" 3 2 6.34931250468122 6
"41" "medium" "water" 3 2 8.06338564025156 6.5
"42" "high" "water" 3 2 7.99364738123988 6
"43" "low" "no water" 4 2 6.41893693017614 5
"44" "medium" "no water" 4 2 4.02156174376232 5.5
"45" "high" "no water" 4 2 4.17619975028514 6
"46" "low" "water" 4 2 3.55619109634541 6
"47" "medium" "water" 4 2 6.63847435776907 6.5
"48" "high" "water" 4 2 5.96682386536351 6
"49" "low" "no water" 1 3 5.77021686856606 5
