"geno" "treat" "y"
"e" 2 203.280004543455
"d" 4 206.81711480556
"c" 2 205.740440681318
"b" 3 202.070428230972
"a" 4 200.318950731827
"e" 1 209.355213240877
"b" 4 202.777041329597
"e" 3 208.11559560652
"d" 3 209.788610107
"e" 1 209.872201272258
"a" 3 207.16845588398
"d" 2 207.040642355049
"d" 2 205.385313362246
"b" 3 199.126400105192
"b" 3 205.843726714542
"b" 1 200.342465969166
"b" 1 202.323408244035
"e" 4 202.855544543995
"b" 3 205.381169832657
"e" 1 212.760531628025
"e" 2 203.4418453114
"a" 1 207.090088465179
"d" 1 214.446601496026
"a" 3 205.266456326674
"b" 3 204.233579796891
"d" 3 215.045737240753
"d" 2 210.862321021591
"d" 2 208.233691048496
"a" 2 202.498416187889
"b" 3 202.126457844389
"b" 2 195.72496520469
"d" 1 215.511516158443
"c" 1 210.905457304384
"e" 2 201.395957334626
"b" 4 198.314933799606
"e" 4 206.739528947592
"e" 3 206.289340307531
"a" 1 205.97743754651
"b" 4 197.638018772375
"e" 3 207.99529970611
"c" 3 206.577921693516
"e" 2 205.098150241731
"b" 2 195.905418238192
"c" 4 207.20673297868
"c" 4 203.197584237182
"b" 4 198.245513869812
"a" 4 200.932239567493
"b" 4 200.83063576095
"a" 1 206.003475493357
"e" 4 202.482044976097
"c" 3 208.041227935424
"e" 4 207.375087856443
"c" 4 207.382848607616
"d" 2 205.943186093254
"e" 4 206.162210074338
"c" 1 210.850114487726
"a" 4 199.154046610805
"b" 1 203.841667308601
"e" 1 206.771655885813
"b" 3 204.884999587514
"c" 3 214.142608592218
"e" 1 209.136768941365
"e" 3 210.889836030893
"a" 4 199.073579410223
"e" 4 204.366792776633
"e" 1 207.710137122511
"e" 3 210.704626246492
"a" 3 204.565016817576
"a" 4 204.52289517151
"e" 2 201.81889523107
"a" 2 198.246334702585
"b" 1 204.775822816802
"a" 3 204.172267315408
"a" 4 202.056336063074
"c" 2 204.694036965833
"c" 3 209.456451891316
"c" 2 203.304140219794
"b" 4 199.134804243555
"d" 1 214.510622235801
"c" 1 209.854506207631
"c" 4 204.475658188311
"a" 4 202.56649030045
"e" 4 201.789837857726
"c" 4 208.144934233341
"c" 1 210.273297012439
"a" 1 204.359935925693
"a" 1 204.423083482744
"d" 2 208.497302715634
"d" 2 205.793144851824
"d" 1 215.362907738743
"e" 4 209.965950807821
"b" 1 202.111341507328
"a" 2 202.193706151126
"c" 3 209.396409219565
"b" 1 200.148633443172
"c" 4 202.178238086416
"d" 1 214.414095536858
"d" 3 215.640748818294
"e" 1 209.541793488181
"b" 3 204.662937494167
"e" 1 213.610920915322
"d" 3 213.423443805983
"b" 1 204.439394918843
"e" 3 212.152726036797
"c" 3 203.597280125534
"b" 2 197.569995634651
"b" 1 203.254178645333
"d" 3 215.810200475387
"c" 2 203.700580953986
"b" 2 196.471856584496
"e" 4 199.818574891454
"a" 1 208.001700494923
"a" 2 199.464920156369
"b" 4 194.976370117938
"a" 3 205.305699702421
"d" 4 210.029114723439
"a" 1 208.306961521846
"a" 4 201.036042420768
"d" 1 212.028620270601
"e" 2 202.951501965996
"a" 2 202.103890441288
"b" 3 207.564604013084
"d" 3 213.380666469715
"c" 4 200.436786912634
"b" 1 202.537518918403
"c" 4 203.557298645449
"c" 3 211.778874520917
"a" 2 199.552185751105
"e" 3 210.967890228135
"b" 4 198.524430677389
"c" 3 209.709058401041
"a" 3 208.624727282999
"d" 4 211.967729021631
"d" 2 207.496070782456
"e" 3 212.960414631666
"e" 1 210.760662100283
"a" 1 207.188395815783
"d" 4 211.606633478945
"a" 2 200.026152090015
"d" 2 205.097000462953
"b" 2 194.836327085905
"e" 2 200.174705082407
"c" 1 209.540896724706
"c" 3 209.632017759513
"d" 3 214.012906314794
"b" 3 204.627494863576
"e" 3 210.819521087484
"e" 2 206.656949487146
"d" 3 216.089143296642
"e" 1 211.408525881633
"d" 2 206.59022567614
"c" 1 209.350863054121
"a" 3 204.424324112259
"c" 4 205.566111365879
"b" 3 202.865250973566
"d" 3 214.894100192143
"b" 4 198.878677458173
"a" 4 198.856206488998
"d" 3 213.524291006802
"b" 1 202.668185584647
"c" 4 205.611215119021
"d" 2 206.904405375126
"e" 1 212.243953535061
"e" 1 212.082438470868
"e" 2 200.207415103956
"e" 2 206.699755040564
"d" 4 210.53607967177
"d" 2 204.958961910509
"c" 2 201.18349940932
"a" 4 203.486425220831
"b" 1 202.17629909782
"b" 2 195.391890371225
"b" 3 203.706736104916
"b" 3 203.3362992109
"e" 3 209.383226034896
"a" 4 204.65822249041
"e" 4 206.777267745499
"e" 3 212.561771980576
"d" 3 214.823392131188
"e" 1 210.182401243564
"d" 1 213.397303833609
"d" 2 208.174465451256
"d" 3 211.626861581228
"c" 1 211.345483921819
"e" 1 212.050495969069
"e" 4 203.709432856117
"a" 3 209.589460825868
"d" 1 219.911640914479
"c" 3 212.420254796303
"d" 4 207.84681196979
"a" 1 211.453068294071
"b" 1 203.114076439751
"b" 2 198.592410693992
"e" 2 201.07038110548
"d" 1 213.600100958425
"a" 1 204.448698187818
"e" 2 203.729111783014
"b" 3 202.465875043724
"a" 3 204.177193233326
"d" 2 211.564737640484
