,pH,DH,d18O,Ag,Al,As,B,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,Sb,Se,Si,Sr,Tl,V,Zn,Li,Ti,Y,La,Ce,W,Au,Hg,Th,U,SO4
CJ001,4.9,-100.24,-9.15,0.0208,0.0417,5.753,81.86,0.1617,0.0023,47.6,0.0841,0.018,0.0373,0.0341,0.1107,91.15,1.759,0.2336,0.0436,1269,0.0261,0.2836,0.1367,0.7559,0.3839,118.4,0.1934,0.245,0.0175,0.11,10884,158.09,0.03846,0.02008,0.01962,14.887,35.228,0.01,6.7562,0.00001,79.1775
CJ003,6,-109.86,-13.91,0.0094,0.1082,0.4741,10.88,0.0487,0.0014,42,0.0153,0.0105,0.0248,0.0182,0.4971,35.89,7.384,0.3086,0.0485,267.8,0.0149,0.23,0.0925,0.1296,0.3161,113.9,0.1554,0.2116,0.0129,0.0473,1085.1,140.69,0.16998,0.00001,0.01375,1.057,9.0938,0.01,0.78843,0.0031,98.4415
CJ005,2.5,-87.42,-6.27,0.0172,15.8,0.5852,9.833,0.0642,0.0031,75.29,0.0428,0.0593,0.0451,0.0689,11.79,14.91,32.6,2.138,0.0428,120.3,0.0317,0.4897,0.1957,0.216,0.5774,150.9,0.25,0.7633,0.0199,2.645,151.98,247.84,46.802,2.8968,11.585,0.30041,3.2397,0.01,1.3493,0.2461,625.2381
CJ007,2.2,-97.33,-9.57,0.018,39.72,0.8802,1.772,0.0349,0.0021,17.06,0.0325,0.0249,0.0403,0.0388,32.7,7.762,8.703,0.7288,0.058,28.51,0.0286,0.6894,0.2676,0.3132,0.3849,150,0.0423,0.3755,0.0807,0.3477,35.484,77.801,23.948,1.4801,4.4948,0.17871,0.0005,0.01,1.7328,0.15844,730.8397
CJ009,2.5,-100.33,-9.77,0.0208,18.73,0.9576,10.4,0.0167,0.0019,50.35,0.0417,0.0194,0.0406,0.0285,39.75,9.647,18.43,1.197,0.0471,152.7,0.0273,0.5774,0.2043,0.1836,0.4986,119,0.0345,0.5534,0.102,0.2527,639.75,170.84,29.984,0.60862,2.6367,0.1377,3.838,0.01,0.50727,0.00956,641.3455
CJ011,4.9,-97.22,-10.58,0.0229,0.1151,6.659,76.73,0.0293,0.0012,54.51,0.1104,0.0192,0.0371,0.0445,1.276,125.3,2.451,0.4231,0.0357,1037,0.023,0.2284,0.1324,0.6479,0.3916,119.7,0.1809,0.3835,0.0195,0.0286,14006,192.59,0.1006,0.01803,0.01298,9.6161,24.584,0.01,0.00001,0.00001,97.0749
CJ015,7.1,-113.57,-15.85,0.0144,0.0085,0.3096,0.1972,0.0169,0.001,4.03,0.0096,0.0125,0.0258,0.0088,0.1148,3.327,1.514,0.0005,0.0157,7.246,0.0227,0.2138,0.079,0.0432,0.147,20.62,0.0103,0.201,0.0151,0.0628,10.577,13.736,0.03287,0.00001,0.00876,0.19416,0.0005,0.01,0.00001,0.00001,1.9604
CJ017,2.5,-87.55,-6.7,0.0194,15.7,0.8318,17.54,0.0448,0.0012,18.57,0.0245,0.0175,0.0355,0.021,11.21,11.96,2.653,0.1855,0.0347,243.1,0.0223,0.5173,0.1545,0.216,0.275,70.65,0.0655,0.3449,0.0505,0.0465,135.64,101.62,4.5795,0.66629,2.09,0.15939,4.6601,0.01,0.00001,0.05534,744.52
CJ019,2.5,-74.66,-2.32,0.0172,15.66,0.5038,0.2425,0.0194,0.0011,2.852,0.0084,0.0155,0.034,0.0088,5.717,1.885,1.273,0.0563,0.0325,3.64,0.0242,0.3566,0.1601,0.1296,0.2091,39.94,0.0092,0.3889,0.0483,0.0569,0.69653,30.82,1.9876,0.19627,0.59441,0.01194,0.0005,3.5332,2.291,0.01127,768.5866
CJ021,2.4,-94.16,-6.84,0.0222,115.3,1.815,0.9623,0.0296,0.003,38.62,0.052,0.0387,0.2767,0.0369,72.72,7.392,28.37,1.935,0.1072,23.48,0.1348,1.81,0.5196,0.7559,0.7728,93.87,0.0924,0.8686,0.4656,0.5608,28.859,210.86,46.424,3.2814,11.422,0.0292,7.5911,0.01,2.363,0.94712,2373.6116
CJ023,5.9,-112.63,-15.48,0.0284,0.0005,0.0156,1.751,0.0729,0.0004,21.55,0.0321,0.0324,0.002,0.0282,0.0156,15.63,2.766,0.3823,0.0005,43.18,0.0005,0.1885,0.0251,0.002,0.1166,100.3,0.1222,0.00001,0.002,0.0395,23.647,75.065,0.11786,0.0054,0.02197,0.02304,219.99,0.01,0.00001,0.00001,21.0896
CJ025,5.8,-115.24,-15.76,0.0005,0.2632,0.0209,0.9408,0.2204,0.0004,32.96,0.0115,0.0022,0.002,0.0264,0.4092,14.5,7.021,0.6171,0.0005,40.61,0.0005,0.1984,0.0287,0.002,0.1495,116.3,0.1757,0.00001,0.002,0.0272,14.371,111.43,0.15562,0.01008,0.05297,0.00098,26.599,0.01,0.00001,0.00001,132.6852
CJ027,5.8,-119.34,-16.09,0.0005,0.0131,0.0057,1.022,0.0537,0.0003,15.29,0.0115,0.0005,0.002,0.0132,0.0764,11.01,1.968,0.2534,0.0005,28.32,0.0005,0.1,0.0005,0.002,0.0765,69.66,0.0778,0.00001,0.002,0.0117,14.221,52.755,0.06077,0.00356,0.02663,0.002,106.85,0.01,0.00001,0.00001,40.1756
CJ029,6.6,-112.76,-15.82,0.0005,0.2693,0.0005,0.002,0.0421,0.0003,4.701,0.0046,0.0005,0.002,0.0188,1.049,0.1503,0.8231,0.0873,0.0005,2.274,0.0005,0.018,0.0005,0.002,0.01,16.81,0.0193,0.00001,0.002,0.0294,0.00001,16.542,1.1389,0.12001,0.11284,0.002,26.992,0.01,0.00001,0.00001,4.1503
CJ031,7.1,-110.33,-15.72,0.0005,0.0005,0.0005,0.002,0.0024,0.0002,2.748,0.0069,0.0005,0.002,0.0179,0.0333,0.0005,0.6415,0.0012,0.0005,4.029,0.0005,0.0508,0.0005,0.002,0.0069,17.36,0.0047,0.00001,0.0004,0.0566,1.895,9.965,0.00449,0.00001,0.00001,0.002,0.0005,0.01,0.00001,0.00001,1.4335
CJ035,7.3,-105.32,-14.08,0.0005,0.0005,0.0005,0.002,0.0013,0.0002,1.047,0.0057,0.0005,0.002,0.0005,0.0056,0.0005,0.2984,0.0033,0.0005,1.347,0.0005,0.1,0.0005,0.002,0.01,2.901,0.003,0.00001,0.002,0.0235,0.00001,3.9626,0.00001,0.00001,0.00001,0.002,0.0005,0.01,0.00001,0.00001,0.0225
CJ037,7.1,-116.23,-16.23,0.0005,0.0005,0.0005,0.002,0.0016,0.0001,3.861,0.0005,0.0005,0.002,0.0005,0.0005,0.1503,1.02,0.0009,0.0005,2.875,0.0005,0.0508,0.0005,0.002,0.01,16.4,0.0115,0.00001,0.002,0.0198,0.00001,13.457,0.02498,0.00001,0.00001,0.002,0.0005,0.01,0.00001,0.00001,0.0225
CJ039,7,-111.01,-15.6,0.0005,0.0061,0.0005,0.002,0.0014,0.0001,3.882,0.0005,0.0005,0.002,0.0005,0.0507,0.2254,1.32,0.0033,0.0005,3.653,0.0005,0.0393,0.0005,0.002,0.0319,20.21,0.0079,0.00001,0.0004,0.0176,6.0657,14.459,0.09485,0.00717,0.02915,0.002,0.0005,0.01,0.00001,0.00001,0.0225
CJ041,5.2,-96.83,-8.67,0.0005,0.9521,0.3836,11.36,0.0452,0.0002,35.23,0.0138,0.0005,0.002,0.0005,0.2485,16.21,5.998,0.6914,0.0005,169.9,0.0005,0.3541,0.0237,0.002,0.1735,96.11,0.1591,0.00001,0.0015,0.0219,945.2,125.78,0.4825,0.08449,0.26734,0.32613,56.051,6.7401,0.00001,0.00001,222.9774
CJ043,4.4,-111.7,-15.72,0.0241,0.0005,0.153,5.32,0.0636,0.002,34.15,0.0115,0.0005,0.002,0.0005,0.0005,15.44,11.12,0.6029,0.0034,131.1,0.0005,0.3803,0.018,0.002,0.1946,109.4,0.1489,0.00001,0.002,0.0016,444.34,123.44,0.00001,0.00001,0.00001,0.3249,97.702,0.27984,0.00001,0.00001,19.9058
CJ045,4.5,-82.34,-6.02,0.0085,0.4579,0.317,18.21,0.057,0.0001,33.44,0.008,0.0005,0.002,0.0005,0.1034,18.86,1.576,0.4304,0.0005,229.7,0.0005,0.1,0.0287,0.002,0.1671,102.8,0.1215,0.00001,0.002,0.035,1079.8,123.63,0.46867,0.12163,0.37638,0.08109,76.039,2.7954,0.00001,0.00001,392.9751
CJ047,4,-96.28,-11.2,0.0071,0.0101,0.3676,10.17,0.0133,0.002,26.78,0.0115,0.0005,0.002,0.0005,0.0005,10.63,1.333,0.1274,0.0005,167.2,0.0003,0.1164,0.0287,0.002,0.1304,97.68,0.0738,0.00001,0.002,0.0096,721.37,101.91,0.00001,0.00001,0.00001,0.59231,42.352,0.01,0.00001,0.00001,130.2982
CJ049,5.8,-107.2,-14.2,0.0005,0.021,0.0348,0.7175,0.0468,0.001,19.93,0.0139,0.0005,0.002,0.0059,0.0016,5.528,6.036,0.4316,0.0209,34.83,0.0005,0.2644,0.0005,0.3508,0.1169,72.99,0.0907,0.00001,0.0212,0.0075,35.686,81.066,0.00001,0.00001,0.00001,0.002,4.4654,0.01,0.00001,0.00001,53.4697
CJ051,6,-101.5,-12.9,0.0005,0.0453,0.0021,0.5623,0.0353,0.0007,27.72,0.0029,0.0005,0.002,0.0424,0.0121,7.623,2.719,0.2293,0.0062,43.6,0.0005,0.0481,0.0005,0.3981,0.1648,92.81,0.1093,0.00001,0.0074,0.0049,46.219,109.18,0.00691,0.00001,0.00001,0.002,19.29,0.01,0.00001,0.00001,130.8843
