Linkage Group	BasePair	Population	Read_Depth	Allele_Freq	Heterozygosity	Fis
groupIII	68680	4	21	1	0	0
groupIII	68718	4	21	1	0	0
groupIII	68676	4	21	1	0	0
groupIII	68689	4	21	1	0	0
groupIII	68690	4	21	1	0	0
groupIII	68706	4	21	1	0	0
groupIII	68709	4	21	1	0	0
groupIII	68712	4	21	1	0	0
groupIII	68717	4	21	1	0	0
groupIII	68718	4	21	1	0	0
groupIII	89088	4	21	1	0	0
groupIII	89090	4	21	1	0	0
groupIII	89104	4	21	1	0	0
groupIII	89132	4	21	1	0	0
groupIII	89155	4	21	1	0	0
groupIII	107277	4	21	1	0	0
groupIII	107278	4	21	1	0	0
groupIII	107207	4	21	1	0	0
groupIII	107218	4	21	1	0	0
groupIII	107236	4	21	1	0	0
groupIII	107255	4	21	1	0	0
groupIII	177301	4	21	1	0	0
groupIII	177313	4	21	1	0	0
groupIII	227199	4	21	1	0	0
groupIII	227216	4	21	1	0	0
groupIII	227226	4	21	1	0	0
groupIII	227244	4	21	1	0	0
groupIII	227252	4	21	1	0	0
groupIII	227257	4	21	1	0	0
groupIII	227265	4	21	1	0	0
groupIII	227268	4	21	1	0	0
groupIII	227274	4	21	1	0	0
groupIII	227200	4	21	1	0	0
groupIII	227219	4	21	1	0	0
groupIII	227227	4	21	1	0	0
groupIII	227230	4	21	1	0	0
groupIII	227234	4	21	1	0	0
groupIII	227242	4	21	1	0	0
groupIII	227266	4	21	1	0	0
groupIII	227276	4	21	1	0	0
groupIII	235229	4	20	1	0	0
groupIII	235271	4	20	1	0	0
groupIII	235285	4	20	1	0	0
groupIII	235286	4	20	1	0	0
groupIII	235288	4	19	1	0	0
groupIII	235297	4	20	1	0	0
groupIII	235298	4	20	1	0	0
groupIII	235222	4	21	1	0	0
groupIII	235231	4	21	1	0	0
groupIII	235246	4	21	1	0	0
groupIII	235255	4	21	1	0	0
groupIII	235266	4	21	1	0	0
groupIII	235267	4	21	1	0	0
groupIII	235287	4	21	1	0	0
groupIII	236850	4	21	1	0	0
groupIII	236858	4	21	1	0	0
groupIII	236859	4	21	1	0	0
groupIII	236866	4	21	1	0	0
groupIII	236878	4	21	1	0	0
groupIII	236882	4	21	1	0	0
groupIII	236885	4	21	1	0	0
groupIII	236886	4	21	1	0	0
groupIII	236904	4	21	1	0	0
groupIII	236913	4	21	1	0	0
groupIII	236852	4	21	1	0	0
groupIII	236859	4	21	1	0	0
groupIII	267582	4	21	1	0	0
groupIII	267584	4	21	1	0	0
groupIII	267586	4	21	1	0	0
groupIII	267589	4	21	1	0	0
groupIII	267627	4	21	1	0	0
groupIII	273664	4	21	1	0	0
groupIII	273673	4	21	1	0	0
groupIII	273675	4	21	1	0	0
groupIII	273677	4	21	1	0	0
groupIII	273712	4	21	1	0	0
groupIII	320798	4	21	1	0	0
groupIII	320826	4	21	1	0	0
groupIII	320837	4	21	1	0	0
groupIII	320861	4	21	1	0	0
groupIII	320951	4	21	1	0	0
groupIII	320955	4	21	1	0	0
groupIII	320980	4	21	1	0	0
groupIII	320981	4	21	1	0	0
groupIII	320994	4	21	0.857143	0.190476	0.240740741
groupIII	321017	4	21	1	0	0
groupIII	321021	4	21	1	0	0
groupIII	321033	4	21	1	0	0
groupIII	336533	4	21	1	0	0
groupIII	336564	4	21	1	0	0
groupIII	336594	4	21	1	0	0
groupIII	336596	4	21	1	0	0
groupIII	336605	4	21	1	0	0
groupIII	458769	4	20	0.975	0.05	0
groupIII	458836	4	20	1	0	0
groupIII	458837	4	20	1	0	0
groupIII	494629	4	21	1	0	0
groupIII	494656	4	21	1	0	0
groupIII	494659	4	21	1	0	0
groupIII	526693	4	21	1	0	0
groupIII	526698	4	21	1	0	0
groupIII	526700	4	21	1	0	0
groupIII	526717	4	21	1	0	0
groupIII	526721	4	21	1	0	0
groupIII	526750	4	21	1	0	0
groupIII	526754	4	21	1	0	0
groupIII	531511	4	21	1	0	0
groupIII	531519	4	20	0.525	0.45	0.120300752
groupIII	531530	4	21	1	0	0
groupIII	531555	4	21	1	0	0
groupIII	531557	4	21	1	0	0
groupIII	531576	4	21	1	0	0
groupIII	531577	4	21	1	0	0
groupIII	531580	4	21	1	0	0
groupIII	536053	4	21	1	0	0
groupIII	536056	4	21	1	0	0
groupIII	536060	4	21	1	0	0
groupIII	536063	4	21	0.928571	0.142857	-0.051282051
groupIII	536073	4	21	1	0	0
groupIII	536097	4	21	1	0	0
groupIII	536098	4	21	1	0	0
groupIII	536105	4	21	1	0	0
groupIII	536067	4	21	1	0	0
groupIII	536075	4	21	1	0	0
groupIII	536084	4	21	1	0	0
groupIII	536108	4	21	1	0	0
groupIII	536122	4	21	1	0	0
groupIII	540255	4	21	1	0	0
groupIII	540256	4	21	1	0	0
groupIII	540280	4	21	1	0	0
groupIII	540293	4	21	0.833333	0.238095	0.163265306
groupIII	540228	4	21	1	0	0
groupIII	540268	4	21	1	0	0
groupIII	549156	4	20	1	0	0
groupIII	549165	4	20	0.95	0.1	-0.02631579
groupIII	549168	4	20	1	0	0
groupIII	565874	4	21	1	0	0
groupIII	565888	4	21	1	0	0
groupIII	568967	4	19	1	0	0
groupIII	570316	4	21	1	0	0
groupIII	570346	4	21	1	0	0
groupIII	570358	4	21	1	0	0
groupIII	570362	4	21	1	0	0
groupIII	570370	4	21	1	0	0
groupIII	570384	4	21	1	0	0
groupIII	570358	4	21	1	0	0
groupIII	650832	4	21	1	0	0
groupIII	650869	4	21	1	0	0
groupIII	650896	4	21	1	0	0
groupIII	650901	4	21	1	0	0
groupIII	650842	4	21	1	0	0
groupIII	650858	4	21	1	0	0
groupIII	650892	4	21	1	0	0
groupIII	681710	4	18	1	0	0
groupIII	681721	4	18	0.944444	0.111111	-0.029411765
groupIII	681724	4	18	1	0	0
groupIII	681737	4	18	0.888889	0	1
groupIII	681746	4	18	1	0	0
groupIII	681754	4	18	1	0	0
groupIII	681771	4	18	1	0	0
groupIII	681782	4	18	1	0	0
groupIII	681728	4	17	0.941176	0.117647	-0.03125
groupIII	681746	4	17	1	0	0
groupIII	681752	4	17	1	0	0
groupIII	681755	4	17	1	0	0
groupIII	681757	4	17	1	0	0
groupIII	681758	4	14	1	0	0
groupIII	681760	4	17	1	0	0
groupIII	681763	4	16	1	0	0
groupIII	681774	4	17	1	0	0
groupIII	681785	4	15	0.966667	0.0666667	0
groupIII	681788	4	17	1	0	0
groupIII	681793	4	17	1	0	0
groupIII	681799	4	17	1	0	0
groupIII	689244	4	19	1	0	0
groupIII	689283	4	19	1	0	0
groupIII	689282	4	20	1	0	0
groupIII	707049	4	21	1	0	0
groupIII	707090	4	21	1	0	0
groupIII	707118	4	21	1	0	0
groupIII	732848	4	21	1	0	0
groupIII	732852	4	21	1	0	0
groupIII	732853	4	21	1	0	0
groupIII	732861	4	21	1	0	0
groupIII	732868	4	21	1	0	0
groupIII	732909	4	21	1	0	0
groupIII	732920	4	21	1	0	0
groupIII	732865	4	21	1	0	0
groupIII	732873	4	21	1	0	0
groupIII	732901	4	21	1	0	0
groupIII	732902	4	21	1	0	0
groupIII	732906	4	21	1	0	0
groupIII	732909	4	21	1	0	0
groupIII	732910	4	21	1	0	0
groupIII	732932	4	21	1	0	0
groupIII	739103	4	19	1	0	0
groupIII	739055	4	20	1	0	0
groupIII	739094	4	20	1	0	0
groupIII	739096	4	20	1	0	0
groupIII	739102	4	20	1	0	0
groupIII	744454	4	20	1	0	0
groupIII	744459	4	20	1	0	0
groupIII	744478	4	20	1	0	0
groupIII	744405	4	20	1	0	0
groupIII	744406	4	20	1	0	0
groupIII	744441	4	20	1	0	0
groupIII	744454	4	20	1	0	0
groupIII	744460	4	20	1	0	0
groupIII	744469	4	20	1	0	0
groupIII	744471	4	20	1	0	0
groupIII	744474	4	20	1	0	0
groupIII	744487	4	20	1	0	0
groupIII	748696	4	21	1	0	0
groupIII	748712	4	21	1	0	0
groupIII	748738	4	21	1	0	0
groupIII	748747	4	21	0.880952	0.238095	-0.108108108
groupIII	748750	4	21	1	0	0
groupIII	748698	4	21	0.619048	0.47619	0.014423077
groupIII	748735	4	21	1	0	0
groupIII	748737	4	21	1	0	0
groupIII	748741	4	21	1	0	0
groupIII	748765	4	21	1	0	0
groupIII	839443	4	21	1	0	0
groupIII	839445	4	21	1	0	0
groupIII	839457	4	21	1	0	0
groupIII	839464	4	21	1	0	0
groupIII	839474	4	21	1	0	0
groupIII	839490	4	21	1	0	0
groupIII	839492	4	21	1	0	0
groupIII	839437	4	21	1	0	0
groupIII	839439	4	21	1	0	0
groupIII	839448	4	21	1	0	0
groupIII	839463	4	21	1	0	0
groupIII	839497	4	21	1	0	0
groupIII	839507	4	21	1	0	0
groupIII	839511	4	21	1	0	0
groupIII	893573	4	21	1	0	0
groupIII	893583	4	21	1	0	0
groupIII	893618	4	21	1	0	0
groupIII	893637	4	21	1	0	0
groupIII	893640	4	21	1	0	0
groupIII	893645	4	21	1	0	0
groupIII	893646	4	21	1	0	0
groupIII	893602	4	21	1	0	0
groupIII	893617	4	21	1	0	0
groupIII	893620	4	21	1	0	0
groupIII	893629	4	21	1	0	0
groupIII	893636	4	21	1	0	0
groupIII	893648	4	21	1	0	0
groupIII	903195	4	21	1	0	0
groupIII	903202	4	21	1	0	0
groupIII	903212	4	21	0.928571	0.142857	-0.051282051
groupIII	903266	4	21	1	0	0
groupIII	903269	4	21	1	0	0
groupIII	903191	4	21	1	0	0
groupIII	903199	4	21	1	0	0
groupIII	903205	4	21	1	0	0
groupIII	903214	4	21	1	0	0
groupIII	903219	4	21	1	0	0
groupIII	903259	4	21	1	0	0
groupIII	903267	4	21	1	0	0
groupIII	911504	4	21	1	0	0
groupIII	911536	4	21	1	0	0
groupIII	911538	4	21	0.857143	0.285714	-0.138888889
groupIII	911544	4	21	1	0	0
groupIII	911554	4	21	1	0	0
groupIII	911557	4	21	1	0	0
groupIII	911563	4	21	1	0	0
groupIII	911578	4	21	1	0	0
groupIII	911514	4	21	1	0	0
groupIII	911518	4	21	1	0	0
groupIII	911519	4	21	1	0	0
groupIII	911524	4	21	1	0	0
groupIII	911532	4	21	0.928571	0.142857	-0.051282051
groupIII	911533	4	21	0.928571	0.142857	-0.051282051
groupIII	911562	4	21	1	0	0
groupIII	911573	4	21	1	0	0
groupIII	959472	4	21	1	0	0
groupIII	959478	4	21	1	0	0
groupIII	959486	4	21	1	0	0
groupIII	959513	4	21	1	0	0
groupIII	959516	4	21	1	0	0
groupIII	959526	4	13	0.576923	0.846154	-0.666666667
groupIII	959528	4	21	1	0	0
groupIII	959533	4	20	1	0	0
groupIII	959537	4	19	1	0	0
groupIII	959553	4	21	1	0	0
groupIII	1041660	4	18	0.888889	0.222222	-0.09375
groupIII	1041676	4	18	1	0	0
groupIII	1041677	4	18	1	0	0
groupIII	1041681	4	17	0.647059	0.352941	0.25
groupIII	1041693	4	18	1	0	0
groupIII	1041694	4	18	1	0	0
groupIII	1041715	4	18	1	0	0
groupIII	1041732	4	18	1	0	0
groupIII	1041736	4	18	1	0	0
groupIII	1041674	4	18	1	0	0
groupIII	1041684	4	19	1	0	0
groupIII	1041685	4	19	1	0	0
groupIII	1041687	4	19	1	0	0
groupIII	1041702	4	19	1	0	0
groupIII	1104846	4	21	1	0	0
groupIII	1104785	4	21	1	0	0
groupIII	1104799	4	21	1	0	0
groupIII	1104806	4	21	1	0	0
groupIII	1104808	4	21	1	0	0
groupIII	1104809	4	21	1	0	0
groupIII	1104821	4	21	1	0	0
groupIII	1104824	4	21	1	0	0
groupIII	1104825	4	21	1	0	0
groupIII	1104830	4	21	0.857143	0.285714	-0.138888889
groupIII	1104838	4	21	1	0	0
groupIII	1104845	4	21	1	0	0
groupIII	1104850	4	21	0.857143	0.285714	-0.138888889
groupIII	1116115	4	21	1	0	0
groupIII	1116118	4	21	1	0	0
groupIII	1116120	4	21	1	0	0
groupIII	1116123	4	21	1	0	0
groupIII	1116146	4	21	1	0	0
groupIII	1116147	4	21	1	0	0
